PMID	E1	E2	ClASS_LABEL	PROBABILITY	COS_SIM	GROUPS
8776728	3320	5241	0.0	0.9837812	1.0000001|0.08226768|0.18181682|0.27045858|0.0560238|0.5011009	0|1082|1394|2038|2308|2376
8776728	5241	3320	0.0	0.9837812	1.0000001|0.08226768|0.1916653|0.27045858|0.0560238|0.4804779	1|1083|1395|2039|2309|2377
11781834	1028	1029	0.0	0.005488689	1.0|0.074577294|0.56506544|0.1868527|0.3567821|0.25822333|0.35817024|0.2528045|0.2654008|0.34892118|0.095623404	2|277|279|349|679|713|1319|1431|1887|1974|2070
11781834	1029	1028	0.0	0.0034134197	1.0000002|0.097190596|0.57231784|0.19119416|0.3579411|0.25017625|0.3673168|0.25551724|0.27364093|0.3688457|0.09929138	3|276|278|348|678|712|1318|1430|1886|1975|2071
8568233	100	1803	1.0	0.057125773	0.99999994|0.09995861|0.046900433|0.29427573|0.09834494|0.025534414|0.6386589|0.1680569|0.025534414|0.11801663|0.15946056|0.02484975|0.17000763|0.16380984|0.2948981|0.22670034|0.17874846|0.02484975|0.3785124|0.42241815|0.49806654|0.25049216	4|38|72|150|258|264|364|418|516|588|592|674|728|818|1002|1018|1030|1330|1980|2130|2292|2374
8568233	1803	100	1.0	0.07065988	0.99999934|0.08905141|0.046627|0.28966263|0.10086735|0.026330017|0.6291602|0.16951706|0.026330017|0.12788542|0.17097284|0.026767554|0.16806735|0.16748075|0.32799232|0.22762191|0.17778298|0.026767554|0.34968936|0.4039161|0.465232|0.23660527	5|39|73|151|259|265|365|419|517|589|593|675|729|819|1003|1019|1031|1331|1981|2131|2293|2375
8918891	6720	6721	0.0	0.49271077	1.0	6
8918891	6721	6720	0.0	0.49132317	1.0	7
7809597	32762	40134	1.0	0.49271077	1.0|1.0|0.02607379|0.028115598|1.0|0.07741466|1.0|1.0	8|46|68|339|618|1648|1966|2448
7809597	40134	32762	1.0	0.49132317	1.0|1.0|0.02800532|0.03480128|1.0|0.07814661|1.0|1.0	9|47|69|338|619|1649|1967|2449
8776728	3320	10963	0.0	0.57377523	1.0000004|0.68536186|0.2565827|0.043997563|0.19059238|0.19586347|0.2588048|0.22140345	10|184|1068|1158|1198|1802|2136|2158
8776728	10963	3320	0.0	0.513688	1.0000001|0.6784181|0.25690612|0.040472403|0.19474563|0.20205338|0.2568311|0.2236169	11|185|1069|1159|1199|1803|2137|2159
8776728	5241	5241	0.0	0.99897194	1.0|1.0|0.119356304|0.119356304|0.13876146|0.13876146|0.21316373|0.21816662	12|13|160|161|468|469|554|555
8776728	5241	5241	0.0	0.99897194	1.0|1.0|0.119356304|0.119356304|0.13876146|0.13876146|0.21316373|0.21816662	12|13|160|161|468|469|554|555
7744247	995	5894	1.0	0.83509886	1.0000001|0.36292154	14|888
7744247	5894	995	1.0	0.8520712	0.99999976|0.39587563	15|889
8491186	3667	6464	1.0	0.49271077	1.0|1.0|0.057375446|1.0|1.0|0.3377478	16|58|536|1402|1536|1732
8491186	6464	3667	1.0	0.49132317	1.0|1.0|0.05599335|1.0|1.0|0.34682795	17|59|537|1403|1537|1733
10910894	1237	6360	1.0	0.99489427	0.9999994|0.0|0.37372312	18|166|1100
10910894	6360	1237	1.0	0.9964527	0.99999964|0.0|0.4009804	19|167|1101
8568233	100	100	1.0	0.004940003	1.0000002|0.8545128|0.26396132|0.3210651|0.025644083|0.026836107|0.6308216|0.5904929|0.08349532|0.08745368|0.12040998|0.12040998|0.17561205|0.1663985	20|21|76|77|374|375|774|775|1008|1009|1416|1417|2132|2133
