E1	E2	Probability	Label
3561	3558	0.5845456280732888	1
7157	7329	0.507096064790132	1
2643	2643	0.5401067545238917	0
1030	1030	0.42126471989759207	0
2065	2066	0.37583892617449666	0
57126	3458	0.37583892617449666	0
6879	7391	0.46808510638297873	1
6721	6720	0.4258064516129032	0
3192	6850	0.7831838417986532	1
3718	3574	0.4258064516129032	1
5743	5743	0.8566865186803847	0
1029	3429	0.37583892617449666	0
2260	2247	0.9128802217042573	1
4089	3845	0.37583892617449666	0
5931	9810	0.4258064516129032	0
4089	7157	0.37583892617449666	0
1232	1232	0.7035441775733515	1
24408	24410	0.4258064516129032	0
3565	3574	0.37583892617449666	1
14784	12928	0.4258064516129032	1
100	100	0.9673565541473305	1
14784	12402	0.675	1
11338	11338	0.5423728813559321	0
22324	12402	0.9947155682516036	1
6352	6360	0.675	0
5335	6850	0.6661598259412287	1
1030	1028	0.4442064273361013	0
1032	1029	0.3	0
6360	1237	1.0	1
1230	1232	0.9805042307281321	1
7852	6352	0.5423728813559322	0
3558	3716	0.6933756960974541	1
1017	1033	0.8292327167567619	1
1029	1032	0.3	0
3667	6464	0.7954064437620738	1
5241	3320	0.9053133454140856	1
856831	7329	0.4356099237219264	1
5241	6767	0.4258064516129032	0
6908	6908	0.6628820388729647	1
627	4915	0.7777711866712328	1
5515	5501	0.41021865148164927	1
3643	3643	0.9113300007380033	1
3718	3718	0.3704964993845765	0
10728	5241	0.37583892617449666	0
3466	3587	0.46808510638297873	0
5663	338412	0.6227628383827555	1
7307	11338	0.9622180316420975	1
9810	5931	0.4258064516129032	0
5501	5515	0.3821039022436954	1
6720	6721	0.4258064516129032	0
1026	1029	0.5634243118262705	0
100768664	4915	0.7275027035098893	1
12402	14784	0.675	1
7341	7157	0.699095759018846	1
3480	3643	0.8715597203085161	1
3204	5464	0.7072057435867651	1
3560	3716	0.6464143774170759	1
659	655	0.9224475430893915	1
2263	2252	1.0	1
4067	6850	0.8851632580854231	1
3718	3560	0.6386823698256299	1
7157	1030	0.40797157417228835	0
6351	6354	0.37583892617449666	1
16153	16153	0.29999999999999993	0
2264	2247	0.675	1
6354	1232	0.4129703239160657	1
6645	20649	0.37583892617449666	0
7157	3845	0.7630476538412443	0
5618	5617	0.5561068622217986	1
3561	3574	0.4258064516129032	1
7329	851495	0.37583892617449666	1
6348	1230	0.857462073388973	1
3558	3600	0.9195589770661587	1
3560	3558	0.9181142288148504	1
3643	2885	0.714382485949945	1
100125988	100341645	0.696527443722545	1
1029	4089	0.37583892617449666	0
851495	854976	0.5423728813559322	1
6645	6640	0.46808510638297873	0
2688	5617	0.37583892617449666	0
6352	6346	0.37583892617449666	0
983	1017	0.4258064516129032	1
16476	14284	0.4258064516129032	1
1028	1028	0.7468623539345243	0
2885	6464	0.9839795362858046	1
1029	1029	0.8325046564811127	0
1234	6387	0.4258064516129032	0
11140	1019	0.9826284997232766	1
1033	23564	0.4258064516129032	1
6351	1230	0.372572257512761	1
3718	3565	0.46808510638297873	1
851495	7157	0.46808510638297873	1
3845	1029	0.7292248094823864	0
4915	100768664	0.7282500032536494	1
3587	3466	0.46808510638297873	0
6642	1956	0.6921935503228487	1
6387	7852	0.46808510638297873	0
6641	1756	0.37583892617449666	1
3667	3667	0.9006510476924323	1
659	659	0.468085101885637	0
5888	7341	0.5423728813559322	1
2247	2260	0.913203116480283	1
856831	5893	0.4258064516129032	1
14281	14283	0.37583892617449666	1
1033	1033	0.6536421572250402	0
6360	6352	0.675	0
1028	7157	0.3801663254036095	0
16176	12362	0.5114252024917876	1
6464	3643	0.8062589455274101	1
4790	1869	0.9902627720919457	1
12507	12507	0.4680851050337741	0
14282	14284	0.4258064516129032	1
6850	5335	0.6646639354860593	1
3643	6464	0.8194337043583284	1
1237	1230	0.4258064516129032	1
3589	3726	0.5105063063511072	1
3718	3558	0.6821986517799463	1
3576	3576	0.8508676332616891	1
9610	9610	0.6945596048724334	1
1956	2885	0.675	1
14281	14284	0.37583892617449666	1
851746	852457	0.37583892617449666	0
2247	2252	0.7100790875163132	1
1029	1027	0.37583892617449666	0
3558	3718	0.655436740038657	1
1029	1030	0.49421028048762317	0
2260	2252	0.8718887996388922	1
14284	14282	0.4258064516129032	1
10963	3320	0.9628223463345233	1
5241	10728	0.4258064516129032	0
3565	3458	0.37583892617449666	0
10728	6767	0.4258064516129032	0
