PMID	E1	E2	ClASS_LABEL	PROBABILITY	COS_SIM	GROUPS
8776728	3320	5241	0.0	0.9837812	1.0000001|0.29019257|0.34170204|0.52622825|0.24501377|0.59889424	0|1082|1394|2038|2308|2376
8776728	5241	3320	0.0	0.9837812	1.0000001|0.29019257|0.38177282|0.52622825|0.24501377|0.58030885	1|1083|1395|2039|2309|2377
11781834	1028	1029	0.0	0.005488689	0.9999998|0.1815225|0.74980414|0.48795488|0.6778965|0.4912214|0.62842166|0.35523936|0.55300814|0.58619124|0.16607508	2|277|279|349|679|713|1319|1431|1887|1974|2070
11781834	1029	1028	0.0	0.0034134197	1.0000002|0.16994797|0.7694156|0.46689442|0.6808283|0.5125365|0.64777535|0.3695455|0.5983912|0.5856299|0.18400526	3|276|278|348|678|712|1318|1430|1886|1975|2071
8568233	100	1803	1.0	0.057125773	0.9999999|0.3804985|0.25062546|0.6316874|0.45089582|0.06822267|0.76229566|0.4466213|0.06822267|0.35914463|0.34318915|0.036664642|0.38323808|0.3524413|0.65522784|0.547019|0.39713803|0.036664642|0.6595303|0.61735594|0.64255685|0.45336196	4|38|72|150|258|264|364|418|516|588|592|674|728|818|1002|1018|1030|1330|1980|2130|2292|2374
8568233	1803	100	1.0	0.07065988	1.0000001|0.3266124|0.25484195|0.60996795|0.46229765|0.05443202|0.77111167|0.4715753|0.05443202|0.34105304|0.36753297|0.07653101|0.3659531|0.3495703|0.6419128|0.5458523|0.38309243|0.07653101|0.6208056|0.5885036|0.59485996|0.4501028	5|39|73|151|259|265|365|419|517|589|593|675|729|819|1003|1019|1031|1331|1981|2131|2293|2375
8918891	6720	6721	0.0	0.49271077	1.0	6
8918891	6721	6720	0.0	0.49132317	1.0	7
7809597	32762	40134	1.0	0.49271077	1.0|1.0|0.059767175|0.078985505|1.0|0.24928762|1.0|1.0	8|46|68|339|618|1648|1966|2448
7809597	40134	32762	1.0	0.49132317	1.0|1.0|0.06569065|0.08201252|1.0|0.2726613|1.0|1.0	9|47|69|338|619|1649|1967|2449
8776728	3320	10963	0.0	0.57377523	0.9999999|0.83443254|0.48654658|0.32148948|0.46758145|0.3539501|0.60720676|0.5202169	10|184|1068|1158|1198|1802|2136|2158
8776728	10963	3320	0.0	0.513688	1.0000001|0.8527251|0.45545143|0.33809546|0.4775701|0.36413205|0.59156734|0.5057152	11|185|1069|1159|1199|1803|2137|2159
8776728	5241	5241	0.0	0.99897194	1.0000002|1.0000002|0.289394|0.289394|0.28772995|0.28772995|0.22500591|0.2549292	12|13|160|161|468|469|554|555
8776728	5241	5241	0.0	0.99897194	1.0000002|1.0000002|0.289394|0.289394|0.28772995|0.28772995|0.22500591|0.2549292	12|13|160|161|468|469|554|555
7744247	995	5894	1.0	0.83509886	1.0000001|0.55491334	14|888
7744247	5894	995	1.0	0.8520712	0.9999997|0.5581518	15|889
8491186	3667	6464	1.0	0.49271077	1.0|1.0|0.17885573|1.0|1.0|0.6876862	16|58|536|1402|1536|1732
8491186	6464	3667	1.0	0.49132317	1.0|1.0|0.16400969|1.0|1.0|0.71720386	17|59|537|1403|1537|1733
10910894	1237	6360	1.0	0.99489427	0.9999999|0.62402505|0.66963255	18|166|1100
10910894	6360	1237	1.0	0.9964527	1.0000001|0.6377921|0.6496242	19|167|1101
8568233	100	100	1.0	0.004940003	0.9999998|0.9537553|0.56262416|0.5757827|0.13767278|0.1449487|0.7896019|0.7757574|0.34569374|0.33280975|0.18570812|0.18570812|0.4437014|0.44127837	20|21|76|77|374|375|774|775|1008|1009|1416|1417|2132|2133
8568233	100	100	1.0	0.009902341	0.9537553|0.99999976|0.5611352|0.5228899|0.14615385|0.14381468|0.7698758|0.8064371|0.3412827|0.33525497|0.16290985|0.16290985|0.44287997|0.4349872	20|21|76|77|374|375|774|775|1008|1009|1416|1417|2132|2133
7911228	1026	1026	0.0	0.6641011	0.99999994|0.99999994|0.13253117|0.10279916|0.39665705|0.38390538|0.13253117|0.10279916	22|23|462|463|896|897|1390|1391
7911228	1026	1026	0.0	0.6641011	0.99999994|0.99999994|0.13253117|0.10279916|0.39665705|0.38390538|0.13253117|0.10279916	22|23|462|463|896|897|1390|1391
8242751	890	595	0.0	0.7147922	1.0	24
8242751	595	890	0.0	0.7227596	1.0	25
8999548	16173	16173	1.0	0.43934065	0.99999994|0.5511798|0.22335616|0.22335616|0.10057248|0.12606168	26|27|1514|1515|2302|2303
8999548	16173	16173	1.0	0.44840163	0.5511798|1.0|0.21325433|0.21325433|0.1164652|0.111182794	26|27|1514|1515|2302|2303
8776728	3308	10728	0.0	0.62433255	1.0000001|0.55748117|0.41875064	28|1042|1256
