E1	E2	Probability	Label
3561	3558	0.62074030976	1
7157	7329	0.595215151557	1
2643	2643	0.579903010907	0
1030	1030	0.39448441507	0
2065	2066	0.18523437	0
57126	3458	0.17961545	0
6879	7391	0.9369794	1
6721	6720	0.49132317	0
3192	6850	0.919712265514	1
3718	3574	0.67121476	1
5743	5743	0.000978834731798	0
1029	3429	0.015998537	0
2260	2247	0.997258620493	1
4089	3845	0.32749692	0
5931	9810	0.61141425	0
4089	7157	0.005972744	0
1232	1232	0.450604535132	1
24408	24410	0.49271077	0
3565	3574	0.056113288	1
14784	12928	0.7147922	1
100	100	0.95795326765	1
14784	12402	0.99603313	1
11338	11338	0.862886968451	0
22324	12402	0.999999999164	1
6352	6360	0.9937517	0
5335	6850	0.921572077705	1
1030	1028	0.0113659207814	0
1032	1029	0.000430259	0
6360	1237	0.999736130602	1
1230	1232	0.999841325525	1
7852	6352	0.9911931	0
3558	3716	0.873554606484	1
1017	1033	0.968109220737	1
1029	1032	0.00033624537	0
3667	6464	0.400668817454	1
5241	3320	0.948822617159	1
856831	7329	0.82666296	1
5241	6767	0.755311	0
6908	6908	0.39448441507	1
627	4915	0.838132917378	1
5515	5501	0.482500545217	1
3643	3643	0.990289324116	1
3718	3718	0.33873435038	0
10728	5241	0.3614789	0
3466	3587	0.9325816	0
5663	338412	0.470811433762	1
7307	11338	0.999993249217	1
9810	5931	0.61141425	0
5501	5515	0.451956630566	1
6720	6721	0.49271077	0
1026	1029	0.0527936581227	0
100768664	4915	0.967492423756	1
12402	14784	0.99603313	1
7341	7157	0.895385319429	1
3480	3643	0.860206364129	1
3204	5464	0.740719518302	1
3560	3716	0.914390965839	1
659	655	0.992108889451	1
2263	2252	0.999999999997	1
4067	6850	0.990246559507	1
3718	3560	0.838148520778	1
7157	1030	0.0185723042932	0
6351	6354	0.00089344685	1
16153	16153	0.0102637617732	0
2264	2247	0.9999881	1
6354	1232	0.11544851421	1
6645	20649	0.0038769522	0
7157	3845	0.957096853877	0
5618	5617	0.0718580568081	1
3561	3574	0.48347497	1
7329	851495	0.06096938	1
6348	1230	0.992287004086	1
3558	3600	0.975865196762	1
3560	3558	0.999810495346	1
3643	2885	0.274056963237	1
100125988	100341645	0.927110381539	1
1029	4089	0.014505671	0
851495	854976	0.99051267	1
6645	6640	0.90637434	0
2688	5617	0.2008585	0
6352	6346	0.2062234	0
983	1017	0.7147922	1
16476	14284	0.7763353	1
1028	1028	0.382854859666	0
2885	6464	0.999994154225	1
1029	1029	0.0215339735371	0
1234	6387	0.49271077	0
11140	1019	0.993187558557	1
1033	23564	0.7293525	1
6351	1230	0.0273735377971	1
3718	3565	0.94553447	1
851495	7157	0.952369	1
3845	1029	0.813866330445	0
4915	100768664	0.966198520856	1
3587	3466	0.9505564	0
6642	1956	0.208829349327	1
6387	7852	0.8929092	0
6641	1756	0.036834802	1
3667	3667	0.991948200419	1
659	659	0.827582874406	0
5888	7341	0.9800657	1
2247	2260	0.997255798536	1
856831	5893	0.47916996	1
14281	14283	0.08193718	1
1033	1033	0.494119016607	0
6360	6352	0.9937517	0
1028	7157	0.32052448785	0
16176	12362	0.196212307678	1
6464	3643	0.905617262123	1
4790	1869	0.959929114013	1
12507	12507	0.74078220072	0
14282	14284	0.7497572	1
6850	5335	0.901983215075	1
3643	6464	0.930001642347	1
1237	1230	0.49132317	1
3589	3726	0.109416313176	1
3718	3558	0.847663922099	1
3576	3576	0.999892980375	1
9610	9610	0.939997574242	1
1956	2885	0.99993134	1
14281	14284	0.056113288	1
851746	852457	0.233301	0
2247	2252	0.918166083218	1
1029	1027	0.015998537	0
3558	3718	0.825393929149	1
1029	1030	0.000572662771444	0
2260	2252	0.991403893393	1
14284	14282	0.7497572	1
10963	3320	0.898615378921	1
5241	10728	0.5336342	0
3565	3458	0.015276327	0
10728	6767	0.5175111	0
2264	2260	0.729716	1
3716	3718	0.49271077	1
9610	25	0.9999615	1
2885	2885	0.976386042465	1
1033	1017	0.964404819418	1
16154	3466	0.8968976	0
3429	1029	0.010755909	0
652	655	0.74147606	1
3558	3578	0.8480518	1
943	944	0.999999995714	1
3565	3558	0.7227596	1
100125988	100350417	0.6485118182	1
1230	6351	0.0269017049215	1
3561	3561	0.700040865482	0
944	944	0.147010515843	1
5524	5464	0.496355191331	1
2263	2260	0.999999999989	1
16476	14281	0.8821391	1
6872	6667	0.6075022	1
3587	16153	0.0765153410071	0
7341	5888	0.99315697	1
3558	100	0.0040666023	0
3320	5241	0.956190440055	1
3579	3577	0.98574069345	1
100768664	100768664	0.551841820404	1
6464	2885	0.999998911847	1
854976	7329	0.97603714	1
29495	24410	0.7706806	0
16153	3587	0.0638193106565	0
100341645	100350417	0.895923193565	1
3578	3558	0.818498	1
854976	5893	0.7025438	1
6354	1230	0.681591717476	1
1956	1956	0.551841820404	1
1387	1387	0.551841820404	0
6879	6667	0.5964206	1
3587	3586	0.752839062644	1
15978	12362	0.4159949	0
854976	851495	0.9912907	1
6387	6352	0.862762201318	0
5515	3204	0.863498399871	1
5888	7329	0.9988065	1
3716	3574	0.8242499	1
1029	7157	0.653663566639	0
3565	3561	0.7388026	1
6351	1232	0.186208114017	1
24408	29495	0.79410505	0
1027	1029	0.010755909	0
14284	16476	0.8448901	1
3578	3561	0.6912124	1
14282	14283	0.006883341	1
2752	3329	0.555230589642	1
5524	3204	0.862695801492	1
3458	3458	0.285898024677	0
3726	3569	0.174201848194	1
5265	5265	0.0159712609856	0
3560	3561	0.628174451617	1
3558	3558	0.164542263125	1
338412	5663	0.470115947747	1
3569	3570	0.618693154394	1
4790	4790	0.00128621170817	1
1232	6351	0.213894891828	1
3569	3569	0.994241763227	1
995	5894	0.816016656421	1
3718	3578	0.9878785	1
6464	1956	0.45230627	1
5893	854976	0.8649512	1
3560	3718	0.882166137542	1
3587	16154	0.925636948985	1
7157	5888	0.9964641	1
6640	6645	0.90637434	0
1387	2033	0.12721509	0
24410	24408	0.49132317	0
3574	3558	0.49602658	1
3643	3480	0.865012944808	1
1756	6641	0.036834802	1
1029	5925	0.048425708	0
291245	24410	0.9981998	0
983	1033	0.9998462	1
6767	10963	0.8227758	0
3725	6908	0.995125785789	1
3320	6767	0.362022375964	0
856831	7157	0.23755358	1
6879	6872	0.59294134	1
351	348	0.49271077	1
2252	2263	0.999999999994	1
11140	3320	0.616180316622	1
1027	5925	0.8549754	0
7076	4312	0.999999999987	1
2353	6908	0.997225354971	1
3574	3716	0.8954039	1
1644	1644	0.551841820404	0
852457	851746	0.233301	0
5925	1032	0.44698715	0
10963	3308	0.969909426873	1
6908	3725	0.995690337552	1
7157	5893	0.752104920268	1
5617	2688	0.2008585	0
3574	3565	0.06096938	1
3458	57126	0.17961545	0
348	348	0.335180430484	1
6850	4067	0.98890585875	1
856831	7341	0.9487922	1
14283	14281	0.08193718	1
39765	31913	0.6860217	1
1029	3845	0.788085976766	0
6360	6360	0.999998254148	0
3572	3569	0.724106514858	1
16476	14283	0.763109693234	1
5894	995	0.823188478698	1
7157	4089	0.006265124	0
3586	3586	0.985402462414	0
6354	6352	0.608295779247	0
851495	7341	0.99990916	1
3578	3574	0.28442088	1
3574	3561	0.6399894	1
7157	1028	0.378481275074	0
3577	3579	0.986919033609	1
3565	3439	0.767472146363	0
3586	3458	0.021089246	0
3716	3560	0.903649773979	1
15978	16173	0.49271077	0
7391	6667	0.5436616	1
8502	5663	0.82371676	1
1019	11140	0.992486580509	1
6872	7391	0.9238576	1
6767	3320	0.404953262189	0
655	652	0.7356672	1
3429	5925	0.5061229	0
3716	3558	0.873554606484	1
3558	3560	0.99980220297	1
3133	3133	0.997001648499	1
2247	2263	0.999999999437	1
3480	3480	0.904978504742	1
1232	6354	0.113300861629	1
3439	3565	0.767472146363	0
6667	6879	0.5964206	1
3574	3718	0.7655974	1
3718	3561	0.996568942768	1
6346	6360	0.99906343	0
3204	5524	0.869126149614	1
3204	5501	0.8399136	1
14282	14281	0.28857297	1
1033	983	0.9998536	1
6346	6352	0.1725459	0
10728	3320	0.605618948969	0
18787	18787	0.0159712609856	0
5893	5888	0.9999124	1
851495	856831	0.952369	1
12362	16176	0.189367238659	1
23564	1017	0.66158634	1
1956	2066	0.7253037	0
2247	2264	0.99998355	1
7157	856831	0.23755358	1
3569	3572	0.726478540764	1
1030	1029	0.00115660611548	0
5265	7124	0.110092667828	0
7528	6879	0.9369794	1
2252	2264	0.9999932	1
1027	3429	0.06541948	0
3561	3718	0.99549215946	1
3565	3578	0.86077607	1
2264	2252	0.99999547	1
3458	3439	0.628712767767	0
5888	7157	0.99338734	1
3586	3587	0.703079940009	1
14281	16476	0.9019517	1
6872	7528	0.9238576	1
5464	5524	0.495661258323	1
181055	3265	0.6280227	0
1017	1018	0.18523437	1
7124	5265	0.113748190849	0
3569	3726	0.205573518281	1
5501	3204	0.8399136	1
3439	3439	0.156293325988	0
7391	6879	0.9369794	1
3667	2885	0.99996955229	1
3192	5335	0.771765987004	1
1018	1033	0.99992394	1
943	943	0.99983524395	1
1026	1028	0.183488793704	0
1230	6352	0.44171798	1
1956	6642	0.216377102563	1
7329	5888	0.99918646	1
7133	4914	0.491236810216	1
6850	6850	0.889880212143	1
24410	291245	0.99915814	0
11338	7307	0.999989778941	1
3308	3320	0.998657742515	1
3308	10728	0.62433255	0
1230	6354	0.6842039445	1
3204	5515	0.877449401677	1
1019	3320	0.608365671068	1
7341	854976	0.9401401	1
3576	3579	0.990375499816	1
1869	4790	0.909808874668	1
652	659	0.16605829	1
7329	5893	0.897337686124	1
4827	3589	0.622737438522	0
1956	3667	0.7227596	1
1234	7852	0.761021766592	0
5893	5893	0.900068659591	1
3558	3565	0.7147922	1
2066	1956	0.729716	0
3561	3565	0.7388026	1
1026	1030	0.0231949228782	0
2246	2263	0.9999902	1
3561	3578	0.64726406	1
3265	181055	0.6445263	0
2263	2264	0.999999983527	1
983	1018	0.7253037	1
3320	10963	0.925275920274	1
10963	10728	0.7669801	0
7076	7076	0.0159712609856	1
23564	1033	0.7293525	1
5241	3308	0.99883291615	1
2263	2246	0.9999924	1
3480	3667	0.999993977676	1
3265	2885	0.8540363	0
3560	3600	0.0999894947537	1
5925	1029	0.0237877	0
6354	6354	0.551841820404	0
3574	3578	0.38617465	1
