E1	E2	Probability	Label
3561	3558	0.577068651944	1
7157	7329	0.605326897752	1
2643	2643	0.536555094165	0
1030	1030	0.471935905246	0
2065	2066	0.18523437	0
57126	3458	0.17961545	0
6879	7391	0.9369794	1
6721	6720	0.49132317	0
3192	6850	0.991415823441	1
3718	3574	0.67121476	1
5743	5743	0.00674888183849	0
1029	3429	0.015998537	0
2260	2247	0.997258620493	1
4089	3845	0.32749692	0
5931	9810	0.61141425	0
4089	7157	0.005972744	0
1232	1232	0.490154589478	1
24408	24410	0.49271077	0
3565	3574	0.056113288	1
14784	12928	0.7147922	1
100	100	0.95795326765	1
14784	12402	0.99603313	1
11338	11338	0.975372507981	0
22324	12402	0.999967844686	1
6352	6360	0.9937517	0
5335	6850	0.947494877543	1
1030	1028	0.0532095186403	0
1032	1029	0.000430259	0
6360	1237	0.999736130602	1
1230	1232	0.998869276639	1
7852	6352	0.9911931	0
3558	3716	0.971901476549	1
1017	1033	0.968109220737	1
1029	1032	0.00033624537	0
3667	6464	0.65172680045	1
5241	3320	0.966054746365	1
856831	7329	0.82666296	1
5241	6767	0.755311	0
6908	6908	0.626204669984	1
627	4915	0.838132917378	1
5515	5501	0.409024483062	1
3643	3643	0.976440753378	1
3718	3718	0.197696499212	0
10728	5241	0.3614789	0
3466	3587	0.9325816	0
5663	338412	0.364673041443	1
7307	11338	0.999230090573	1
9810	5931	0.61141425	0
5501	5515	0.354304607542	1
6720	6721	0.49271077	0
1026	1029	0.104295416156	0
100768664	4915	0.99886371277	1
12402	14784	0.99603313	1
7341	7157	0.978234654093	1
3480	3643	0.937821105175	1
3204	5464	0.865400326155	1
3560	3716	0.990769053235	1
659	655	0.981223467666	1
2263	2252	0.999800698074	1
4067	6850	0.987153224591	1
3718	3560	0.957394703792	1
7157	1030	0.070741563063	0
6351	6354	0.00089344685	1
16153	16153	0.000107529464	0
2264	2247	0.9999881	1
6354	1232	0.016907506001	1
6645	20649	0.0038769522	0
7157	3845	0.936342425203	0
5618	5617	0.0209580291735	1
3561	3574	0.48347497	1
7329	851495	0.06096938	1
6348	1230	0.992287004086	1
3558	3600	0.969936695765	1
3560	3558	0.995301405152	1
3643	2885	0.386644664943	1
100125988	100341645	0.992033025743	1
1029	4089	0.014505671	0
851495	854976	0.99051267	1
6645	6640	0.90637434	0
2688	5617	0.2008585	0
6352	6346	0.2062234	0
983	1017	0.7147922	1
16476	14284	0.7763353	1
1028	1028	0.451906899589	0
2885	6464	0.997692019815	1
1029	1029	0.671192429617	0
1234	6387	0.49271077	0
11140	1019	0.992894886763	1
1033	23564	0.7293525	1
6351	1230	0.000798337804744	1
3718	3565	0.94553447	1
851495	7157	0.952369	1
3845	1029	0.813866330445	0
4915	100768664	0.998770397015	1
3587	3466	0.9505564	0
6642	1956	0.69755042677	1
6387	7852	0.8929092	0
6641	1756	0.036834802	1
3667	3667	0.981867962956	1
659	659	0.9584008	0
5888	7341	0.9800657	1
2247	2260	0.997255798536	1
856831	5893	0.47916996	1
14281	14283	0.08193718	1
1033	1033	0.517295788655	0
6360	6352	0.9937517	0
1028	7157	0.166005896198	0
16176	12362	0.196212307678	1
6464	3643	0.905617262123	1
4790	1869	0.996021653314	1
12507	12507	0.89091057	0
14282	14284	0.7497572	1
6850	5335	0.938549471237	1
3643	6464	0.930001642347	1
1237	1230	0.49132317	1
3589	3726	0.0217594872566	1
3718	3558	0.955631178726	1
3576	3576	0.99872247498	1
9610	9610	0.995920903943	1
1956	2885	0.99993134	1
14281	14284	0.056113288	1
851746	852457	0.233301	0
2247	2252	0.990179020414	1
1029	1027	0.015998537	0
3558	3718	0.939168457608	1
1029	1030	0.00425218365451	0
2260	2252	0.991403893393	1
14284	14282	0.7497572	1
10963	3320	0.975997496549	1
5241	10728	0.5336342	0
3565	3458	0.015276327	0
10728	6767	0.5175111	0
2264	2260	0.729716	1
3716	3718	0.49271077	1
9610	25	0.9999615	1
2885	2885	0.940698643625	1
1033	1017	0.964404819418	1
16154	3466	0.8968976	0
3429	1029	0.010755909	0
652	655	0.74147606	1
3558	3578	0.8480518	1
943	944	0.999995807332	1
3565	3558	0.7227596	1
100125988	100350417	0.685932763178	1
1230	6351	0.000770223549475	1
3561	3561	0.844878577539	0
944	944	0.0311683696956	1
5524	5464	0.49271077	1
2263	2260	0.999959371376	1
16476	14281	0.8821391	1
6872	6667	0.6075022	1
3587	16153	0.00933355579639	0
7341	5888	0.99315697	1
3558	100	0.0040666023	0
3320	5241	0.953167361588	1
3579	3577	0.983490742075	1
100768664	100768664	0.490577218442	1
6464	2885	0.998814514504	1
854976	7329	0.97603714	1
29495	24410	0.7706806	0
16153	3587	0.00671055453493	0
100341645	100350417	0.895923193565	1
3578	3558	0.818498	1
854976	5893	0.7025438	1
6354	1230	0.681060825891	1
1956	1956	0.490577218442	1
1387	1387	0.490577218442	0
6879	6667	0.5964206	1
3587	3586	0.89390234203	1
15978	12362	0.4159949	0
854976	851495	0.9912907	1
6387	6352	0.960072828034	0
5515	3204	0.971417662358	1
5888	7329	0.9988065	1
3716	3574	0.8242499	1
1029	7157	0.763958470988	0
3565	3561	0.7388026	1
6351	1232	0.0474295951933	1
24408	29495	0.79410505	0
1027	1029	0.010755909	0
14284	16476	0.8448901	1
3578	3561	0.6912124	1
14282	14283	0.006883341	1
2752	3329	0.499890404237	1
5524	3204	0.959281629372	1
3458	3458	0.13814524	0
3726	3569	0.0529385169184	1
5265	5265	0.000299662169954	0
3560	3561	0.628174451617	1
3558	3558	0.0364337346631	1
338412	5663	0.363085385059	1
3569	3570	0.974187983286	1
4790	4790	0.0210374362976	1
1232	6351	0.0638047811965	1
3569	3569	0.994241763227	1
995	5894	0.94737781158	1
3718	3578	0.9878785	1
6464	1956	0.45230627	1
5893	854976	0.8649512	1
3560	3718	0.980470166077	1
3587	16154	0.925636948985	1
7157	5888	0.9964641	1
6640	6645	0.90637434	0
1387	2033	0.12721509	0
24410	24408	0.49132317	0
3574	3558	0.49602658	1
3643	3480	0.939508374928	1
1756	6641	0.036834802	1
1029	5925	0.048425708	0
291245	24410	0.9981998	0
983	1033	0.9998462	1
6767	10963	0.8227758	0
3725	6908	0.954740148614	1
3320	6767	0.235467361574	0
856831	7157	0.23755358	1
6879	6872	0.59294134	1
351	348	0.49271077	1
2252	2263	0.999872486696	1
11140	3320	0.616180316622	1
1027	5925	0.8549754	0
7076	4312	0.999947468899	1
2353	6908	0.987240876058	1
3574	3716	0.8954039	1
1644	1644	0.490577218442	0
852457	851746	0.233301	0
5925	1032	0.44698715	0
10963	3308	0.966670875289	1
6908	3725	0.976576888522	1
7157	5893	0.812864948133	1
5617	2688	0.2008585	0
3574	3565	0.06096938	1
3458	57126	0.17961545	0
348	348	0.179327074804	1
6850	4067	0.982285139087	1
856831	7341	0.9487922	1
14283	14281	0.08193718	1
39765	31913	0.6860217	1
1029	3845	0.788085976766	0
6360	6360	0.999998254148	0
3572	3569	0.954526627757	1
16476	14283	0.763109693234	1
5894	995	0.952254100203	1
7157	4089	0.006265124	0
3586	3586	0.9997806	0
6354	6352	0.58499245024	0
851495	7341	0.99990916	1
3578	3574	0.28442088	1
3574	3561	0.6399894	1
7157	1028	0.243471362925	0
3577	3579	0.985742883686	1
3565	3439	0.767472146363	0
3586	3458	0.021089246	0
3716	3560	0.987951653329	1
15978	16173	0.49271077	0
7391	6667	0.5436616	1
8502	5663	0.82371676	1
1019	11140	0.984427460509	1
6872	7391	0.9238576	1
6767	3320	0.305057370278	0
655	652	0.7356672	1
3429	5925	0.5061229	0
3716	3558	0.971901476549	1
3558	3560	0.991662005766	1
3133	3133	0.997001648499	1
2247	2263	0.999667632898	1
3480	3480	0.989019264207	1
1232	6354	0.016239251859	1
3439	3565	0.767472146363	0
6667	6879	0.5964206	1
3574	3718	0.7655974	1
3718	3561	0.993131537636	1
6346	6360	0.99906343	0
3204	5524	0.962685078538	1
3204	5501	0.8399136	1
14282	14281	0.28857297	1
