E1	E2	Probability	Label
3561	3558	0.795704223736288	1
7157	7329	0.8883099281351792	1
2643	2643	0.7272575488412025	0
1030	1030	0.9043590047753656	0
2065	2066	0.18523437	0
57126	3458	0.17961545	0
6879	7391	0.9369794	1
6721	6720	0.49132317	0
3192	6850	0.99995594156922	1
3718	3574	0.67121476	1
5743	5743	0.027039252307409223	0
1029	3429	0.015998537	0
2260	2247	0.9999999896848603	1
4089	3845	0.32749692	0
5931	9810	0.61141425	0
4089	7157	0.005972744	0
1232	1232	0.6923380604663623	1
24408	24410	0.49271077	0
3565	3574	0.056113288	1
14784	12928	0.7147922	1
100	100	0.997843351193186	1
14784	12402	0.99603313	1
11338	11338	0.99939348624375	0
22324	12402	0.9999999999999996	1
6352	6360	0.9937517	0
5335	6850	0.963417641019939	1
1030	1028	0.3057705639508469	0
1032	1029	0.000430259	0
6360	1237	1.0	1
1230	1232	0.9999999800391878	1
7852	6352	0.9911931	0
3558	3716	0.998370335771696	1
1017	1033	0.999982176719245	1
1029	1032	0.00033624537	0
3667	6464	0.9831686295084038	1
5241	3320	0.9996373490255077	1
856831	7329	0.82666296	1
5241	6767	0.755311	0
6908	6908	0.9043590047753656	1
627	4915	0.9999646354859818	1
5515	5501	0.6465356661735688	1
3643	3643	0.9999660086547022	1
3718	3718	0.3526376671962952	0
10728	5241	0.3614789	0
3466	3587	0.9325816	0
5663	338412	0.49927440525929334	1
7307	11338	0.9999999998301274	1
9810	5931	0.61141425	0
5501	5515	0.5829622360682176	1
6720	6721	0.49271077	0
1026	1029	0.4475174398884276	0
100768664	4915	0.999999213562678	1
12402	14784	0.99603313	1
7341	7157	0.99726712168949	1
3480	3643	0.9997837877919887	1
3204	5464	0.9999763505185	1
3560	3716	0.99985320709897	1
659	655	0.9999997288791058	1
2263	2252	1.0	1
4067	6850	0.9996458403349453	1
3718	3560	0.9988162549937027	1
7157	1030	0.39444703285058447	0
6351	6354	0.00089344685	1
16153	16153	0.00021504736541422265	0
2264	2247	0.9999881	1
6354	1232	0.029783337285700262	1
6645	20649	0.0038769522	0
7157	3845	0.9994038369916038	0
5618	5617	0.034671817091433965	1
3561	3574	0.48347497	1
7329	851495	0.06096938	1
6348	1230	0.99962333399157	1
3558	3600	0.9999883289919388	1
3560	3558	0.999999999950886	1
3643	2885	0.8682585480310528	1
100125988	100341645	0.999669575593378	1
1029	4089	0.014505671	0
851495	854976	0.99051267	1
6645	6640	0.90637434	0
2688	5617	0.2008585	0
6352	6346	0.2062234	0
983	1017	0.7147922	1
16476	14284	0.7763353	1
1028	1028	0.6916050266660663	0
2885	6464	0.9999999999999941	1
1029	1029	0.9360462426522581	0
1234	6387	0.49271077	0
11140	1019	0.9999994788872993	1
1033	23564	0.7293525	1
6351	1230	0.0018135639391473335	1
3718	3565	0.94553447	1
851495	7157	0.952369	1
3845	1029	0.9946232533865539	0
4915	100768664	0.99999951091328	1
3587	3466	0.9505564	0
6642	1956	0.9100840501070941	1
6387	7852	0.8929092	0
6641	1756	0.036834802	1
3667	3667	0.9999943374261698	1
659	659	0.99826950655936	0
5888	7341	0.9800657	1
2247	2260	0.9999999904719593	1
856831	5893	0.47916996	1
14281	14283	0.08193718	1
1033	1033	0.6907894701621433	0
6360	6352	0.9937517	0
1028	7157	0.257091355856529	0
16176	12362	0.4479259557586517	1
6464	3643	0.9998187226765692	1
4790	1869	0.9999993515927705	1
12507	12507	0.9880994962622751	0
14282	14284	0.7497572	1
6850	5335	0.963517432632859	1
3643	6464	0.9999220178116022	1
1237	1230	0.8683787931759392	1
3589	3726	0.04308427878990373	1
3718	3558	0.996472997078515	1
3576	3576	0.9999992458432128	1
9610	9610	0.99998855674909	1
1956	2885	0.99993134	1
14281	14284	0.056113288	1
851746	852457	0.233301	0
2247	2252	0.99970030329877	1
1029	1027	0.015998537	0
3558	3718	0.99478586136292	1
1029	1030	0.024778574671796894	0
2260	2252	0.9999999836469604	1
14284	14282	0.7497572	1
10963	3320	0.9999946280217413	1
5241	10728	0.5336342	0
3565	3458	0.015276327	0
10728	6767	0.5175111	0
2264	2260	0.729716	1
3716	3718	0.8694529908912716	1
9610	25	0.9999615	1
2885	2885	0.9992011446226736	1
1033	1017	0.9999904848767965	1
16154	3466	0.8968976	0
3429	1029	0.010755909	0
652	655	0.74147606	1
3558	3578	0.8480518	1
943	944	0.9999999999999908	1
3565	3558	0.7227596	1
100125988	100350417	0.9981970442269085	1
1230	6351	0.0016003454089248415	1
3561	3561	0.9759373357498975	0
944	944	0.0774310799441773	1
5524	5464	0.7426576371260071	1
2263	2260	1.0	1
16476	14281	0.8821391	1
6872	6667	0.6075022	1
3587	16153	0.01844090843247792	0
7341	5888	0.99315697	1
3558	100	0.0040666023	0
3320	5241	0.9996846576746306	1
3579	3577	0.9979159430836231	1
100768664	100768664	0.6907412164147405	1
6464	2885	0.9999999999999963	1
854976	7329	0.97603714	1
29495	24410	0.7706806	0
16153	3587	0.013297357580663194	0
100341645	100350417	0.9881069484340147	1
3578	3558	0.818498	1
854976	5893	0.7025438	1
6354	1230	0.7993046878533968	1
1956	1956	0.6907412164147405	1
1387	1387	0.6907412164147405	0
6879	6667	0.5964206	1
3587	3586	0.993419542635582	1
15978	12362	0.4159949	0
854976	851495	0.9912907	1
6387	6352	0.9994101159553626	0
5515	3204	0.998768602144677	1
5888	7329	0.9988065	1
3716	3574	0.8242499	1
1029	7157	0.9764185007786307	0
3565	3561	0.7388026	1
6351	1232	0.08744352407912148	1
24408	29495	0.79410505	0
1027	1029	0.010755909	0
14284	16476	0.8448901	1
3578	3561	0.6912124	1
14282	14283	0.006883341	1
2752	3329	0.6073338200515199	1
5524	3204	0.998182993535662	1
3458	3458	0.2572063726653425	0
3726	3569	0.10317221344580085	1
5265	5265	0.0007663596974033515	0
3560	3561	0.8181999627692474	1
3558	3558	0.07289846604513672	1
338412	5663	0.49910232457572046	1
3569	3570	0.9991554317422964	1
4790	4790	0.13549748970471587	1
1232	6351	0.12185161002004474	1
3569	3569	0.9999999997132217	1
995	5894	0.999863923579272	1
3718	3578	0.9878785	1
6464	1956	0.45230627	1
5893	854976	0.8649512	1
3560	3718	0.9996594120601	1
3587	16154	0.9837556412021831	1
7157	5888	0.9964641	1
6640	6645	0.90637434	0
1387	2033	0.12721509	0
24410	24408	0.49132317	0
3574	3558	0.49602658	1
3643	3480	0.9998180470427045	1
1756	6641	0.036834802	1
1029	5925	0.048425708	0
291245	24410	0.9981998	0
983	1033	0.9998462	1
6767	10963	0.8227758	0
3725	6908	1.0	1
3320	6767	0.32887164976295113	0
856831	7157	0.23755358	1
6879	6872	0.59294134	1
351	348	0.49271077	1
2252	2263	1.0	1
11140	3320	0.703455319412436	1
1027	5925	0.8549754	0
7076	4312	1.0	1
2353	6908	1.0	1
3574	3716	0.8954039	1
1644	1644	0.6907412164147405	0
852457	851746	0.233301	0
5925	1032	0.44698715	0
10963	3308	0.9999997167454877	1
6908	3725	1.0	1
7157	5893	0.9420262207487856	1
5617	2688	0.2008585	0
3574	3565	0.06096938	1
3458	57126	0.17961545	0
348	348	0.35381062279965725	1
6850	4067	0.9993418197972578	1
856831	7341	0.9487922	1
14283	14281	0.08193718	1
39765	31913	0.6860217	1
1029	3845	0.9839013113002557	0
6360	6360	1.0	0
3572	3569	0.9991636169721064	1
16476	14283	0.9715438683646128	1
5894	995	0.99987792915424	1
7157	4089	0.006265124	0
3586	3586	0.99999995186364	0
6354	6352	0.9292733258992766	0
851495	7341	0.99990916	1
3578	3574	0.28442088	1
3574	3561	0.6399894	1
7157	1028	0.3823036634686324	0
3577	3579	0.9978004541203118	1
3565	3439	0.9505324778944247	0
3586	3458	0.021089246	0
3716	3560	0.99979718761888	1
15978	16173	0.49271077	0
7391	6667	0.5436616	1
8502	5663	0.82371676	1
1019	11140	0.9999990862525232	1
6872	7391	0.9238576	1
6767	3320	0.46025408660945566	0
655	652	0.7356672	1
3429	5925	0.5061229	0
3716	3558	0.998370335771696	1
3558	3560	0.9999999999470919	1
3133	3133	0.9999999999999931	1
2247	2263	1.0	1
3480	3480	0.99988791450984	1
1232	6354	0.02717740000881197	1
3439	3565	0.9505324778944247	0
6667	6879	0.5964206	1
3574	3718	0.7655974	1
3718	3561	0.9999943910273185	1
6346	6360	0.99906343	0
3204	5524	0.998159755774804	1
3204	5501	0.8399136	1
14282	14281	0.28857297	1
1033	983	0.9998536	1
6346	6352	0.1725459	0
10728	3320	0.6711548701767709	0
18787	18787	0.0007663596974033515	0
5893	5888	0.9999124	1
851495	856831	0.952369	1
12362	16176	0.4400762281211299	1
23564	1017	0.66158634	1
1956	2066	0.7253037	0
2247	2264	0.99998355	1
7157	856831	0.23755358	1
3569	3572	0.9991237090638977	1
1030	1029	0.0372500173505923	0
5265	7124	0.9987210803981602	0
7528	6879	0.9369794	1
2252	2264	0.9999932	1
1027	3429	0.06541948	0
3561	3718	0.9999926554135291	1
3565	3578	0.86077607	1
2264	2252	0.99999547	1
3458	3439	0.8488714330754856	0
5888	7157	0.99338734	1
3586	3587	0.98875224503133	1
14281	16476	0.9019517	1
6872	7528	0.9238576	1
5464	5524	0.7412478826211512	1
181055	3265	0.6280227	0
1017	1018	0.18523437	1
7124	5265	0.9982273701523467	0
3569	3726	0.13761915323531826	1
5501	3204	0.8399136	1
3439	3439	0.06525439464982974	0
7391	6879	0.9369794	1
3667	2885	0.9999999999997444	1
3192	5335	0.9450261173457281	1
1018	1033	0.99992394	1
943	943	0.9999999383951291	1
1026	1028	0.7496783873133194	0
1230	6352	0.44171798	1
1956	6642	0.9205541268035021	1
7329	5888	0.99918646	1
7133	4914	0.90204307948847	1
6850	6850	0.99977252422671	1
24410	291245	0.99915814	0
11338	7307	0.9999999997221926	1
3308	3320	0.9999972352307512	1
3308	10728	0.62433255	0
1230	6354	0.7503174939053	1
3204	5515	0.9984616505809	1
1019	3320	0.7504950620531848	1
7341	854976	0.9401401	1
3576	3579	0.9999999952191199	1
1869	4790	0.9999983995548735	1
652	659	0.16605829	1
7329	5893	0.9983822402222059	1
4827	3589	0.8651230450115326	0
1956	3667	0.7227596	1
1234	7852	0.9953022520710856	0
5893	5893	0.9998517267594375	1
3558	3565	0.7147922	1
2066	1956	0.729716	0
3561	3565	0.7388026	1
1026	1030	0.6612201573329147	0
2246	2263	0.9999902	1
3561	3578	0.64726406	1
3265	181055	0.6445263	0
2263	2264	1.0	1
983	1018	0.7253037	1
3320	10963	0.9999964371782316	1
10963	10728	0.7669801	0
7076	7076	0.0007663596974033515	1
23564	1033	0.7293525	1
5241	3308	0.9999930656801921	1
2263	2246	0.9999924	1
3480	3667	0.9999999999999997	1
3265	2885	0.8540363	0
3560	3600	0.9873585581071993	1
5925	1029	0.0237877	0
6354	6354	0.6907412164147405	0
3574	3578	0.38617465	1
1017	983	0.7227596	1
3572	3572	0.07391580484416482	1
851495	7329	0.056113288	1
6767	3308	0.6541133	0
1803	100	0.9999999999999905	1
291245	29495	0.9973961011722126	0
12402	22324	0.9999999999999997	1
24408	291245	0.9906805	0
854976	7157	0.48017323	1
3320	11140	0.7088472545091253	1
1232	6348	0.9999998772217168	1
3667	3480	0.9999999999999998	1
12928	12402	0.9996469	1
1030	1026	0.6171311815519513	0
3320	3308	0.9999964593584074	1
12402	12402	0.9999999991568	1
5893	7329	0.9993629299542862	1
31913	39765	0.773204	1
16173	16173	0.9682298717480121	1
1018	1017	0.18523437	1
3308	5241	0.9999898167265396	1
3565	3718	0.94553447	1
6667	7528	0.617933	1
3576	3577	0.9999603193450649	1
3589	4827	0.8651230450115326	0
999	4320	0.49329717565247944	0
655	659	0.9999997551155532	1
854976	856831	0.7147922	1
2353	3725	0.9913545123467534	1
1026	7157	0.21909825930764404	0
3439	3458	0.8488714330754856	0
5663	8502	0.82371676	1
1019	1019	0.98109047741932	1
12477	12402	0.8917238	1
100350417	100341645	0.977368737682482	1
13601	13601	0.002323884494692563	0
7076	116510	0.49900427	0
14284	14281	0.06096938	1
3845	4089	0.33081415	0
1230	6360	0.9999984662616649	1
116510	7076	0.45559925	0
7157	1026	0.21390636332010193	0
2065	1956	0.858974232180068	0
22324	22324	0.9999999991087382	1
7329	854976	0.9757892	1
6872	6879	0.59294134	1
9610	5894	0.9877747	1
1033	1018	0.9999492	1
5335	5335	0.6907412164147405	0
1232	1230	0.9999999800936381	1
