PMID	E1	E2	ClASS_LABEL	PROBABILITY	COS_SIM	GROUPS
26312911	155030	10521	1.0	0.37867498	1.0000002	0
26312911	10521	155030	1.0	0.38830087	1.0000002	1
18462992	155971	1234	1.0	0.22278294	0.99999964|0.0|0.031046819|0.03761194|0.020834472|0.04824342|0.0|0.05290542|0.0|0.12868737|0.0|0.008420772|0.0|0.0|0.0|0.0|0.02778944|0.012220593|0.09323254|0.16313255|0.025596976|0.06648902|0.01270614|0.018990073|0.01449506|0.0|0.065523684|0.022697363|0.024259098|0.0|0.0|0.035050582|0.022946658|0.028039552|0.026477493|0.0|0.0|0.0|0.029316962|0.022470612|0.0|0.05575119|0.011362857|0.0|0.037152845|0.014245277|0.0|0.06615433|0.0|0.023825219|0.064009316|0.054254383|0.0|0.0141952615|0.04301526|0.03381076|0.0|0.11293404|0.025680892|0.0|0.043025948|0.01413681|0.0|0.0|0.019355742|0.0|0.0|0.025803382|0.0|0.027957404|0.0|0.029718796|0.050680075|0.0|0.03215643|0.0|0.0|0.0	2|8|98|128|412|520|746|794|818|856|870|950|1068|1070|1124|1136|1164|1166|1200|1254|1426|1452|1500|1522|1576|1600|1632|1656|1696|1722|1828|1844|1912|2000|2026|2092|2220|2440|2488|2492|2676|2706|2736|2806|2814|2866|2898|2930|3070|3082|3104|3294|3372|3546|3576|3592|3666|3722|3792|3796|3860|3994|4044|4056|4152|4206|4252|4286|4348|4420|4492|4570|4686|4798|4808|4828|4840|4844
18462992	1234	155971	1.0	0.29901415	1.0000001|0.0|0.051831562|0.043099612|0.018042386|0.055346917|0.0|0.05541917|0.0|0.14645629|0.0|0.011120849|0.0|0.0|0.025023408|0.0|0.030687021|0.014517802|0.12918|0.0|0.0|0.07330243|0.032926306|0.018022146|0.011933627|0.0|0.07134351|0.021819778|0.030816056|0.0|0.0|0.03811086|0.022161376|0.0|0.03419453|0.0|0.0|0.0|0.04353462|0.027176963|0.0|0.055882063|0.014302224|0.0|0.04620348|0.009094957|0.0|0.07682955|0.0|0.02991151|0.05908548|0.05381771|0.0|0.015914714|0.047286723|0.038407672|0.0|0.12642671|0.024126975|0.0|0.03649861|0.01598662|0.0|0.0|0.025755052|0.0|0.0|0.023643896|0.0|0.027249228|0.0|0.03691414|0.04220172|0.0|0.043191418|0.0|0.0|0.0	3|9|99|129|413|521|747|795|819|857|871|951|1069|1071|1125|1137|1165|1167|1201|1255|1427|1453|1501|1523|1577|1601|1633|1657|1697|1723|1829|1845|1913|2001|2027|2093|2221|2441|2489|2493|2677|2707|2737|2807|2815|2867|2899|2931|3071|3083|3105|3295|3373|3547|3577|3593|3667|3723|3793|3797|3861|3995|4045|4057|4153|4207|4253|4287|4349|4421|4493|4571|4687|4799|4809|4829|4841|4845
14561767	155945	8945	1.0	0.999913	1.0000002|0.014655389|0.5537267|0.0|0.040911406|0.027884452|0.03621196|0.0124272425|0.06939831|0.033629656|0.0|0.016463947|0.091307685|0.09699293|0.0|0.11304484|0.03311305	4|156|406|446|792|1000|1188|1692|2384|2472|2828|2852|3768|3880|3936|4228|4642
14561767	8945	155945	1.0	0.99991107	1.0000002|0.01690625|0.55365497|0.0|0.056271374|0.039040208|0.03473455|0.00859871|0.07275625|0.022671044|0.08043577|0.014822419|0.09292477|0.09442332|0.048635863|0.10862814|0.027344992	5|157|407|447|793|1001|1189|1693|2385|2473|2829|2853|3769|3881|3937|4229|4643
27032648	156110	3055	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	6|918|928|2204|2288|2382|2476|2568|2656|4790
27032648	3055	156110	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	7|919|929|2205|2289|2383|2477|2569|2657|4791
21345957	155971	1234	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	2|8|98|128|412|520|746|794|818|856|870|950|1068|1070|1124|1136|1164|1166|1200|1254|1426|1452|1500|1522|1576|1600|1632|1656|1696|1722|1828|1844|1912|2000|2026|2092|2220|2440|2488|2492|2676|2706|2736|2806|2814|2866|2898|2930|3070|3082|3104|3294|3372|3546|3576|3592|3666|3722|3792|3796|3860|3994|4044|4056|4152|4206|4252|4286|4348|4420|4492|4570|4686|4798|4808|4828|4840|4844
21345957	1234	155971	1.0	1.0	0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0	3|9|99|129|413|521|747|795|819|857|871|951|1069|1071|1125|1137|1165|1167|1201|1255|1427|1453|1501|1523|1577|1601|1633|1657|1697|1723|1829|1845|1913|2001|2027|2093|2221|2441|2489|2493|2677|2707|2737|2807|2815|2867|2899|2931|3071|3083|3105|3295|3373|3547|3577|3593|3667|3723|3793|3797|3861|3995|4045|4057|4153|4207|4253|4287|4349|4421|4493|4571|4687|4799|4809|4829|4841|4845
20056088	156110	3383	1.0	0.9999665	0.99999994|0.120658465|0.03979502	10|3466|4232
20056088	3383	156110	1.0	0.9999738	1.0|0.1684709|0.033621483	11|3467|4233
