ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
4734	155030	1.0	1
155459	8065	1.0	1
155945	684	1.0	1
3661	155945	1.0	1
19	155971	1.0	0
60489	155459	1.0	1
54106	155971	1.0	1
1387	155971	1.0	0
6596	155807	1.0	1
156110	238	1.0	1
155971	6387	1.0	1
155807	3916	1.0	0
821	155971	1.0	1
155030	684	1.0	0
155807	5886	1.0	1
156110	684	1.0	1
865	155459	1.0	1
920	155971	1.0	1
155459	865	1.0	1
155971	2187	1.0	0
155030	3735	1.0	1
5478	155030	1.0	1
155971	19	1.0	0
25939	155807	1.0	0
156110	6285	1.0	0
155971	54106	1.0	1
155807	25939	1.0	0
8065	155459	1.0	1
3385	155971	1.0	1
155459	200316	1.0	1
155971	3700	1.0	0
3106	155030	1.0	1
684	155945	1.0	1
3700	155971	1.0	0
156110	11337	1.0	0
155030	5478	1.0	1
920	156110	1.0	1
5062	156110	1.0	1
155971	5599	1.0	0
156110	3932	1.0	1
155971	30835	1.0	1
920	155945	1.0	1
155807	6596	1.0	1
925	155030	1.0	0
155030	3106	1.0	1
5599	155971	1.0	0
9648	156110	1.0	1
155971	7852	1.0	1
155030	24137	1.0	1
156110	5062	1.0	1
3055	156110	1.0	1
1984	155908	1.0	1
155971	5045	1.0	0
3916	155807	1.0	0
5045	155971	1.0	0
1755	155971	1.0	1
155971	920	1.0	1
60489	155030	1.0	1
155971	821	1.0	1
155971	1803	1.0	1
1234	155971	1.0	1
156110	3055	1.0	1
155908	1984	1.0	1
155971	100	1.0	0
684	155030	1.0	0
156110	9648	1.0	1
2187	155971	1.0	0
164668	155459	1.0	1
155945	920	1.0	1
684	156110	1.0	1
11337	156110	1.0	0
155030	60489	1.0	1
3612	155807	1.0	0
11168	155908	1.0	1
156110	100313781	1.0	0
200316	155459	1.0	1
155459	164668	1.0	1
155030	4734	1.0	1
155971	1755	1.0	1
6285	156110	1.0	0
5886	155807	1.0	1
7852	155971	1.0	1
155945	8945	1.0	1
156110	821	1.0	1
821	156110	1.0	1
30835	155971	1.0	1
156110	920	1.0	1
100	155971	1.0	0
155971	3385	1.0	1
1803	155971	1.0	1
3735	155030	1.0	1
155971	1234	1.0	1
3932	156110	1.0	1
155807	3612	1.0	0
24137	155030	1.0	1
6387	155971	1.0	1
155030	7251	0.999999999998	1
7251	155030	0.999999999998	1
925	155971	0.999999999998	1
155908	11168	0.999999999998	1
7514	155908	0.999999999997	1
155971	925	0.999999999995	1
155908	7514	0.999999999993	1
155030	10015	0.999999999989	1
1508	155030	0.999999999981	0
155030	1508	0.999999999966	0
8945	155945	0.999999999961	1
920	155030	0.999999999957	1
155030	925	0.999999999952	0
155971	3565	0.999999999932	1
1653	155908	0.99999999993	1
155945	3661	0.999999999896	1
3565	155971	0.999999999829	1
7124	156110	0.999999999441	1
10015	155030	0.999999999214	1
10959	155030	0.999999999184	0
155908	1653	0.99999999912	1
155030	920	0.999999998913	1
940	156110	0.999999998891	0
29110	156110	0.99999999883	0
9564	155807	0.99999999866	0
156110	29110	0.99999999844	0
156110	7124	0.999999998122	1
155459	861	0.999999998044	1
9733	155871	0.999999994646	1
155807	9564	0.999999994222	0
155807	3735	0.999999993523	0
155908	10657	0.999999993039	1
155871	9733	0.999999992089	1
27067	155908	0.999999991903	1
155030	10959	0.999999991856	0
155908	27067	0.99999998708	1
3735	155807	0.999999983738	0
156110	940	0.999999981739	0
7020	156110	0.999999981394	0
861	155459	0.999999979221	1
29082	155030	0.999999975651	1
10657	155908	0.999999956617	1
156110	7020	0.999999955851	0
6667	155030	0.999999943631	0
155908	728378	0.999999938856	0
728378	155908	0.999999927037	0
238	156110	0.9999999	1
100313781	156110	0.9999999	0
5058	156110	0.9999999	1
155971	1387	0.9999999	0
155030	6667	0.999999840198	0
302	155030	0.99999983307	1
155908	6285	0.999999800627	0
155807	3091	0.9999997983	0
156110	5058	0.99999976	1
155030	302	0.999999735531	1
6285	155908	0.999999679431	0
19	156110	0.99999964	1
202559	155908	0.9999995	0
155030	100616444	0.999999478284	0
156110	2736	0.99999944171	0
155971	1524	0.9999994	0
4790	155807	0.999999353372	1
156110	19	0.9999993	1
1524	155971	0.9999993	0
155971	4360	0.999999254599	1
155908	202559	0.99999917	0
904	155871	0.999998920809	1
4360	155971	0.999998847237	1
156110	926	0.9999988	0
2	155971	0.9999987	0
155807	3725	0.999998658339	0
155871	904	0.999998512859	1
155807	4790	0.999998379534	1
29110	155459	0.99999833	1
155459	29110	0.99999833	1
2736	156110	0.999998293784	0
3267	155908	0.9999982	1
9730	155807	0.999998107695	1
3178	155971	0.9999981	1
155971	4843	0.9999981	0
155971	684	0.99999774	0
3725	155807	0.999997726522	0
155807	9730	0.999997657435	1
2745	155971	0.99999744381	0
4738	155945	0.999997251566	1
155945	4738	0.999997183035	1
155971	3178	0.99999714	1
156110	23241	0.9999968	1
3091	155807	0.999996785401	0
155971	2	0.9999964	0
155030	29082	0.999996339748	1
23241	156110	0.9999962	1
5901	155908	0.9999962	1
155908	5901	0.9999962	1
4843	155971	0.99999547	0
7852	156110	0.999995212131	1
155908	3267	0.999995	1
10075	155348	0.999994996113	1
155971	100689229	0.99999464	0
100689229	155971	0.99999464	0
155971	2745	0.999994565865	0
156110	55690	0.9999943	1
5713	155807	0.9999937	0
7020	155971	0.999993676604	0
7433	155971	0.99999297	0
55690	156110	0.9999919	1
155971	7020	0.999990849624	0
156110	7852	0.999990643652	1
155971	28981	0.99999046	0
155945	5817	0.99999001606	0
684	155971	0.9999895	0
10656	155908	0.99998915	0
155348	10075	0.999989104001	1
926	156110	0.9999881	0
25939	155459	0.9999858	0
684	155459	0.9999858	0
5813	155871	0.999981411541	1
920	155459	0.999980763087	1
963	155971	0.99998033	0
155030	85363	0.99997926	1
155030	10642	0.999978647708	1
155459	920	0.999977924811	1
28981	155971	0.99997723	0
156110	100616444	0.9999753	0
155908	3848	0.99997413	0
5122	155971	0.999971800727	0
155971	5122	0.99997035259	0
155807	5713	0.99996996	0
155971	8743	0.999967938136	1
3107	155971	0.99996793	1
1232	155971	0.9999614	1
100616444	155030	0.999958129202	0
100616444	156110	0.99994457	0
85363	155030	0.9999405	1
10642	155030	0.999939408355	1
155459	25939	0.9999391	0
155459	684	0.9999391	0
5817	155945	0.999932562879	0
155971	3107	0.9999244	1
155971	28299	0.999923919822	0
155945	972	0.99992060698	1
28299	155971	0.99991451836	0
155908	10656	0.9999143	0
155971	6351	0.99990225	1
155971	963	0.9999	0
28910	155971	0.999899	0
155971	1232	0.9998971	1
1673	155871	0.999876854943	0
155459	6921	0.999873628019	1
4869	155908	0.999872318317	1
155971	28910	0.99986696	0
3732	155030	0.9998598	0
6351	155971	0.99985385	1
2332	155908	0.999850854855	0
6921	155459	0.999847090995	1
155348	10714	0.9998437	0
6348	155971	0.99984312479	1
155971	6348	0.99984312479	1
801	155971	0.999841880212	1
155971	7433	0.9998363	0
155871	5813	0.999829133726	1
5903	155908	0.9998099	0
8743	155971	0.999800532539	1
155871	1673	0.999784981639	0
50863	155971	0.9997774	0
8835	155459	0.99977726	0
972	155945	0.999739219282	1
155908	4869	0.999729276266	1
155030	200316	0.999722938421	1
155971	1056	0.9996934	0
6426	155030	0.99966013	1
