ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
3107	156110	1.0	1
4734	155030	1.0	1
155908	1653	1.0	1
155908	7514	1.0	1
155459	8065	1.0	1
155945	684	1.0	1
1508	155030	1.0	0
10959	155030	1.0	0
3661	155945	1.0	1
19	155971	1.0	0
7852	156110	1.0	1
60489	155459	1.0	1
100616444	155030	1.0	0
155030	10015	1.0	1
54106	155971	1.0	1
156110	7124	1.0	1
1387	155971	1.0	0
155971	801	1.0	1
6596	155807	1.0	1
156110	238	1.0	1
156110	3106	1.0	1
155971	6387	1.0	1
155807	3916	1.0	0
821	155971	1.0	1
155030	684	1.0	0
155807	5886	1.0	1
155971	10226	1.0	1
156110	684	1.0	1
865	155459	1.0	1
920	155971	1.0	1
155459	865	1.0	1
155971	2187	1.0	0
155030	3735	1.0	1
5478	155030	1.0	1
155971	5122	1.0	0
155971	19	1.0	0
25939	155807	1.0	0
156110	6285	1.0	0
155971	54106	1.0	1
155807	25939	1.0	0
8065	155459	1.0	1
3385	155971	1.0	1
155030	10959	1.0	0
155459	200316	1.0	1
155971	3700	1.0	0
3106	155030	1.0	1
155030	7251	1.0	1
684	155945	1.0	1
3700	155971	1.0	0
156110	11337	1.0	0
156110	1435	1.0	0
6348	155971	1.0	1
940	156110	1.0	0
155030	5478	1.0	1
920	156110	1.0	1
5062	156110	1.0	1
5122	155971	1.0	0
155971	5599	1.0	0
156110	3932	1.0	1
10015	155030	1.0	1
904	155871	1.0	1
155971	30835	1.0	1
920	155945	1.0	1
155807	6596	1.0	1
156110	7020	1.0	0
925	155030	1.0	0
29110	156110	1.0	0
155030	920	1.0	1
155807	3735	1.0	0
155908	2332	1.0	0
1653	155908	1.0	1
7251	155030	1.0	1
155030	3106	1.0	1
7474	155971	1.0	0
10226	155971	1.0	1
155871	904	1.0	1
1435	156110	1.0	0
155971	925	1.0	1
10657	155908	1.0	1
5599	155971	1.0	0
9648	156110	1.0	1
155971	7852	1.0	1
155030	24137	1.0	1
156110	5062	1.0	1
3055	156110	1.0	1
1984	155908	1.0	1
155971	5045	1.0	0
8945	155945	1.0	1
3916	155807	1.0	0
5045	155971	1.0	0
156110	3105	1.0	1
155971	818	1.0	0
7020	156110	1.0	0
3565	155971	1.0	1
1755	155971	1.0	1
6667	155030	1.0	0
155971	920	1.0	1
155971	6348	1.0	1
3735	155807	1.0	0
9564	155807	1.0	0
60489	155030	1.0	1
155971	821	1.0	1
155971	1803	1.0	1
155908	728378	1.0	0
1234	155971	1.0	1
156110	3055	1.0	1
2332	155908	1.0	0
7124	156110	1.0	1
155908	1984	1.0	1
155971	100	1.0	0
684	155030	1.0	0
3091	155807	1.0	0
155030	925	1.0	0
156110	940	1.0	0
156110	9648	1.0	1
2187	155971	1.0	0
164668	155459	1.0	1
156110	3107	1.0	1
155945	920	1.0	1
684	156110	1.0	1
155971	3565	1.0	1
11337	156110	1.0	0
155030	60489	1.0	1
3106	156110	1.0	1
3612	155807	1.0	0
11168	155908	1.0	1
155945	3661	1.0	1
155971	4360	1.0	1
156110	100313781	1.0	0
920	155030	1.0	1
3105	156110	1.0	1
818	155971	1.0	0
9730	155807	1.0	1
155030	1508	1.0	0
200316	155459	1.0	1
155459	164668	1.0	1
155971	7474	1.0	0
156110	29110	1.0	0
155030	4734	1.0	1
200316	155030	1.0	1
155971	1755	1.0	1
6285	156110	1.0	0
5886	155807	1.0	1
155807	9564	1.0	0
155807	3091	1.0	0
7852	155971	1.0	1
155945	8945	1.0	1
156110	821	1.0	1
821	156110	1.0	1
30835	155971	1.0	1
156110	920	1.0	1
155971	8743	1.0	1
801	155971	1.0	1
100	155971	1.0	0
155971	3385	1.0	1
1803	155971	1.0	1
3735	155030	1.0	1
155030	6667	1.0	0
155971	1234	1.0	1
925	155971	1.0	1
155908	10657	1.0	1
7514	155908	1.0	1
3932	156110	1.0	1
155807	3612	1.0	0
24137	155030	1.0	1
155908	11168	1.0	1
728378	155908	1.0	0
6387	155971	1.0	1
8743	155971	1.0	1
27067	155908	0.9999999999999999	1
4360	155971	0.9999999999999998	1
155908	27067	0.9999999999999992	1
4738	155945	0.9999999999999991	1
155945	4738	0.999999999999999	1
156110	7852	0.9999999999999976	1
861	155459	0.9999999999999882	1
155030	200316	0.999999999999976	1
155807	9730	0.999999999999975	1
155459	861	0.9999999999999704	1
155030	100616444	0.9999999999998669	0
155971	7020	0.9999999999998654	0
6285	155908	0.9999999999998297	0
5813	155871	0.9999999999996302	1
155908	6285	0.9999999999992658	0
156110	2736	0.9999999999992434	0
7020	155971	0.9999999999991596	0
10075	155348	0.9999999999984343	1
155871	9733	0.9999999999983787	1
155871	5813	0.9999999999926645	1
9733	155871	0.9999999999923971	1
155348	10075	0.9999999999920569	1
2736	156110	0.9999999999919061	0
302	155030	0.9999999999533794	1
155030	302	0.9999999999509809	1
29082	155030	0.9999999998991664	1
155807	3725	0.9999999998745633	0
155971	6693	0.999999999809014	1
155459	920	0.9999999997513772	1
155459	6921	0.9999999997472956	1
6693	155971	0.99999999973525	1
3725	155807	0.9999999997228245	0
155971	28299	0.9999999995248421	0
155030	29082	0.9999999995206145	1
2745	155971	0.9999999995125233	0
155945	5817	0.9999999993568723	0
920	155459	0.9999999991420123	1
156110	5817	0.999999999065493	1
6921	155459	0.9999999987890149	1
155807	55540	0.9999999983928	0
55540	155807	0.9999999983928	0
28299	155971	0.9999999978733545	0
4790	155807	0.999999997556245	1
5817	156110	0.9999999969318014	1
155971	2745	0.9999999951365313	0
155807	4790	0.9999999949183754	1
5817	155945	0.9999999938249238	0
975	155030	0.99999999215152	0
156110	2534	0.999999988926916	1
3458	155971	0.9999999876767451	1
155030	10642	0.9999999841384425	1
155030	975	0.999999982151944	0
155871	1673	0.9999999806844503	0
1673	155871	0.9999999795289305	0
155030	286	0.9999999782600107	1
155971	3458	0.9999999709711831	1
2534	156110	0.999999960454125	1
155908	1654	0.9999999588443822	1
156110	23547	0.999999953193736	0
156110	22914	0.999999927689944	0
6347	155971	0.9999999218772	1
238	156110	0.9999999	1
100313781	156110	0.9999999	0
5058	156110	0.9999999	1
155971	1387	0.9999999	0
155971	6347	0.9999998838340525	1
23547	156110	0.9999998723368	0
286	155030	0.9999998476009024	1
155945	22914	0.999999806378876	0
10642	155030	0.9999998008888241	1
84268	155908	0.9999997661541153	0
156110	5058	0.99999976	1
155030	7020	0.9999997374145903	0
155030	5879	0.9999996720182531	0
19	156110	0.99999964	1
1654	155908	0.9999996186112499	1
22914	155945	0.99999955718509	0
155908	84268	0.9999995128210736	0
202559	155908	0.9999995	0
155030	3458	0.9999994555831926	1
3458	155030	0.9999994543577734	1
155971	1524	0.9999994	0
156110	19	0.9999993	1
1524	155971	0.9999993	0
155908	202559	0.99999917	0
7020	155030	0.999999159564036	0
22914	156110	0.9999991536	0
115362	155971	0.999999141469008	0
3606	156110	0.999999137654048	0
3135	156110	0.9999989016617036	1
156110	926	0.9999988	0
156110	3135	0.9999987436119537	1
155871	7422	0.99999873120969	0
2	155971	0.9999987	0
156110	356	0.9999986991411288	0
156110	3606	0.99999866677696	0
4869	155908	0.9999985738329631	1
5879	155030	0.9999984631087406	0
356	156110	0.99999843100894	0
29110	155459	0.99999833	1
155459	29110	0.99999833	1
3267	155908	0.9999982	1
3178	155971	0.9999981	1
155971	4843	0.9999981	0
155971	115362	0.99999790557382	0
972	155945	0.9999977842631	1
155971	684	0.99999774	0
155945	972	0.9999976793417821	1
155971	3178	0.99999714	1
156110	23241	0.9999968	1
155971	2	0.9999964	0
23241	156110	0.9999962	1
5901	155908	0.9999962	1
155908	5901	0.9999962	1
155945	30816	0.9999959615121293	0
4843	155971	0.99999547	0
3840	155807	0.9999951297184629	1
155908	4869	0.9999950425280892	1
155908	3267	0.999995	1
155971	100689229	0.99999464	0
100689229	155971	0.99999464	0
156110	55690	0.9999943	1
4691	155908	0.999993994716096	0
5713	155807	0.9999937	0
7433	155971	0.99999297	0
7422	155871	0.9999925604097496	0
30816	155945	0.9999923040874883	0
5478	156110	0.999992052924355	1
55690	156110	0.9999919	1
155971	28981	0.99999046	0
684	155971	0.9999895	0
10656	155908	0.99998915	0
155030	30816	0.9999883276895327	0
926	156110	0.9999881	0
4982	155971	0.9999875230549804	0
25939	155459	0.9999858	0
684	155459	0.9999858	0
155908	4691	0.9999848847952	0
155807	3840	0.9999806645750916	1
963	155971	0.99998033	0
155030	85363	0.99997926	1
28981	155971	0.99997723	0
156110	100616444	0.9999753	0
155908	3848	0.99997413	0
1493	156110	0.9999707384704	0
155807	5713	0.99996996	0
3107	155971	0.99996793	1
925	156110	0.9999660316805146	0
155971	4982	0.9999655725963844	0
1232	155971	0.9999614	1
156110	5478	0.99995427576229	1
155971	6402	0.999947477512741	0
100616444	156110	0.99994457	0
85363	155030	0.9999405	1
155459	25939	0.9999391	0
155459	684	0.9999391	0
156110	925	0.9999388526432123	0
100616444	155945	0.9999382825172316	0
155971	3107	0.9999244	1
155908	10656	0.9999143	0
155807	3838	0.9999125421774446	1
3838	155807	0.9999121854503431	1
156110	1493	0.9999052635598695	0
155971	6351	0.99990225	1
81559	155807	0.9999001753296147	0
155971	963	0.9999	0
28910	155971	0.999899	0
155971	1232	0.9998971	1
6402	155971	0.9998858393771424	0
155971	28910	0.99986696	0
3732	155030	0.9998598	0
6351	155971	0.99985385	1
155348	10714	0.9998437	0
155971	7433	0.9998363	0
155971	7040	0.9998275268986172	1
5903	155908	0.9998099	0
3777	155945	0.9997923772693666	1
155807	81559	0.9997872767912607	0
156110	10399	0.9997852983369682	1
50863	155971	0.9997774	0
8835	155459	0.99977726	0
155459	100616444	0.9997739442661739	0
155945	100616444	0.9997639653918848	0
7040	155971	0.9997159389830288	1
155908	48	0.9996934985377626	0
155971	1056	0.9996934	0
10399	156110	0.999686009686256	1
6426	155030	0.99966013	1
30816	155030	0.9995960108260117	0
155945	3777	0.9995324149495828	1
155030	6998	0.99948394	0
6998	155030	0.999445	0
347376	155030	0.9993794210476211	0
4153	155971	0.9993513	1
100616444	155459	0.9993446096472057	0
155908	5903	0.99933904	0
10714	155348	0.9993248	0
155971	50863	0.9993161	0
3958	155871	0.9993063992231409	0
155030	3732	0.99929404	0
3848	155908	0.99924064	0
155459	8835	0.9991998	0
3574	155030	0.99904925	0
842	155807	0.9990243	0
155030	6426	0.9990181	1
155030	148362	0.9989568	0
48	155908	0.9989481745750786	0
1056	155971	0.9988959	0
155971	4153	0.9988595	1
5901	155030	0.9988331	1
7514	155030	0.9988331	0
156110	1234	0.9988243	0
4261	155030	0.9987362	0
156110	6714	0.99872714	1
155807	836	0.9986524	0
155030	3574	0.9986406	0
3384	155971	0.99848074	0
841	155807	0.99844104	0
155971	1272	0.99794203	0
1272	155971	0.99794203	0
155807	841	0.99789435	0
155971	3384	0.9978363	0
1234	156110	0.99779946	0
