ENTITY1	ENTITY2	PROBABILITY	LABEL
1803	155971	0.790644012028	1
2187	155971	0.0031385782944000074	0
4780	155971	0.0025603989930099713	0
100	155971	0.002470106400000005	0
156110	3932	0.0022795898590199926	0
80279	155971	0.002275971079380046	0
155971	7474	0.0009110484396539498	0
155030	54539	0.0008805142842529534	0
54539	155030	0.0008742029346959779	0
7474	155971	0.0008710955611109794	0
155971	80279	0.000761615556082007	0
155971	920	0.0007520202830619827	0
920	155971	0.000742095546342969	0
3606	156110	0.0005426479523690242	0
801	155971	0.00045860907368300285	0
155971	100	0.0004512781500000118	0
156110	1435	0.000429612438825	0
6890	155971	0.00038541784141399305	0
60489	155459	0.0003638444450430045	0
155971	6890	0.0003612781481320271	0
155971	6402	0.00031266459826895243	0
155459	8453	0.0002814218792249745	0
155971	4780	0.0002683326747749959	0
155807	55540	0.0002584909503120514	0
55540	155807	0.0002584909503120514	0
1435	156110	0.0002563929619200378	0
115362	155971	0.0002507198237770014	0
156110	6774	0.00023381226707497316	0
6774	156110	0.00023381226707497316	0
4261	155030	0.00023363985000002252	0
155971	51497	0.00022019631870795475	0
1669	155971	0.00021974503562904868	0
155971	1669	0.00021612572703699762	0
51311	155030	0.0002111692590519576	0
6402	155971	0.00019889779374704375	0
155971	10226	0.0001719201856870134	0
155971	115362	0.00016343568895205163	0
155030	51311	0.0001606700727290189	0
155971	28299	0.00015984588736095429	0
3502	155971	0.0001573590232719635	0
155971	1803	0.00015355315775600342	0
156110	1493	0.00014785346509205155	0
155971	5045	0.00014385274110695345	0
1493	156110	0.00014366771660800914	0
5045	155971	0.0001405226730629705	1
51497	155971	0.00012851423091297942	0
23547	156110	0.00012325874090202138	0
834	155030	0.000121771947111049	0
155971	10714	0.00012128846576697772	0
1234	155971	0.00011863864972294635	0
156110	3606	0.00011703806941998351	0
7124	155971	0.00011646895368599974	0
155971	1234	0.00010606188696704599	0
155030	1392	9.563939122159137e-05	0
1392	155030	9.400437591433608e-05	0
347376	155971	9.041676430665557e-05	0
155971	347376	9.041676430665557e-05	0
155030	81030	8.887366713816736e-05	0
155971	801	8.43070236606902e-05	0
10959	156110	8.320902612213299e-05	0
10226	155971	8.295136955593918e-05	0
728378	155030	8.173131584610083e-05	0
156110	10959	8.044541285978646e-05	0
3384	155971	7.442276000002579e-05	0
156110	60489	6.896914723819592e-05	0
60489	156110	6.896914723819592e-05	0
6347	155971	6.769984933985285e-05	0
155971	7124	6.513537851726703e-05	0
28299	155971	5.998054516809237e-05	0
5478	156110	5.855118702224882e-05	0
155807	25939	5.722196775548305e-05	0
7422	155871	5.449068032603588e-05	0
25939	155807	5.193082229759671e-05	0
155908	84268	5.1599446108774316e-05	0
84268	155908	5.0337584609483343e-05	0
3704	155908	4.942068125524113e-05	0
10714	155971	4.724231566988202e-05	0
155908	3704	4.719640537054204e-05	0
10399	156110	4.715026631685326e-05	0
8453	155459	4.665472745635224e-05	0
28981	155971	4.546367600000156e-05	0
155030	728378	4.2450933030568905e-05	0
156110	10399	4.227652985855368e-05	0
5933	155971	4.146695200002437e-05	0
155971	3586	4.014858281686795e-05	0
3586	155971	4.014858281686795e-05	0
156110	5478	3.868454496314122e-05	0
155908	30816	3.8579596439936026e-05	0
6693	155971	3.796967557767594e-05	0
155971	3502	3.499993075106733e-05	0
6998	155971	3.0616324000032336e-05	0
155945	22914	2.995051165743945e-05	0
5599	155971	2.88516700003294e-05	0
155971	6693	2.833208227226436e-05	0
920	156110	2.709193918470909e-05	0
155030	834	2.7058053280737404e-05	0
156110	2534	2.655940001417001e-05	0
155971	5599	2.5183269535822284e-05	0
155459	60489	2.4547761761861686e-05	0
818	155971	2.2688196958831064e-05	0
22914	155945	2.2137103688923965e-05	0
156110	3055	2.1578598507598912e-05	0
4513	155971	1.9915301999962054e-05	0
155871	7422	1.9188890202359588e-05	0
155971	3569	1.8853498753745868e-05	0
3569	155971	1.863205774699228e-05	0
155971	818	1.821998680606729e-05	0
22914	156110	1.807347054338937e-05	0
821	155971	1.7509981902641414e-05	0
156110	22914	1.7128465439553153e-05	0
156110	23547	1.5448892929148528e-05	0
156110	3558	1.3810921183687874e-05	0
81030	155030	1.3810408274084196e-05	0
5062	156110	1.3251320461926674e-05	0
7852	155971	1.2280117025809112e-05	0
347376	155030	1.2152123528230696e-05	0
155971	6347	1.1755159304516205e-05	0
156110	920	1.1676253122372415e-05	0
155030	975	1.125174641436466e-05	0
834	155971	1.0398297999980599e-05	0
1056	155971	1.0391112500007793e-05	0
653820	155807	1.0162958499981833e-05	0
302	155030	9.52393514930261e-06	0
100313781	156110	8.501505999958248e-06	0
156110	100313781	8.184341000028184e-06	0
155908	4691	8.051110011675355e-06	0
155030	10959	7.93582825686645e-06	0
155971	30816	7.372388908688521e-06	0
155807	81559	7.370543139151309e-06	0
155030	4261	6.802935999972171e-06	0
155030	347376	6.616048691343579e-06	0
156110	3106	6.022595074761661e-06	0
155971	2064	5.981683054212539e-06	0
2064	155971	5.9330670076906955e-06	0
156110	3107	5.920873062725818e-06	0
30816	155971	5.8970341113573355e-06	0
30816	155908	5.665343204563911e-06	0
3558	156110	5.64614437492672e-06	0
3107	156110	5.570019207978838e-06	0
155971	1056	5.446629000038783e-06	0
7020	155030	5.185138228114283e-06	0
5478	155030	5.169076864541822e-06	0
155459	865	4.911533198259654e-06	0
865	155459	4.565209630436051e-06	0
653820	155971	4.475459149499983e-06	0
155030	7020	4.390968321055233e-06	0
2745	155971	4.134196316729621e-06	0
11337	156110	4.0584423000034064e-06	0
156110	684	4.045513935846401e-06	0
100616444	155030	4.020653450731437e-06	0
155971	2745	4.004846684724228e-06	0
100129339	155030	3.973782400024106e-06	0
200316	155030	3.970659042895619e-06	0
155030	1421	3.7311731000411186e-06	0
4691	155908	3.6957430241679745e-06	0
156110	3105	3.6943422259128056e-06	0
155971	7852	3.6030190765368175e-06	0
155971	10959	3.560308751371366e-06	0
975	155030	3.5271672231829143e-06	0
128866	155030	3.4653709368726027e-06	0
155971	2187	3.4184170234485833e-06	0
155030	200316	3.365371044394827e-06	0
653108	155908	3.2467847306261177e-06	0
156110	356	3.1871015818696335e-06	0
155971	3700	3.170546033715027e-06	0
155030	100129339	3.115237400042048e-06	0
155908	653108	2.9933397508452586e-06	0
