E1	E2	Probability	Label
155459	60489	2.45477617619e-05	0
202559	155908	1.362275e-12	0
302	155030	1.49016589889e-05	0
3107	156110	1.07589470666e-09	0
3458	156110	7.94981e-09	0
155030	4261	6.802936e-06	0
4594	156110	7.060279e-08	0
4734	155030	2.051514e-08	0
3576	155971	3.8108539e-07	0
155908	1653	1.66156413517e-07	0
155030	5594	5.6969980744e-07	0
155971	3576	3.0368065e-07	0
155459	6921	6.60093135707e-09	0
155971	1272	2.0888652e-07	0
155908	7514	6.10458149475e-07	0
1673	155871	6.99575897212e-09	0
155971	26996	1.5063156e-10	0
156110	356	8.85751472168e-11	0
155459	8065	7.26650417726e-07	0
3958	155871	8.07246896106e-07	0
6714	156110	6.224522e-08	0
156110	3458	7.94981e-09	0
100187828	155871	3.1041447e-11	0
155945	684	2.32444316828e-06	0
155030	51014	6.727393e-10	0
156110	1493	2.24585379183e-08	0
10462	155030	8.22657765465e-07	0
3836	155807	1.39479660044e-08	0
1508	155030	1.9393376208e-05	0
10959	155030	2.93284056796e-06	0
684	155971	1.0731747e-08	0
917	156110	3.0530323e-10	0
3661	155945	3.51149644917e-08	0
155971	6347	2.50478656705e-08	0
155030	4314	3.0905917e-07	0
156110	6347	1.9145197e-09	0
19	155971	7.354479e-08	0
155971	115362	2.34440768443e-06	0
7852	156110	2.66588595643e-09	0
155971	6351	2.2394663e-06	0
6998	155971	3.0616324e-05	0
155030	100862696	1.7146250475e-07	0
2028	155908	1.1318558e-09	0
155807	4790	2.84150136298e-06	0
347376	155030	1.21521235282e-05	0
3502	155971	5.99174883598e-07	0
60489	155459	0.000363844445043	0
100616444	155030	4.02065345073e-06	0
155030	10015	4.71679299952e-07	0
54106	155971	2.8307628e-08	0
155030	148362	4.2300923e-09	0
156110	7124	2.33103025771e-09	0
100689229	155030	2.12591259374e-07	0
155030	100689229	2.17913535216e-07	0
155030	27074	2.5574843e-11	0
155030	10521	2.4656266e-09	0
155030	100616444	6.18395836094e-07	0
1387	155971	1.2462424e-07	0
155945	5817	1.81064156868e-06	0
6285	155908	1.79339003981e-06	0
155971	801	1.12010722142e-07	0
310	155030	1.1259217e-09	0
1493	156110	2.09722553768e-08	0
155971	28910	2.0983122e-10	0
155971	3586	1.2278970063e-08	0
6596	155807	1.49723450749e-07	0
155971	4153	1.1069642e-08	0
3732	155030	2.6107544e-10	0
155971	974	5.3578166e-11	0
861	155459	2.45616260663e-09	0
156110	238	1.2250189e-13	0
1421	155030	4.5350532e-07	0
156110	3106	6.02259507476e-06	0
155971	3502	2.42338550338e-08	0
156110	5599	1.5544609e-06	0
79966	155971	8.3630874e-10	0
155971	6387	7.33581573265e-09	0
155807	3916	8.379708e-10	0
653820	155807	1.01629585e-05	0
156110	256987	2.20608006696e-06	0
821	155971	2.72288656179e-05	0
155971	4780	3.9879295477e-07	0
155030	684	9.0010105e-10	0
155030	1629	5.25485261971e-08	0
155030	3565	8.45146175266e-11	0
8835	155459	1.1342509e-06	0
155348	8941	6.504575e-10	0
155807	5886	6.85134443623e-07	0
1109	155971	1.516027e-09	0
5621	155971	1.2462366e-09	0
1669	155971	1.3702340218e-07	0
155971	51497	4.29841639282e-07	0
155971	10226	1.21410288667e-06	0
2720	155971	2.4094062e-09	0
19	156110	1.0221954e-09	0
5594	155030	1.6219012966e-07	0
6402	155030	9.286082e-09	0
155807	3725	4.58842588924e-07	0
728378	155030	3.01701186256e-08	0
155971	834	7.697511e-08	0
156110	684	1.63071927638e-05	0
347376	155807	1.16417986e-07	0
27067	155908	9.52380601049e-08	0
865	155459	4.56520963044e-06	0
155971	2745	6.41446279814e-06	0
3558	155971	1.3512581e-09	0
155807	836	2.2435231e-09	0
22914	155945	2.86895485146e-09	0
156110	925	6.82636400517e-07	0
256987	156110	2.54104678932e-06	0
920	155971	0.000742095546343	0
155459	865	4.91153319826e-06	0
347376	155971	1.26477384899e-07	0
155971	28299	0.000159845887361	0
155971	2187	1.10265969808e-05	0
10714	155348	1.1475741e-10	0
155030	3735	5.75337717246e-07	0
156110	7253	2.77285761019e-09	0
156110	60489	9.89071158308e-09	0
5478	155030	5.16907686454e-06	0
973	155971	3.9907587e-08	0
155971	30816	8.60217819199e-09	0
6737	155030	1.3395417e-12	0
5478	156110	4.87925446713e-08	0
156110	5817	6.35586298037e-08	0
3178	155971	8.1190846e-11	0
1029	155030	6.77389755399e-09	0
155971	4843	5.029765e-08	0
925	155459	1.5766417e-12	0
155971	5122	2.57765843537e-06	0
155971	51311	2.6296616e-09	0
54205	155807	1.4047236e-10	0
6772	155971	3.6933415e-08	0
653820	155971	4.4754591495e-06	0
155971	19	1.0256411e-08	0
148362	155030	5.9148403e-10	0
155971	10959	1.53173520303e-05	0
155971	10410	6.6957796e-08	0
25939	155807	4.6039822954e-08	0
7020	155971	1.4134879045e-08	0
155030	6737	9.744416e-13	0
4869	155908	9.60467927413e-10	0
5713	155807	1.9943416e-10	0
156110	4594	1.9664713e-08	0
3777	155945	2.26977909468e-07	0
155908	653108	9.85489467809e-12	0
155971	4790	3.0371257e-09	0
156110	6285	2.9471434293e-08	0
155030	4320	7.292112e-08	0
155908	6285	8.67937994586e-07	0
155971	54106	1.3077799e-06	0
155908	100271694	3.1647227e-11	0
100862696	155030	3.99950539909e-07	0
155030	1421	3.7311731e-06	0
3267	155908	2.9698074e-07	0
155908	10492	2.65676369793e-13	0
