ENTITY1	ENTITY2	PROBABILITY	LABEL
1803	155971	0.453930982403	1
4780	155971	0.004901979560190006	0
80279	155971	0.0024915127408400295	0
100	155971	0.002470106400000005	0
3606	156110	0.0015171957024400218	0
801	155971	0.0011913114333299557	0
54539	155030	0.0011071577765999763	0
155030	54539	0.0010919511848399566	0
7474	155971	0.0010538246386200267	0
155971	7474	0.0010429332684900317	0
155971	6402	0.0008599628413680227	0
155807	55540	0.0008356541371169479	0
55540	155807	0.0008356541371169479	0
115362	155971	0.0007950004362310414	0
155971	80279	0.0007912259187240478	0
6890	155971	0.0007679537653509927	0
155971	6890	0.000715913300086024	0
156110	1435	0.0006699445536449966	0
155971	10226	0.0006313848892639529	0
7124	155971	0.0005857739023999997	0
155971	115362	0.0005665486817340026	0
155459	8453	0.000553704943694	0
6402	155971	0.0005323219775600352	0
155971	51497	0.0005284078979429507	0
155971	4780	0.0005262678512419905	0
3502	155971	0.0004997163308779751	0
155971	100	0.0004512781500000118	0
6347	155971	0.0004383152993999717	0
51311	155030	0.00041773889960905475	0
1435	156110	0.0004087040436590028	0
920	155971	0.0003884058486709474	0
156110	3606	0.00038661327862599126	0
155971	1669	0.000362961307960985	0
1669	155971	0.00036275299094601365	0
155971	920	0.0003276945976979917	0
2187	155971	0.0003159571533709604	0
51497	155971	0.0003158597300909616	0
155971	7124	0.0003057536732460342	0
155030	51311	0.00029897109236198816	0
155030	1392	0.00029758069731300463	0
1392	155030	0.00029575883355903443	0
10226	155971	0.00029086561449598314	0
7422	155871	0.00029077654290798893	0
156110	3932	0.0002788651873919523	0
155908	84268	0.0002702039986649529	0
84268	155908	0.0002616625735289979	0
156110	6774	0.0002483242909480099	0
6774	156110	0.0002483242909480099	0
155971	801	0.00023546286525399918	0
4261	155030	0.00023363985000002252	0
347376	155971	0.00022260798250695046	0
155971	347376	0.00022260798250695046	0
155971	10714	0.00021943030838500466	0
23547	156110	0.00019617543284600192	0
10959	156110	0.00016297270030396493	0
156110	1493	0.00016172026882999013	0
156110	10959	0.00015783936887603378	0
1493	156110	0.00015381939193104266	0
