ENTITY1	ENTITY2	PROBABILITY	LABEL
1803	155971	0.9371097814448118	1
2187	155971	0.010780856500608116	0
156110	3932	0.006772359544368056	0
100	155971	0.002470106400000005	0
155971	920	0.0009794871281044726	0
920	155971	0.0009641822754727913	0
155971	5045	0.0008073311487591939	0
5045	155971	0.0007608183479579367	1
155971	1803	0.0006887803774108248	0
60489	155459	0.00046687620066732105	0
155971	100	0.0004512781500000118	0
155971	28299	0.00031076164394683303	0
4261	155030	0.00023363985000002252	0
834	155030	0.00018861932579883334	0
1234	155971	0.00016278177528816773	0
155971	1234	0.00012624042360254162	0
28299	155971	0.0001223066615763102	0
4780	155971	7.625317456971814e-05	0
3384	155971	7.442276000002579e-05	0
155030	1508	5.68033791049638e-05	0
156110	3055	4.626854966249816e-05	0
821	155971	4.5497817174777744e-05	0
28981	155971	4.546367600000156e-05	0
155030	834	4.2423525220103286e-05	0
5933	155971	4.146695200002437e-05	0
5062	156110	3.783601212559162e-05	0
155459	60489	3.6801451244405925e-05	0
920	156110	3.656685006125926e-05	0
6998	155971	3.0616324000032336e-05	0
1508	155030	2.96124475637205e-05	0
155807	81559	2.6570105756573703e-05	0
156110	684	2.50901161354955e-05	0
155971	10959	2.3625408023697503e-05	0
4513	155971	1.9915301999962054e-05	0
7852	155971	1.9900662297733795e-05	0
3606	156110	1.9793065545115063e-05	0
302	155030	1.8755435776562912e-05	0
2745	155971	1.758156727582616e-05	0
156110	920	1.7014565515838243e-05	0
155971	2745	1.6839807692070607e-05	0
347376	155030	1.5677214067810752e-05	0
155971	5122	1.5673679473970914e-05	0
155971	2187	1.4734839527519306e-05	0
155030	10959	1.1030401542710955e-05	0
81559	155807	1.093559853238002e-05	0
834	155971	1.0398297999980599e-05	0
1056	155971	1.0391112500007793e-05	0
653820	155807	1.0162958499981833e-05	0
80279	155971	1.0074090785683332e-05	0
155030	347376	8.83239431659355e-06	0
156110	3106	8.745621914219015e-06	0
100313781	156110	8.501505999958248e-06	0
156110	100313781	8.184341000028184e-06	0
155030	302	7.51949126431839e-06	0
10462	155030	7.038335633091641e-06	0
865	155459	6.969007590562626e-06	0
5478	155030	6.8788592110236024e-06	0
155030	4261	6.802935999972171e-06	0
5817	156110	6.643772517356261e-06	0
155459	865	6.5156419980505476e-06	0
653820	155971	6.404138613524957e-06	0
128866	155030	5.902631370680034e-06	0
155971	1056	5.446629000038783e-06	0
100616444	155030	5.085533547055654e-06	0
155807	9730	5.072233385639002e-06	0
9730	155807	4.957448720643853e-06	0
155030	920	4.912827916259133e-06	0
155807	4790	4.821638594720845e-06	0
920	155030	4.742861748785465e-06	0
155971	7852	4.663997993370472e-06	0
801	155971	4.49138772706803e-06	0
904	155871	4.478823037334934e-06	0
155871	904	4.477889581799843e-06	0
115362	155971	4.27486158749435e-06	0
3106	156110	4.236947883540232e-06	0
155971	3700	4.1401668013918425e-06	0
155807	55540	4.12869243804348e-06	0
55540	155807	4.12869243804348e-06	0
2028	155971	4.095390823466438e-06	0
