ENTITY1	ENTITY2	PROBABILITY	LABEL
155971	6387	1.0	0
920	155971	1.0	1
684	155945	1.0	1
5122	155971	1.0	0
155971	30835	1.0	0
155971	7852	1.0	1
155971	5045	1.0	0
5045	155971	1.0	0
155971	920	1.0	1
1234	155971	1.0	1
3612	155807	1.0	0
7852	155971	1.0	1
30835	155971	1.0	0
156110	920	1.0	0
155971	1234	1.0	1
155807	3612	1.0	0
6387	155971	1.0	0
920	156110	0.999999999999	0
155945	684	0.999999999975	1
155459	60489	0.999999999952	0
155945	920	0.999999999811	0
920	155945	0.999999999666	0
60489	155459	0.999999999328	0
3932	156110	0.999999993948	1
925	155030	0.99999999367	0
156110	3932	0.99999999303	1
155971	3700	0.999999988245	0
3700	155971	0.999999983914	0
155030	3106	0.999999979915	1
60489	155030	0.99999996798	1
7251	155030	0.999999964623	1
155030	7251	0.999999946606	1
155030	60489	0.999999932984	1
821	155971	0.999999564522	1
5901	155908	0.9999994	0
155908	5901	0.9999994	0
3055	156110	0.999999133028	1
155971	6351	0.99999905	0
155030	925	0.999998519587	0
155807	3916	0.99999845	0
155971	821	0.999998079927	1
155030	10015	0.999997936762	1
155971	1524	0.99999785	1
6351	155971	0.99999714	0
156110	3055	0.999996898692	1
155971	1803	0.999995815036	0
1524	155971	0.9999951	1
5478	155030	0.999994400987	0
1803	155971	0.999993255988	0
3916	155807	0.9999925	0
2187	155971	0.999988973626	0
155030	5478	0.999988172852	0
7514	155908	0.999983805897	1
3106	155030	0.999976362829	1
10015	155030	0.999973291526	1
155971	925	0.999967015083	0
155030	302	0.999961898255	1
302	155030	0.999953677468	1
155971	5122	0.999950160294	0
155908	7514	0.999948014103	1
155807	3735	0.999938356964	0
155030	100616444	0.999937461518	0
155030	5901	0.99993443	0
155030	7514	0.99993443	0
10959	155030	0.999930104972	0
11168	155908	0.999919966964	0
155908	11168	0.999908041499	0
8065	155459	0.999895144228	0
6348	155971	0.999891771591	0
155971	6348	0.999891771591	0
156110	5062	0.999889981424	1
155971	1232	0.9998827	0
5062	156110	0.999827996004	1
5901	155030	0.99982554	0
7514	155030	0.99982554	0
925	155971	0.999822930077	0
155908	728378	0.999820211043	0
155971	2187	0.999813812018	0
1232	155971	0.9997738	0
155459	8065	0.999675361168	0
155807	3091	0.999645231792	0
9564	155807	0.999620392168	0
3735	155807	0.999475781233	0
155030	10959	0.999345528306	0
100	155971	0.9992914	0
3622	155030	0.99920744	0
728378	155908	0.999158773963	0
155030	29082	0.999117171783	1
155459	164668	0.999116356764	0
155908	1984	0.999092726137	0
155030	3622	0.9990094	0
29082	155030	0.998696406621	1
3091	155807	0.99863888691	0
155030	4734	0.9986015	0
155459	865	0.998534790701	0
155971	7020	0.998455907773	0
155971	100	0.99845135	0
155971	1056	0.9982173	0
156110	6285	0.998156041388	0
1056	155971	0.99799746	0
1653	155908	0.99783202985	1
4734	155030	0.99780697	0
920	155030	0.997795294389	1
100616444	155030	0.997784645076	0
155945	1128	0.99770504	0
1128	155945	0.99770504	0
155807	10980	0.99741733	0
10980	155807	0.99741733	0
92421	155030	0.99731725	1
155030	7329	0.99724364	1
155030	24137	0.997123437246	1
155030	920	0.997086948707	1
155971	28910	0.99698204	0
7020	155971	0.996747578033	0
155030	92421	0.99663514	1
155807	9564	0.996591273689	0
164668	155459	0.996451377757	0
1984	155908	0.996400073702	0
155908	1653	0.996262491752	1
55690	156110	0.99579084	0
28910	155971	0.99576145	0
6285	156110	0.9950378915	0
904	155871	0.994754250204	1
865	155459	0.993877144219	0
155459	200316	0.993811181227	1
155871	904	0.993121764766	1
156110	100616444	0.9930837	0
155908	2332	0.993030710406	0
200316	155459	0.992833118608	1
4843	155971	0.99206805	0
24137	155030	0.991574889216	1
100616444	156110	0.99088216	0
7329	155030	0.989167	1
2332	155908	0.986185655993	0
155030	3458	0.984879328293	0
