ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	0
155908	7514	1.0	1
156110	356	1.0	0
155459	8065	1.0	0
155945	684	1.0	1
60489	155459	1.0	0
155030	10015	1.0	1
155971	6387	1.0	0
920	155971	1.0	1
5478	155030	1.0	0
155971	5122	1.0	0
8065	155459	1.0	0
155971	3700	1.0	0
684	155945	1.0	1
3700	155971	1.0	0
920	156110	1.0	0
5122	155971	1.0	0
10015	155030	1.0	1
155971	30835	1.0	0
920	155945	1.0	0
925	155030	1.0	0
29110	156110	1.0	0
7251	155030	1.0	1
155030	3106	1.0	1
155971	925	1.0	0
155971	7852	1.0	1
155971	5045	1.0	0
5045	155971	1.0	0
155971	920	1.0	1
155971	1803	1.0	0
1234	155971	1.0	1
155030	925	1.0	0
155945	920	1.0	0
3612	155807	1.0	0
356	156110	1.0	0
156110	29110	1.0	0
7852	155971	1.0	1
30835	155971	1.0	0
156110	920	1.0	0
1803	155971	1.0	0
155971	1234	1.0	1
925	155971	1.0	0
7514	155908	1.0	1
155807	3612	1.0	0
6387	155971	1.0	0
155030	5478	0.9999999999999981	0
155030	7251	0.9999999999999768	1
156110	3932	0.9999999999999588	1
3932	156110	0.999999999999896	1
6348	155971	0.9999999999989042	0
155971	6348	0.9999999999989042	0
60489	155030	0.999999999998728	1
3106	155030	0.9999999999978283	1
155030	60489	0.9999999999967704	1
10959	155030	0.9999999999964774	0
821	155971	0.9999999999956586	1
155030	10959	0.999999999976798	0
155971	821	0.9999999998883542	1
156110	3055	0.9999999998766731	1
155908	728378	0.9999999998648216	0
2187	155971	0.9999999998193224	0
3055	156110	0.9999999997836467	1
5062	156110	0.9999999982234473	1
156110	5062	0.9999999980316118	1
155807	3735	0.9999999930157322	0
155971	2187	0.9999999922612175	0
3735	155807	0.9999999860081468	0
155459	164668	0.9999999638957507	0
155971	7020	0.9999998614997643	0
155971	801	0.999999843439	0
155030	100616444	0.9999997705110468	0
728378	155908	0.9999997699970578	0
801	155971	0.9999997096231972	0
155030	302	0.9999996952159725	1
100616444	155030	0.9999996751623333	0
164668	155459	0.9999994070400184	0
5901	155908	0.9999994	0
155908	5901	0.9999994	0
302	155030	0.999999371113633	1
155908	1984	0.9999991593992565	0
155971	6351	0.99999905	0
1984	155908	0.9999989388132456	0
155908	11168	0.9999985730977718	0
155030	920	0.9999985666395286	1
7020	155971	0.9999985054699284	0
155807	3916	0.99999845	0
155971	1524	0.99999785	1
11168	155908	0.9999978443485567	0
9564	155807	0.9999975294606145	0
6351	155971	0.99999714	0
920	155030	0.9999970131834127	1
155908	1653	0.9999965288429506	1
6285	156110	0.999996176165573	0
1524	155971	0.9999951	1
155807	3091	0.9999938650969261	0
1653	155908	0.9999930649199802	1
3916	155807	0.9999925	0
156110	6285	0.9999831876851764	0
155908	2332	0.9999794414357861	0
6347	155971	0.9999687700486725	0
3091	155807	0.9999637177329569	0
155971	6347	0.9999541000519377	0
904	155871	0.9999450529076491	1
155871	904	0.9999450518908913	1
155030	24137	0.9999439780824241	1
7020	156110	0.9999374616796941	0
156110	7020	0.9999372596182112	0
155030	5901	0.99993443	0
155030	7514	0.99993443	0
5478	156110	0.9999144000009257	0
155030	29082	0.9999133054187296	1
155807	9564	0.9998897097528714	0
155459	200316	0.9998841007264507	1
155971	1232	0.9998827	0
156110	5478	0.9998604000003704	0
5901	155030	0.99982554	0
7514	155030	0.99982554	0
200316	155459	0.9998230054314624	1
155871	7422	0.9997896600001369	0
1232	155971	0.9997738	0
2332	155908	0.9997317869506477	0
24137	155030	0.9997189934099923	1
155459	865	0.9997121925228284	0
29082	155030	0.9996520981881067	1
28299	155971	0.9993792211742604	0
7422	155871	0.9993642000016512	0
100	155971	0.9992914	0
3622	155030	0.99920744	0
3458	155030	0.9990324023185279	0
155030	3458	0.999032312267408	0
155030	3622	0.9990094	0
865	155459	0.9989994348730611	0
155030	4734	0.9986015	0
155971	100	0.99845135	0
155971	1056	0.9982173	0
1056	155971	0.99799746	0
4734	155030	0.99780697	0
155971	10959	0.9977547183702407	0
155945	1128	0.99770504	0
1128	155945	0.99770504	0
10959	155971	0.9975547662474302	0
155807	10980	0.99741733	0
10980	155807	0.99741733	0
7852	156110	0.9973779405595098	1
92421	155030	0.99731725	1
155030	7329	0.99724364	1
155971	28910	0.99698204	0
4691	155908	0.9969624508309501	0
155908	4691	0.996953193921222	0
155030	92421	0.99663514	1
3105	156110	0.9959802779993244	1
55690	156110	0.99579084	0
28910	155971	0.99576145	0
818	155971	0.9945228850975	0
156110	100616444	0.9930837	0
5599	155971	0.992418174908536	0
4843	155971	0.99206805	0
155971	818	0.99204149801965	0
155030	3735	0.9918161648672649	0
100616444	156110	0.99088216	0
3735	155030	0.9896425934277631	0
155971	2028	0.9896283450533494	0
155971	28299	0.989534433722686	0
7329	155030	0.989167	1
155030	975	0.9889481165805312	1
3840	155807	0.9889361076854386	0
155807	3840	0.9887294271492922	0
155459	920	0.986346849755894	0
155945	3661	0.9840985388834079	1
155971	8743	0.9831937600886664	0
972	155945	0.9829342902749317	0
156110	55690	0.98217255	0
7020	155030	0.9813186514526924	0
155030	7020	0.9813186508290386	0
920	155459	0.9808814409968568	0
155807	55540	0.9801880599228185	0
55540	155807	0.9801880599228185	0
100862696	155030	0.9791460533728054	0
155971	3385	0.9780687099113345	0
155945	972	0.9773924817767313	0
1755	155971	0.9764534	0
155807	5886	0.9756302997835655	0
155971	19	0.9738227	0
156110	684	0.9736018365439164	0
19	155971	0.9733011	0
28981	155971	0.97314745	0
2028	155971	0.9727241474553091	0
1387	155971	0.9698406	0
115362	155971	0.9639968570636713	0
7124	156110	0.9623778527462629	0
8743	155971	0.9612641661607081	0
156110	7124	0.9584039821234731	0
155971	4843	0.95693445	0
684	156110	0.9495142591782386	0
3106	156110	0.9463176277708635	1
10075	155348	0.9451133365211208	0
155971	5599	0.94469715881164	0
155971	28981	0.94447947	0
155971	1755	0.94260454	0
156110	7852	0.9370804986284664	1
3385	155971	0.936826798322477	0
155030	100862696	0.9342353180210679	0
5886	155807	0.9342159945344396	0
50863	155971	0.9330133	0
5713	155807	0.92731076	0
25939	155459	0.9258251	0
684	155459	0.9258251	0
155971	50863	0.9173873	0
155945	100616444	0.9160261362832862	0
5817	156110	0.9136908437905065	0
347376	155030	0.9101857730071826	0
3661	155945	0.9101186917798512	1
155030	347376	0.9092674353090283	0
155030	3732	0.8986902	1
155030	728378	0.88998606607468	0
155971	4982	0.8792391249834609	0
155971	2	0.8787983	0
23241	156110	0.8781438	0
54106	155971	0.8675209	0
155459	25939	0.8593484	0
155459	684	0.8593484	0
155971	3384	0.85901916	0
728378	155030	0.852088536495395	0
3732	155030	0.8501546	1
975	155030	0.8462173833485159	1
94025	155971	0.8445424	0
156110	5817	0.8347290793539048	0
155971	115362	0.8240438895699256	0
155807	5713	0.8201554	0
155971	1387	0.81919056	0
155971	2745	0.8095535939493906	0
2745	155971	0.8080268799032968	0
155971	94025	0.80678374	0
156110	23241	0.8011379	0
2534	156110	0.7795139699690862	0
3384	155971	0.77554524	0
155971	7432	0.7732591	0
155971	54106	0.7295864	0
4360	155971	0.7284566781669757	0
6693	155971	0.7170809817447804	0
7432	155971	0.71388906	0
4982	155971	0.7001697030578802	0
155459	6921	0.6937276378398369	0
4780	155971	0.6889697978055995	0
155971	4360	0.6777580114364605	0
155030	30816	0.662356875095611	0
30816	155030	0.6579625284739858	0
6921	155459	0.640404582311145	0
155971	4780	0.6205330187817857	0
7474	155971	0.6200168055528579	0
1508	155030	0.6145394098274366	0
5817	155945	0.6110976809623011	0
155945	5817	0.6057039942576088	0
155971	6693	0.6041746339520111	0
155971	7474	0.5923487716341129	0
155030	1508	0.5920948098630636	0
156110	3106	0.5920140718085914	1
156110	10399	0.582283666683098	0
2	155971	0.5791079	0
10399	156110	0.5578929352284648	0
156110	2534	0.5553154498730499	0
155908	3267	0.5499987	0
155945	3777	0.5419169311813467	0
22914	156110	0.5399541919574672	0
10462	155030	0.5397477066011052	0
10642	155030	0.513552174613781	1
128866	155030	0.5055750979622778	1
84268	155908	0.48859584001015777	0
156110	22914	0.4882545493539352	0
155348	10075	0.48109496295593523	0
155030	10462	0.4792072574581303	0
155030	128866	0.4768052004938734	1
156110	1435	0.4633387190097157	0
5879	155030	0.4449256809201316	0
155807	9730	0.44463104294820965	1
9730	155807	0.4443990825522951	1
156110	23547	0.4413465613240616	0
23547	156110	0.44134654163991605	0
155908	84268	0.43819314001115894	0
100616444	155945	0.4222459986762639	0
156110	821	0.41828254	0
48	155908	0.41691484395106393	0
925	156110	0.4017837362466061	1
156110	3105	0.39381636624026906	1
3565	155971	0.389192317576709	0
155971	3565	0.38808376302690717	0
684	155030	0.3879283	1
79719	155030	0.38454220000000006	0
940	156110	0.3776573209461468	1
155030	6285	0.37215278918769934	0
821	156110	0.36322656	0
6285	155030	0.36180619219728616	0
155030	10642	0.32878670615247974	1
155459	861	0.316244091197852	0
861	155459	0.30930537669075475	0
155971	6890	0.3083764036940635	0
2720	155971	0.30175894000000003	0
155030	3456	0.30153304000000003	0
10959	155807	0.30153304000000003	0
925	155459	0.30070814	0
81030	155030	0.29875154751497024	0
155807	10959	0.29793388	0
3456	155030	0.29793388	0
155971	351	0.29323444	0
