ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
3107	156110	1.0	1
4734	155030	1.0	1
155908	1653	1.0	1
155908	7514	1.0	1
156110	356	1.0	1
155459	8065	1.0	1
155945	684	1.0	1
1508	155030	1.0	1
10959	155030	1.0	0
3661	155945	1.0	1
19	155971	1.0	0
7852	156110	1.0	1
60489	155459	1.0	1
100616444	155030	1.0	0
155030	10015	1.0	1
54106	155971	1.0	1
156110	7124	1.0	1
155030	100616444	1.0	0
1387	155971	1.0	0
155971	801	1.0	1
6596	155807	1.0	1
156110	238	1.0	1
156110	3106	1.0	1
155971	6387	1.0	1
155807	3916	1.0	1
821	155971	1.0	1
155030	684	1.0	1
155807	5886	1.0	1
155971	10226	1.0	1
156110	684	1.0	1
865	155459	1.0	1
920	155971	1.0	1
155459	865	1.0	1
155971	28299	1.0	0
155971	2187	1.0	0
155030	3735	1.0	1
5478	155030	1.0	1
155971	5122	1.0	0
155971	19	1.0	0
25939	155807	1.0	0
156110	6285	1.0	0
155971	54106	1.0	1
155807	25939	1.0	0
8065	155459	1.0	1
3385	155971	1.0	1
155030	10959	1.0	0
155459	200316	1.0	1
155971	3700	1.0	0
3106	155030	1.0	1
155030	7251	1.0	1
684	155945	1.0	1
3700	155971	1.0	0
156110	11337	1.0	1
156110	1435	1.0	0
6348	155971	1.0	1
940	156110	1.0	1
155030	5478	1.0	1
920	156110	1.0	1
5062	156110	1.0	1
5122	155971	1.0	1
155971	5599	1.0	1
156110	3932	1.0	1
10015	155030	1.0	1
904	155871	1.0	1
155971	30835	1.0	1
920	155945	1.0	1
155807	6596	1.0	1
156110	7020	1.0	0
925	155030	1.0	0
29110	156110	1.0	0
155030	920	1.0	1
155807	3735	1.0	1
155908	2332	1.0	0
1653	155908	1.0	1
7251	155030	1.0	1
155030	3106	1.0	1
7474	155971	1.0	0
10226	155971	1.0	1
155871	904	1.0	1
1435	156110	1.0	0
155971	925	1.0	1
10657	155908	1.0	1
5599	155971	1.0	0
9648	156110	1.0	1
155971	7852	1.0	1
155030	24137	1.0	1
156110	5062	1.0	1
3055	156110	1.0	1
1984	155908	1.0	1
155971	5045	1.0	1
8945	155945	1.0	1
3916	155807	1.0	0
5045	155971	1.0	1
156110	3105	1.0	1
155971	818	1.0	0
7020	156110	1.0	1
3565	155971	1.0	1
1755	155971	1.0	1
155971	920	1.0	1
155971	6348	1.0	1
3735	155807	1.0	0
9564	155807	1.0	0
60489	155030	1.0	1
155971	821	1.0	1
155971	1803	1.0	1
155908	728378	1.0	0
1234	155971	1.0	1
156110	3055	1.0	1
2332	155908	1.0	0
7124	156110	1.0	1
155908	1984	1.0	1
155971	100	1.0	1
684	155030	1.0	1
3091	155807	1.0	0
155030	925	1.0	0
156110	940	1.0	1
156110	9648	1.0	1
2187	155971	1.0	0
164668	155459	1.0	1
156110	3107	1.0	1
155945	920	1.0	1
684	156110	1.0	1
155971	3565	1.0	1
11337	156110	1.0	0
155030	60489	1.0	1
155871	7422	1.0	1
3106	156110	1.0	1
3612	155807	1.0	0
11168	155908	1.0	1
155945	3661	1.0	1
155971	4360	1.0	1
156110	100313781	1.0	0
920	155030	1.0	1
3105	156110	1.0	1
818	155971	1.0	0
9730	155807	1.0	1
155030	1508	1.0	0
200316	155459	1.0	1
155459	164668	1.0	1
155971	7474	1.0	1
356	156110	1.0	0
156110	29110	1.0	0
155030	4734	1.0	1
200316	155030	1.0	1
155971	1755	1.0	1
6285	156110	1.0	0
5886	155807	1.0	1
155807	9564	1.0	0
155807	3091	1.0	1
7852	155971	1.0	1
155945	8945	1.0	1
156110	821	1.0	1
821	156110	1.0	1
30835	155971	1.0	1
155971	7040	1.0	1
156110	920	1.0	1
155971	8743	1.0	1
801	155971	1.0	1
100	155971	1.0	0
155971	3385	1.0	1
1803	155971	1.0	1
3735	155030	1.0	1
155971	1234	1.0	1
925	155971	1.0	1
155908	10657	1.0	1
7514	155908	1.0	1
155871	1673	1.0	1
3932	156110	1.0	1
155971	1524	1.0	1
155807	3612	1.0	0
24137	155030	1.0	1
155908	11168	1.0	1
6387	155971	1.0	1
8743	155971	1.0	1
728378	155908	0.9999999999999997	0
155030	302	0.9999999999999996	1
302	155030	0.9999999999999994	1
155030	29082	0.9999999999999994	1
155807	3725	0.9999999999999994	1
156110	7852	0.9999999999999991	1
155030	6667	0.9999999999999859	1
27067	155908	0.999999999999894	1
155807	4790	0.9999999999996707	1
155971	3107	0.9999999999994473	1
6667	155030	0.9999999999992318	0
9733	155871	0.9999999999989296	1
5901	155908	0.9999999999985473	1
155908	5901	0.9999999999985473	1
4153	155971	0.9999999999980643	1
155908	27067	0.999999999996595	1
1524	155971	0.99999999999657	1
155971	28981	0.9999999999940052	0
155971	6351	0.9999999999939292	1
155971	7020	0.9999999999920399	1
155871	9733	0.9999999999819039	1
155908	6285	0.9999999999815649	0
6285	155908	0.9999999999792731	0
156110	256987	0.999999999942142	1
29082	155030	0.9999999999366754	1
155971	50863	0.9999999999170953	0
155971	834	0.9999999999049374	1
155971	4513	0.9999999998101379	0
155807	5713	0.9999999997998128	0
155807	9730	0.9999999997163945	1
155971	6347	0.9999999997033553	1
7020	155971	0.9999999996643812	0
148362	155030	0.9999999996384685	0
347376	155030	0.9999999996024861	0
6351	155971	0.9999999995820215	1
4738	155945	0.9999999995310859	1
28299	155971	0.9999999992431966	0
155945	5817	0.9999999991576736	1
155459	861	0.9999999990330706	1
155459	6921	0.9999999989744781	1
156110	2736	0.9999999989328875	0
155459	920	0.9999999984290971	1
155971	1232	0.9999999980933274	1
155971	2	0.9999999973842718	1
861	155459	0.9999999969492824	1
2745	155971	0.9999999958171996	1
1232	155971	0.9999999957516535	1
920	155459	0.9999999956576016	1
4843	155971	0.9999999953133648	0
2736	156110	0.99999999458472	0
155971	3384	0.9999999937635361	0
4360	155971	0.9999999919111144	1
155971	94025	0.9999999911888894	0
10075	155348	0.9999999882014706	1
155971	1387	0.9999999875736029	0
156110	23241	0.9999999873067501	1
3725	155807	0.9999999775852267	0
155971	6693	0.9999999724078908	1
155945	4738	0.999999970084135	1
156110	55690	0.9999999699385359	1
155971	2745	0.9999999668246214	0
55690	156110	0.999999965924946	1
156110	100616444	0.9999999650133872	0
4790	155807	0.9999999640771587	1
155945	972	0.999999949236745	1
155348	10075	0.9999999468577729	1
156110	5058	0.9999999348093367	1
156110	22914	0.9999999302721426	1
155971	4843	0.9999999181817981	1
100313781	156110	0.9999999073006169	0
155459	25939	0.9999999063292107	0
155459	684	0.9999999063292107	0
5058	156110	0.999999900117643	1
238	156110	0.999999900001823	1
5901	155030	0.9999998780407445	1
7514	155030	0.9999998780407445	0
155971	28910	0.9999998618307036	0
155971	4982	0.9999998503057934	0
100616444	156110	0.9999998472024756	0
5813	155871	0.99999984355313	1
5817	155945	0.9999998120993503	0
155807	81559	0.9999997849606055	1
156110	2534	0.9999997797731519	1
155030	5901	0.9999997620917047	1
155030	7514	0.9999997620917047	1
155908	1654	0.9999997491256724	1
202559	155908	0.9999996958472241	1
1673	155871	0.9999996884593694	0
2	155971	0.9999996680234364	0
155030	3458	0.9999996667007425	1
19	156110	0.9999996613816095	1
972	155945	0.9999996529285423	1
155871	5813	0.9999996157595282	1
155945	22914	0.9999996099528434	1
28910	155971	0.9999995722939871	0
3458	155030	0.9999995445027541	1
5713	155807	0.9999995431443401	0
23241	156110	0.999999536947035	1
155971	1056	0.9999995338089512	0
155971	3458	0.999999469414108	1
155030	975	0.9999994527541852	1
5817	156110	0.9999994444160575	1
28981	155971	0.9999993886076125	0
155908	202559	0.9999993125023615	0
156110	19	0.9999993000684562	1
155030	10642	0.9999990063787707	1
25939	155459	0.9999989529419135	0
684	155459	0.9999989529419135	0
3178	155971	0.9999988878457592	1
3267	155908	0.9999988858360846	1
156110	926	0.9999988330446362	1
684	155971	0.999998779283988	1
156110	10399	0.9999987109928893	1
155971	7124	0.9999984339644871	1
29110	155459	0.9999983322225957	1
155459	29110	0.9999983322225957	1
155971	684	0.9999981644867221	1
1056	155971	0.9999979560132485	1
155030	30816	0.9999978509623658	0
155908	3267	0.9999977945737396	1
155971	3178	0.9999972583828575	1
5879	155030	0.9999971765630674	0
155030	5879	0.9999968715806477	1
155971	115362	0.9999958253882432	0
6921	155459	0.9999956190424851	1
256987	156110	0.9999952016538596	0
155971	100689229	0.9999950797648647	0
100689229	155971	0.9999950797648647	0
10642	155030	0.9999945821119397	1
7433	155971	0.999993200120912	0
155971	7433	0.9999928679838463	1
155971	2028	0.9999926320652205	0
4869	155908	0.9999899255303448	1
10656	155908	0.999989887583823	1
156110	5817	0.9999896711339755	1
155945	3777	0.999989457496356	1
926	156110	0.9999886342081127	1
92421	155030	0.9999883848077704	1
155971	5933	0.9999863949430396	0
50863	155971	0.9999850887616606	0
963	155971	0.9999840534076866	0
156110	3606	0.9999813261023762	1
155030	85363	0.9999797397147514	1
3622	155030	0.9999795680157234	0
3732	155030	0.9999789917475813	1
155908	3848	0.9999778673291395	0
155030	286	0.9999762444727355	1
155971	7432	0.9999750151627447	0
155030	92421	0.9999743136658463	1
155030	3622	0.9999741523835228	0
155030	7020	0.9999700056336379	0
3107	155971	0.9999680160044331	1
155807	55540	0.9999674113565373	0
55540	155807	0.9999674113565373	0
6347	155971	0.9999651800712241	1
155030	7329	0.9999614909407141	1
155807	10980	0.9999606710668006	1
10980	155807	0.9999606710668006	1
155908	5903	0.9999556322357548	0
7020	155030	0.9999540787302463	0
155908	4869	0.9999530350483335	1
7422	155871	0.9999525965801253	0
155030	3732	0.9999497992812613	1
85363	155030	0.9999405388866295	1
155971	4780	0.9999379371463444	1
155971	10959	0.9999224540254302	0
1654	155908	0.9999216066362725	1
155908	10656	0.9999168727201875	0
155348	10714	0.9999042967384987	0
155971	963	0.9999000289685482	0
30816	155030	0.9998981472359255	0
4691	155908	0.99989775055392	0
81559	155807	0.9998968217048173	0
155030	200316	0.999894456107749	1
156110	6714	0.9998943558355579	1
925	156110	0.999890876597955	1
155908	4691	0.9998894920683132	0
155871	100187828	0.9998887746273281	0
6693	155971	0.9998859193421985	1
155807	3840	0.9998778533461966	1
10399	156110	0.999877600883384	1
3840	155807	0.999856566254224	1
7040	155971	0.9998338672564198	1
3458	155971	0.9998306035416308	1
7329	155030	0.9998295992395629	1
286	155030	0.9998292538617197	1
156110	925	0.9998225021448891	1
10714	155348	0.9998099372885455	0
5903	155908	0.9998099088820439	1
10959	155971	0.9998087814106623	0
8835	155459	0.9998025247349775	0
1236	155971	0.9997570939143618	0
155971	1236	0.9997570939143618	1
3777	155945	0.9997050545047103	1
94025	155971	0.9996908351276318	0
115362	155971	0.9996773180700477	0
6426	155030	0.9996701738076396	1
156110	3135	0.9996671660393439	1
3384	155971	0.9996590205222465	0
155945	1128	0.9995624239137219	0
1128	155945	0.9995624239137219	0
