ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
4734	155030	1.0	1
155908	7514	1.0	1
155459	8065	1.0	1
155945	684	1.0	1
10959	155030	1.0	0
3661	155945	1.0	1
19	155971	1.0	0
60489	155459	1.0	1
155030	10015	1.0	1
54106	155971	1.0	1
1387	155971	1.0	0
6596	155807	1.0	1
156110	238	1.0	1
155971	6387	1.0	1
155807	3916	1.0	1
821	155971	1.0	1
155030	684	1.0	1
155807	5886	1.0	1
156110	684	1.0	1
865	155459	1.0	1
920	155971	1.0	1
155459	865	1.0	1
155971	28299	1.0	0
155971	2187	1.0	0
155030	3735	1.0	1
5478	155030	1.0	1
155971	19	1.0	0
25939	155807	1.0	0
156110	6285	1.0	0
155971	54106	1.0	1
155807	25939	1.0	0
8065	155459	1.0	1
3385	155971	1.0	1
155459	200316	1.0	1
155971	3700	1.0	0
3106	155030	1.0	1
155030	7251	1.0	1
684	155945	1.0	1
3700	155971	1.0	0
156110	11337	1.0	1
155030	5478	1.0	1
920	156110	1.0	1
5062	156110	1.0	1
5122	155971	1.0	1
155971	5599	1.0	1
156110	3932	1.0	1
10015	155030	1.0	1
155971	30835	1.0	1
920	155945	1.0	1
155807	6596	1.0	1
925	155030	1.0	0
1653	155908	1.0	1
7251	155030	1.0	1
155030	3106	1.0	1
155971	925	1.0	1
5599	155971	1.0	0
9648	156110	1.0	1
155971	7852	1.0	1
155030	24137	1.0	1
156110	5062	1.0	1
3055	156110	1.0	1
1984	155908	1.0	1
155971	5045	1.0	1
3916	155807	1.0	0
5045	155971	1.0	1
1755	155971	1.0	1
155971	920	1.0	1
60489	155030	1.0	1
155971	821	1.0	1
155971	1803	1.0	1
1234	155971	1.0	1
156110	3055	1.0	1
155908	1984	1.0	1
155971	100	1.0	1
684	155030	1.0	1
155030	925	1.0	0
156110	940	1.0	1
156110	9648	1.0	1
2187	155971	1.0	0
164668	155459	1.0	1
155945	920	1.0	1
684	156110	1.0	1
11337	156110	1.0	0
155030	60489	1.0	1
3612	155807	1.0	0
11168	155908	1.0	1
155945	3661	1.0	1
156110	100313781	1.0	0
200316	155459	1.0	1
155459	164668	1.0	1
155030	4734	1.0	1
155971	1755	1.0	1
6285	156110	1.0	0
5886	155807	1.0	1
7852	155971	1.0	1
155945	8945	1.0	1
156110	821	1.0	1
821	156110	1.0	1
30835	155971	1.0	1
156110	920	1.0	1
100	155971	1.0	0
155971	3385	1.0	1
1803	155971	1.0	1
3735	155030	1.0	1
155971	1234	1.0	1
925	155971	1.0	1
7514	155908	1.0	1
155871	1673	1.0	1
3932	156110	1.0	1
155971	1524	1.0	1
155807	3612	1.0	0
24137	155030	1.0	1
155908	11168	1.0	1
6387	155971	1.0	1
156110	29110	0.9999999999999998	0
155807	3091	0.9999999999999998	1
155908	1653	0.9999999999999996	1
155908	728378	0.9999999999999993	0
8945	155945	0.999999999999999	1
155807	9564	0.9999999999999988	0
155030	920	0.9999999999999931	1
920	155030	0.9999999999999857	1
155030	100616444	0.9999999999999832	0
9564	155807	0.9999999999999795	0
155030	29082	0.9999999999999795	1
155971	7040	0.9999999999999789	1
155807	3735	0.9999999999999742	1
155971	4360	0.9999999999999712	1
728378	155908	0.999999999999688	0
155971	801	0.9999999999996838	1
155030	10959	0.9999999999995077	0
155971	3107	0.9999999999994473	1
3735	155807	0.9999999999994332	0
3091	155807	0.9999999999991247	0
155807	3725	0.9999999999990717	1
1508	155030	0.9999999999986426	1
5901	155908	0.9999999999985473	1
155908	5901	0.9999999999985473	1
4153	155971	0.9999999999980643	1
302	155030	0.9999999999973654	1
1524	155971	0.99999999999657	1
155030	302	0.9999999999960165	1
155971	28981	0.9999999999940052	0
155971	6351	0.9999999999939292	1
7124	156110	0.9999999999934748	1
156110	7852	0.9999999999897929	1
156110	7124	0.999999999981011	1
29110	156110	0.9999999999803093	0
29082	155030	0.9999999999786505	1
155030	1508	0.9999999999782019	0
940	156110	0.9999999999765514	1
155807	4790	0.9999999999716869	1
155971	3565	0.9999999999623282	1
3565	155971	0.99999999992246	1
155971	50863	0.9999999999170953	0
155971	834	0.9999999999049374	1
155971	4513	0.9999999998101379	0
155807	5713	0.9999999997998128	0
7020	156110	0.9999999997926168	1
155030	6667	0.9999999997789153	1
9733	155871	0.9999999997070292	1
155971	5122	0.9999999996782362	0
6348	155971	0.9999999996688913	1
155971	6348	0.9999999996688913	1
148362	155030	0.9999999996384685	0
6351	155971	0.9999999995820215	1
155459	861	0.999999999562687	1
156110	7020	0.9999999995460581	0
155971	7020	0.9999999994574252	1
155908	10657	0.9999999992500047	1
27067	155908	0.9999999987967259	1
904	155871	0.9999999985781233	1
155971	1232	0.9999999980933274	1
155971	2	0.9999999973842718	1
155871	904	0.9999999973589112	1
1232	155971	0.9999999957516535	1
8743	155971	0.9999999956797129	1
4843	155971	0.9999999953133648	0
6667	155030	0.9999999949126569	0
155971	3384	0.9999999937635361	0
155871	9733	0.9999999928853279	1
155908	27067	0.999999992155276	1
156110	256987	0.9999999916989785	1
100616444	155030	0.9999999916509841	0
155971	94025	0.9999999911888894	0
861	155459	0.9999999909436063	1
155971	6347	0.9999999883621544	1
155971	1387	0.9999999875736029	0
156110	23241	0.9999999873067501	1
7020	155971	0.9999999859698344	0
347376	155030	0.9999999834996485	0
4738	155945	0.9999999791922397	1
6285	155908	0.9999999778497057	0
10657	155908	0.999999976170557	1
155908	6285	0.9999999740846899	0
156110	55690	0.9999999699385359	1
155459	6921	0.9999999697669365	1
55690	156110	0.999999965924946	1
156110	100616444	0.9999999650133872	0
156110	5058	0.9999999348093367	1
155971	4843	0.9999999181817981	1
100313781	156110	0.9999999073006169	0
155459	25939	0.9999999063292107	0
155459	684	0.9999999063292107	0
5058	156110	0.999999900117643	1
238	156110	0.999999900001823	1
155945	5817	0.999999883350012	1
4360	155971	0.9999998824663566	1
5901	155030	0.9999998780407445	1
7514	155030	0.9999998780407445	0
155971	28910	0.9999998618307036	0
100616444	156110	0.9999998472024756	0
156110	2736	0.9999998099287714	0
2745	155971	0.9999997926256888	1
2332	155908	0.9999997767438845	0
7852	156110	0.9999997740625388	1
155030	5901	0.9999997620917047	1
155030	7514	0.9999997620917047	1
155945	972	0.9999997515694752	1
155971	6693	0.9999997435721232	1
156110	3105	0.999999721953599	1
155971	8743	0.9999997085385719	1
202559	155908	0.9999996958472241	1
155807	9730	0.9999996945577079	1
2	155971	0.9999996680234364	0
19	156110	0.9999996613816095	1
28910	155971	0.9999995722939871	0
5713	155807	0.9999995431443401	0
23241	156110	0.999999536947035	1
155971	1056	0.9999995338089512	0
9730	155807	0.9999995292497506	1
28299	155971	0.9999994824679036	0
28981	155971	0.9999993886076125	0
10075	155348	0.9999993592269095	1
4790	155807	0.999999357330807	1
156110	22914	0.9999993296350932	1
155908	202559	0.9999993125023615	0
156110	19	0.9999993000684562	1
155945	4738	0.9999991964228588	1
155971	2745	0.9999990549539842	0
155908	2332	0.9999989853873956	0
25939	155459	0.9999989529419135	0
684	155459	0.9999989529419135	0
155971	818	0.9999989441168888	0
3178	155971	0.9999988878457592	1
3267	155908	0.9999988858360846	1
156110	926	0.9999988330446362	1
684	155971	0.999998779283988	1
2736	156110	0.9999986859418708	0
29110	155459	0.9999983322225957	1
