ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
302	155030	1.0	1
3107	156110	1.0	1
4734	155030	1.0	1
155908	1653	1.0	1
155908	7514	1.0	1
156110	356	1.0	1
155459	8065	1.0	1
155945	684	1.0	1
1508	155030	1.0	1
10959	155030	1.0	0
3661	155945	1.0	1
155971	6347	1.0	1
19	155971	1.0	0
7852	156110	1.0	1
60489	155459	1.0	1
100616444	155030	1.0	0
155030	10015	1.0	1
54106	155971	1.0	1
156110	7124	1.0	1
155030	100616444	1.0	0
1387	155971	1.0	0
155971	801	1.0	1
6596	155807	1.0	1
156110	238	1.0	1
156110	3106	1.0	1
155971	6387	1.0	1
155807	3916	1.0	1
821	155971	1.0	1
155030	684	1.0	1
155807	5886	1.0	1
155971	10226	1.0	1
156110	684	1.0	1
27067	155908	1.0	1
865	155459	1.0	1
920	155971	1.0	1
155459	865	1.0	1
155971	28299	1.0	0
155971	2187	1.0	0
155030	3735	1.0	1
5478	155030	1.0	1
155971	5122	1.0	0
155971	19	1.0	0
25939	155807	1.0	0
7020	155971	1.0	0
156110	6285	1.0	0
155971	54106	1.0	1
155807	25939	1.0	0
8065	155459	1.0	1
3385	155971	1.0	1
155030	10959	1.0	0
155459	200316	1.0	1
155971	3700	1.0	0
3106	155030	1.0	1
155030	7251	1.0	1
684	155945	1.0	1
3700	155971	1.0	0
156110	11337	1.0	1
156110	1435	1.0	0
6348	155971	1.0	1
940	156110	1.0	1
155030	5478	1.0	1
920	156110	1.0	1
5062	156110	1.0	1
5122	155971	1.0	1
155971	5599	1.0	1
156110	3932	1.0	1
10015	155030	1.0	1
904	155871	1.0	1
155971	30835	1.0	1
156110	7852	1.0	1
920	155945	1.0	1
155807	6596	1.0	1
156110	7020	1.0	0
925	155030	1.0	0
29110	156110	1.0	0
155030	920	1.0	1
155807	3735	1.0	1
155908	2332	1.0	0
1653	155908	1.0	1
7251	155030	1.0	1
155030	3106	1.0	1
7474	155971	1.0	0
10226	155971	1.0	1
155871	904	1.0	1
1435	156110	1.0	0
156110	2534	1.0	1
155971	925	1.0	1
10657	155908	1.0	1
5599	155971	1.0	0
9648	156110	1.0	1
155971	7852	1.0	1
155030	24137	1.0	1
156110	5062	1.0	1
155030	302	1.0	1
3055	156110	1.0	1
1984	155908	1.0	1
155971	6693	1.0	1
155971	7020	1.0	1
155971	5045	1.0	1
8945	155945	1.0	1
3916	155807	1.0	0
5045	155971	1.0	1
156110	3105	1.0	1
155971	818	1.0	0
7020	156110	1.0	1
3565	155971	1.0	1
1755	155971	1.0	1
6667	155030	1.0	0
155971	920	1.0	1
155971	6348	1.0	1
3735	155807	1.0	0
9564	155807	1.0	0
60489	155030	1.0	1
155971	821	1.0	1
155971	1803	1.0	1
155908	728378	1.0	0
4738	155945	1.0	1
1234	155971	1.0	1
156110	3055	1.0	1
2332	155908	1.0	0
7124	156110	1.0	1
155908	1984	1.0	1
155971	100	1.0	1
684	155030	1.0	1
3091	155807	1.0	0
155030	29082	1.0	1
155030	925	1.0	0
156110	940	1.0	1
156110	9648	1.0	1
2187	155971	1.0	0
164668	155459	1.0	1
4360	155971	1.0	1
156110	3107	1.0	1
155945	920	1.0	1
684	156110	1.0	1
155971	3565	1.0	1
11337	156110	1.0	0
155030	60489	1.0	1
155871	7422	1.0	1
3106	156110	1.0	1
3612	155807	1.0	0
11168	155908	1.0	1
155945	3661	1.0	1
155971	4360	1.0	1
156110	100313781	1.0	0
920	155030	1.0	1
3105	156110	1.0	1
818	155971	1.0	0
9730	155807	1.0	1
155030	1508	1.0	0
200316	155459	1.0	1
155459	164668	1.0	1
155971	7474	1.0	1
356	156110	1.0	0
156110	29110	1.0	0
155030	4734	1.0	1
155807	3725	1.0	1
200316	155030	1.0	1
155971	1755	1.0	1
6285	156110	1.0	0
5886	155807	1.0	1
155807	9564	1.0	0
155807	3091	1.0	1
7852	155971	1.0	1
155945	8945	1.0	1
156110	821	1.0	1
821	156110	1.0	1
30835	155971	1.0	1
155971	7040	1.0	1
156110	920	1.0	1
155971	8743	1.0	1
801	155971	1.0	1
100	155971	1.0	0
155971	3385	1.0	1
1803	155971	1.0	1
3735	155030	1.0	1
155030	6667	1.0	1
155971	1234	1.0	1
925	155971	1.0	1
155908	10657	1.0	1
7514	155908	1.0	1
155871	1673	1.0	1
3932	156110	1.0	1
155971	1524	1.0	1
155807	3612	1.0	0
24137	155030	1.0	1
155908	11168	1.0	1
728378	155908	1.0	0
6387	155971	1.0	1
8743	155971	1.0	1
155945	4738	0.9999999999999999	1
155908	27067	0.9999999999999998	1
155807	4790	0.9999999999999981	1
155807	9730	0.9999999999999978	1
155459	861	0.9999999999999963	1
861	155459	0.9999999999999956	1
155459	6921	0.9999999999999916	1
6285	155908	0.9999999999999905	0
155030	200316	0.9999999999999876	1
29082	155030	0.9999999999999785	1
155030	975	0.9999999999999728	1
10075	155348	0.9999999999999554	1
5813	155871	0.9999999999999503	1
28299	155971	0.9999999999999499	0
156110	22914	0.9999999999999357	1
155971	7124	0.9999999999999281	1
155908	6285	0.9999999999999214	0
9733	155871	0.9999999999999087	1
156110	2736	0.9999999999998931	0
155971	4780	0.9999999999996666	1
155871	5813	0.9999999999995951	1
155945	22914	0.9999999999994619	1
155971	3107	0.9999999999994473	1
155871	9733	0.9999999999987226	1
155348	10075	0.9999999999986958	1
5901	155908	0.9999999999985473	1
155908	5901	0.9999999999985473	1
155945	5817	0.9999999999985418	1
4153	155971	0.9999999999980643	1
6347	155971	0.9999999999975687	1
5817	156110	0.999999999996769	1
155459	920	0.9999999999967321	1
1524	155971	0.99999999999657	1
156110	256987	0.9999999999963904	1
2736	156110	0.9999999999945568	0
155971	28981	0.9999999999940052	0
155971	6351	0.9999999999939292	1
