ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
155945	684	1.0	1
155807	25939	1.0	0
155971	7852	1.0	1
155971	920	1.0	1
155945	920	1.0	1
155945	3661	1.0	0
156110	920	1.0	1
155971	1234	1.0	1
1234	155971	0.9999999999999956	0
155459	200316	0.9999999999999034	1
155030	925	0.9999999999997734	0
920	155971	0.9999999999993163	0
155971	28299	0.9999999998617843	0
155971	801	0.999999999764812	0
155871	1673	0.9999999996511211	0
155807	6596	0.9999999991758346	1
5122	155971	0.9999999964144609	0
155971	1803	0.9999999895032737	1
155459	164668	0.9999999886867517	1
920	155945	0.9999999866189218	0
164668	155459	0.9999999850992577	0
60489	155459	0.9999999235805981	0
155971	7040	0.9999997359206697	0
155971	925	0.9999996326588946	1
156110	3932	0.9999993060512816	1
156110	6285	0.9999990771518568	0
155971	2187	0.9999983566445065	0
156110	684	0.9999976031596514	1
156110	7852	0.9999973049937565	1
155807	3916	0.9999913	1
156110	940	0.9999899343881605	1
8065	155459	0.99998780861015	1
3735	155030	0.9999854735505657	0
156110	3055	0.9999839876963107	1
684	155945	0.9999839699162502	0
156110	1435	0.999983767661695	0
155871	7422	0.9999812507208549	1
155459	865	0.9999799200344918	0
5045	155971	0.9999755697819057	0
156110	3105	0.999969840002618	1
3385	155971	0.999967542493957	0
5478	155030	0.9999669527202021	1
155459	8065	0.9999476255211829	0
156110	256987	0.9999054784491366	1
155971	6693	0.999889687880375	1
8945	155945	0.9998442563178558	0
684	156110	0.999837033840655	0
155971	4360	0.9997947539362172	1
155971	7124	0.999753682446074	1
865	155459	0.9997451714078723	1
200316	155459	0.9997243528785179	0
155971	6387	0.9996817914099474	1
155030	100616444	0.9996525514573342	0
155971	5599	0.999624388016338	1
7852	155971	0.9994421891267905	0
6387	155971	0.9992304287930021	0
920	156110	0.9990815607273553	0
155971	115362	0.998928024080648	0
4153	155971	0.9986754	0
155030	975	0.9985970031826074	0
155971	30835	0.9984997224300867	1
347376	155030	0.9984346780565022	0
3932	156110	0.9984313645219592	0
3055	156110	0.9974440688550853	0
155971	6347	0.9974432629262848	1
155971	3107	0.9973361	0
155908	1653	0.9971910492221532	0
155971	3385	0.9968593760537091	0
155030	29082	0.9963818881877141	0
155971	7474	0.99540064117707	0
155971	818	0.9935506322884	0
155908	728378	0.9932322859318098	0
148362	155030	0.9931885	0
6596	155807	0.991824319375088	0
