ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
155945	684	1.0	1
920	155971	1.0	0
155971	28299	1.0	0
155459	200316	1.0	1
156110	3932	1.0	1
155971	7852	1.0	1
155971	920	1.0	1
1234	155971	1.0	0
155030	925	1.0	0
155945	920	1.0	1
155871	7422	1.0	1
155945	3661	1.0	0
156110	920	1.0	1
155971	1234	1.0	1
155459	8065	0.999999999897	1
155971	1803	0.999999999703	1
920	155945	0.999999994309	0
155971	821	0.999999991514	0
155971	2187	0.999999978154	0
60489	155459	0.999999950057	0
156110	6285	0.999999934186	0
24137	155030	0.999999704404	0
155871	1673	0.999999543201	1
156110	3055	0.999999247672	1
155459	865	0.999997489888	1
164668	155459	0.999997315417	0
155459	164668	0.999996224038	1
155971	4513	0.99999404	0
3735	155030	0.999993832414	0
8065	155459	0.999992006454	0
920	156110	0.999988421727	0
684	155945	0.999986747463	0
155971	7040	0.999980893995	1
155971	925	0.999965954509	1
155807	3725	0.999935906863	1
5478	155030	0.999929951366	1
155971	19	0.99992955	0
156110	940	0.999916462331	1
156110	256987	0.999875920081	1
155971	3385	0.999866335941	0
155971	50863	0.99986494	0
155807	3916	0.99984646	1
155971	801	0.999819710531	0
155971	100	0.99978226	1
3385	155971	0.999781373882	0
684	156110	0.999751273631	0
155971	834	0.99974996	1
3055	156110	0.999733814317	0
155030	5478	0.999676367688	0
155971	30835	0.999649173366	1
155807	81559	0.999505316085	1
4153	155971	0.99924856	0
155971	4360	0.999205164876	1
156110	29110	0.999202873704	0
155807	4790	0.999056456109	1
155807	3091	0.99886009249	1
10015	155030	0.998707503416	1
7251	155030	0.998551385858	1
148362	155030	0.9984163	0
156110	684	0.998299424853	1
155971	5933	0.9980356	0
5122	155971	0.998024596236	0
155030	29082	0.997925039726	0
155971	3384	0.99775785	0
8743	155971	0.997653384409	0
155971	3107	0.9971023	1
256987	156110	0.996796002566	0
728378	155908	0.996298699693	0
156110	7852	0.996121859169	1
155908	728378	0.995006721681	0
155971	7124	0.993891663543	1
3932	156110	0.992594691733	0
4734	155030	0.9924539	1
155971	7432	0.9915279	0
155971	28981	0.9907088	0
155030	3735	0.990070693377	0
155971	4982	0.989306013429	0
155459	25939	0.989003	0
155459	684	0.989003	0
5886	155807	0.987787214509	0
865	155459	0.987422234411	0
156110	5062	0.986823828896	1
10959	155030	0.986432067751	0
155807	25939	0.985938904083	0
