ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
155945	684	1.0	1
155971	28299	1.0	0
155459	200316	1.0	1
156110	3932	1.0	1
155971	7852	1.0	1
155971	920	1.0	1
1234	155971	1.0	0
155030	925	1.0	0
155945	920	1.0	1
155871	7422	1.0	1
155945	3661	1.0	0
156110	920	1.0	1
155971	1234	1.0	1
920	155971	0.9999999999999999	0
155971	1803	0.9999999999999817	1
155971	801	0.99999999999976	0
155459	8065	0.999999999999653	1
920	155945	0.9999999993127966	0
155971	821	0.9999999992253034	0
155971	2187	0.9999999953276593	0
156110	6285	0.999999992150388	0
24137	155030	0.9999999773752497	0
60489	155459	0.999999972389659	0
155871	1673	0.9999999550068024	1
155971	5599	0.999999948823772	1
155807	25939	0.9999999459178	0
3735	155030	0.9999999171366748	0
156110	3055	0.9999997611416599	1
155459	164668	0.9999996912347958	1
155971	925	0.9999996430055615	1
155971	7040	0.9999995270520299	1
155807	3725	0.9999995077797142	1
164668	155459	0.9999989752391876	0
8065	155459	0.9999987430795148	0
155459	865	0.9999986159666977	1
155971	4780	0.9999977032480196	1
920	156110	0.9999971556855144	0
155971	7124	0.999996866779132	1
155971	4360	0.9999967731598944	1
684	155945	0.9999958494995741	0
155971	4513	0.99999404	0
155971	6693	0.9999933512463225	1
5122	155971	0.9999914041616237	0
3385	155971	0.9999728979977739	0
156110	940	0.9999650432071261	1
684	156110	0.9999637522593356	0
156110	256987	0.9999622842494702	1
5478	155030	0.999957564067163	1
155971	3385	0.9999408035295312	0
155971	19	0.99992955	0
156110	29110	0.999927707978842	0
156110	1435	0.9998939617217311	0
155971	50863	0.99986494	0
3055	156110	0.999864113260732	0
156110	7852	0.999858293807457	1
155807	3916	0.99984646	1
256987	156110	0.9998383490894712	0
155971	30835	0.9997826444015504	1
155971	100	0.99978226	1
155807	4790	0.9997499857321523	1
155971	834	0.99974996	1
155030	5478	0.999744415894028	0
156110	2534	0.99972463221128	0
155807	81559	0.9997112126488642	1
156110	684	0.9997026257448018	1
10015	155030	0.9995555821357658	1
8743	155971	0.9995249357202707	0
155807	3091	0.9993557225313237	1
4153	155971	0.99924856	0
7251	155030	0.9990041730797213	1
155030	29082	0.9988596118370673	0
156110	3135	0.9988098446696873	1
148362	155030	0.9984163	0
728378	155908	0.9983343370251713	0
155908	728378	0.9981603337474365	0
155971	5933	0.9980356	0
