E1	E2	Probability	Label
155459	60489	1.0	1
202559	155908	0.10997248	1
302	155030	0.453874164498	0
3107	156110	0.571715003817	0
3458	156110	0.031708863	0
155030	4261	1.0634008e-07	0
4594	156110	7.9254345e-09	0
4734	155030	0.9924539	1
3576	155971	4.8639333e-05	0
155908	1653	0.805360574029	0
155030	5594	0.0547175171838	1
155971	3576	0.21556623	1
155459	6921	0.96681707113	0
155971	1272	0.07881472	0
155908	7514	0.872443250039	0
1673	155871	0.709721057463	0
155971	26996	0.00032619436	0
156110	356	0.671283176304	1
155459	8065	0.999999958541	1
3958	155871	0.100035605528	0
6714	156110	0.0066887564	0
156110	3458	0.031708863	1
100187828	155871	4.8006217e-07	0
155945	684	1.0	1
155030	51014	9.769642e-11	0
156110	1493	0.127261510768	1
10462	155030	0.0968290661787	0
3836	155807	0.0599963154278	0
1508	155030	0.91393590571	1
10959	155030	0.979215148934	0
684	155971	0.8619472	0
917	156110	0.044242382	0
3661	155945	4.36157436567e-05	0
155971	6347	0.952168352859	1
155030	4314	0.0056880023	0
156110	6347	0.9829805	1
19	155971	0.0028900066	0
155971	115362	0.683030856324	0
7852	156110	0.00109153378287	0
155971	6351	0.70641553	1
6998	155971	0.0028715066	0
155030	100862696	0.536358747948	0
2028	155908	0.0026148665	0
155807	4790	0.998166170737	1
347376	155030	0.950837710747	0
3502	155971	0.0294095849025	0
60489	155459	0.999999642241	0
100616444	155030	0.783189220017	0
155030	10015	0.946207606545	0
54106	155971	0.05644081	0
155030	148362	0.00011109902	0
156110	7124	0.863427710543	1
100689229	155030	0.00107499854147	0
155030	100689229	0.00168540105593	0
155030	27074	0.00049738964	0
155030	10521	0.016480034	0
155030	100616444	0.718917172206	0
1387	155971	0.00017882272	0
155945	5817	0.733023020643	1
6285	155908	0.687719281987	0
155971	801	0.999405323055	0
310	155030	0.0047704163	0
1493	156110	0.0887509028451	0
155971	28910	0.22274579	0
155971	3586	0.0883535939161	1
6596	155807	0.539502926611	0
155971	4153	4.045644e-06	0
3732	155030	1.0696337e-07	0
155971	974	0.40048346	1
861	155459	0.136014675319	0
156110	238	0.98364645	1
1421	155030	0.0037807724	0
156110	3106	0.665613529107	1
155971	3502	0.180904764726	0
156110	5599	0.055966455	1
79966	155971	0.019246649	0
155971	6387	0.660820390078	1
155807	3916	0.99984646	1
653820	155807	0.01735272	0
156110	256987	0.999221763151	1
821	155971	0.0887775379525	0
155971	4780	0.929795597072	1
155030	684	0.7902083	0
155030	1629	0.00166462569268	0
155030	3565	0.112017318844	1
8835	155459	0.10479946	0
155348	8941	0.00013150093	0
155807	5886	0.699921400325	1
1109	155971	7.906367e-07	0
5621	155971	0.00081320823	0
1669	155971	0.273471922409	1
155971	51497	0.000144394041168	0
155971	10226	0.57020758719	0
2720	155971	0.18185362	0
19	156110	0.055991553	0
5594	155030	0.0648994079572	0
6402	155030	0.0012527023	0
155807	3725	0.999548623042	1
728378	155030	0.0810974572175	0
155971	834	0.99974996	1
156110	684	0.983704385381	1
347376	155807	2.0250883e-09	0
27067	155908	0.343154068299	0
865	155459	0.983271123305	0
155971	2745	0.458054390132	0
3558	155971	0.0019891437	0
155807	836	0.35663253	1
22914	155945	0.23847133311	0
156110	925	0.00495155374094	1
256987	156110	0.993345891213	0
920	155971	1.0	0
155459	865	0.999969168235	1
347376	155971	0.0872369031514	0
155971	28299	0.999999414801	0
155971	2187	0.99999990203	0
10714	155348	0.50714344	0
155030	3735	0.979202350559	0
156110	7253	0.0348910194837	0
156110	60489	0.16893571237	0
5478	155030	0.999874507513	1
973	155971	0.0012103936	0
155971	30816	0.00236510763245	0
6737	155030	0.77499014	0
5478	156110	0.0650117850779	0
156110	5817	0.00337574144013	1
3178	155971	0.36583224	1
1029	155030	0.921037921768	0
155971	4843	7.592126e-05	1
925	155459	7.380122e-07	0
155971	5122	0.000974604594827	0
155971	51311	0.46396613	0
54205	155807	1.2118425e-16	0
6772	155971	6.392008e-05	0
653820	155971	1.21111531914e-09	0
155971	19	0.99992955	0
148362	155030	0.9984163	0
155971	10959	0.124967529883	0
155971	10410	0.0018779375	1
25939	155807	0.0161188284102	0
7020	155971	0.30068581257	0
155030	6737	0.78965896	0
4869	155908	0.150806393709	1
5713	155807	0.0014909017	0
156110	4594	0.027753524	0
3777	155945	0.524902144023	0
155908	653108	0.0561960632015	0
155971	4790	0.06534899	1
156110	6285	0.99999702456	0
155030	4320	8.905217e-06	0
155908	6285	0.472247185642	0
155971	54106	0.9576714	1
155908	100271694	1.578333e-05	0
100862696	155030	0.0298201813878	0
155030	1421	0.004028998	0
3267	155908	0.1484174	0
155908	10492	0.075690962988	0
155030	8941	1.3681073e-06	0
155807	25939	0.982404421812	0
2332	155908	0.284797899239	0
8065	155459	0.99988137339	0
155807	842	0.028306259	1
155348	10714	0.22641781	0
6426	155971	7.32125930547e-07	0
3385	155971	0.999460444434	0
155807	10980	0.0007602532	0
155030	10959	0.40825338919	0
155945	1128	0.01212861	0
155459	200316	0.999999998439	1
5901	155030	0.015697172	1
155971	3700	0.971387681234	0
6998	155030	0.0011454271	0
3106	155030	0.85986836481	0
8941	155348	8.2736966e-07	0
3840	155807	0.029113953337	0
155030	7251	0.973430428832	0
684	155945	0.999951326535	0
30816	155945	0.00618838516363	0
3700	155971	0.807952691747	0
155908	4869	0.0018282524835	0
3135	156110	0.0175306267664	0
3603	155971	0.19997366	0
100616444	155945	0.0125912315995	0
7432	155971	3.8931007e-06	1
6693	155971	0.401013595132	0
155908	3267	0.00058621285	1
155971	4513	0.99999404	0
156110	11337	0.558886	1
156110	1435	0.780757675913	0
155971	1109	1.1917856e-06	0
156110	2736	0.0328332609032	0
155971	80279	0.195618482773	0
920	155459	0.00156503353279	0
155030	1489	0.046917763	0
9733	155871	0.359175073857	1
155971	347376	0.0872369031514	0
6348	155971	0.770518664355	0
940	156110	0.946903838568	0
155030	5478	0.999468498521	0
920	156110	0.999953367782	0
5062	156110	0.68990766865	0
155348	10075	0.501802019334	0
155971	5933	0.9980356	0
10980	155807	0.0007602532	0
2745	155971	0.689364288615	1
23547	156110	0.396855142371	0
5122	155971	0.995967505437	0
155971	6998	0.04699769	0
155030	7329	0.37429854	0
156110	55690	0.22063503	0
155030	975	0.827941556195	0
155971	5599	0.976792838171	1
51311	155971	0.21691073	0
155030	286	0.122773928703	0
6402	155971	0.26162854592	0
156110	3932	0.999999998124	1
10015	155030	0.99748370933	1
387	155030	0.020367391	1
155807	55540	0.27136762306	0
155971	3384	0.99775785	0
155807	81559	0.998146228178	1
5933	155971	3.6145557e-12	0
155807	347376	5.5566854e-08	0
904	155871	0.282289582026	0
155971	30835	0.998911680914	1
3622	155908	4.451869e-05	0
156110	7852	0.980176973323	1
920	155945	0.99999988902	0
10075	155348	0.413613235626	0
155807	6596	0.846539148515	1
155807	10959	0.19591145	0
1392	155971	4.988582e-07	0
23241	156110	2.0725138e-10	0
7422	155871	0.000271604139937	0
1629	155030	1.00187117824e-07	0
155348	51014	0.0005018311	0
156110	7020	0.380987502664	0
3704	155908	0.0155371771155	0
155030	79719	0.0016277984	0
1272	155971	0.07881472	0
925	155030	0.444763840802	0
29110	156110	0.000228352438505	0
155030	920	0.910708821344	0
155908	3458	0.13262303	0
972	155945	0.197539636555	0
155807	3735	0.839271277623	1
156110	917	0.044242382	1
115362	155971	0.0288214706349	0
4481	156110	3.857591e-14	0
155030	6402	9.153195e-06	0
3458	155971	0.203335605041	0
155908	2332	0.0791732035494	0
1653	155908	0.964440879253	0
5599	156110	1.6292226e-13	0
7251	155030	0.997111345768	1
155971	79966	0.019246649	0
155971	3458	0.615559179981	1
155908	100616444	2.6592648e-05	0
6285	155945	0.35041803	0
155030	310	0.0013263286	0
155030	3106	0.672582569637	1
100129339	155030	5.4309986e-08	0
7474	155971	0.205515211886	0
155908	103	0.001332388	0
