E1	E2	Probability	Label
155459	60489	0.999994220181	0
202559	155908	0.0011257677	1
302	155030	0.0718350076364	0
3107	156110	0.0653839663643	0
3458	156110	0.012941495	0
155030	4261	2.8524647e-07	0
4594	156110	5.4821413e-08	0
4734	155030	0.9903104	1
3576	155971	1.6623292e-06	0
155908	1653	0.953293648118	0
155030	5594	0.0153598402584	1
155971	3576	0.023461098	1
155459	6921	0.470367540237	0
155971	1272	3.2002987e-05	0
155908	7514	0.952393729613	0
1673	155871	0.0209137819066	0
155971	26996	4.821139e-05	0
156110	356	0.999303561239	1
155459	8065	0.317575647794	1
3958	155871	0.000126640344757	0
6714	156110	0.006050099	0
156110	3458	0.012941495	1
100187828	155871	2.2693025e-09	0
155945	684	0.999999996568	1
155030	51014	2.1494596e-12	0
156110	1493	0.0800384541653	1
10462	155030	0.0746271801667	0
3836	155807	5.5044987941e-05	0
1508	155030	0.0610536118124	0
10959	155030	0.869291399829	0
684	155971	0.0008031678	0
917	156110	0.00075090805	0
3661	155945	0.00553667746194	0
155971	6347	0.994629222719	1
155030	4314	4.4487806e-06	0
156110	6347	0.32571644	1
19	155971	0.0038923188	0
155971	115362	0.0270632464096	0
7852	156110	0.00234834534007	0
155971	6351	0.76905566	1
6998	155971	7.6775854e-05	0
155030	100862696	0.130916845484	0
2028	155908	9.487693e-07	0
155807	4790	0.99542208128	1
347376	155030	0.965647696973	0
3502	155971	0.0174331086815	0
60489	155459	0.826309200413	0
100616444	155030	0.381269138786	0
155030	10015	0.0908984181839	0
54106	155971	0.0017058143	0
155030	148362	1.7734361e-07	0
156110	7124	0.419948778215	1
100689229	155030	0.00040535517041	0
155030	100689229	0.000133673053264	0
155030	27074	1.2855249e-05	0
155030	10521	7.658128e-05	0
155030	100616444	0.31488923514	0
1387	155971	1.6749118e-07	0
155945	5817	0.477788413437	0
6285	155908	0.176561393873	0
155971	801	1.0	0
310	155030	0.0042770994	0
1493	156110	0.0202705535797	0
155971	28910	0.0005927385	0
155971	3586	0.0202020662086	1
6596	155807	2.17120146561e-05	0
155971	4153	1.05819076e-07	0
3732	155030	6.729889e-07	0
155971	974	0.46069074	0
861	155459	0.0997204628075	0
156110	238	0.6062843	1
1421	155030	3.2334883e-05	0
156110	3106	0.0158731068018	0
155971	3502	0.171943097062	0
156110	5599	5.3322347e-05	1
79966	155971	0.066050075	0
155971	6387	0.583356215454	0
155807	3916	0.6097282	0
653820	155807	0.0047155796	0
156110	256987	0.082787439328	0
821	155971	0.947781844988	0
155971	4780	0.997247714484	1
155030	684	0.045026798	0
155030	1629	0.00635570717701	0
155030	3565	3.52403187067e-05	0
8835	155459	0.000191832	0
155348	8941	8.2080965e-07	0
155807	5886	0.414458451332	0
1109	155971	3.0501053e-07	0
5621	155971	0.0010168968	0
1669	155971	0.158796449899	0
155971	51497	0.00162305247635	0
155971	10226	0.0978272222402	0
2720	155971	0.10153604	0
19	156110	0.0002704428	0
5594	155030	0.0359476009893	0
6402	155030	5.135286e-06	0
155807	3725	0.983201801259	1
728378	155030	0.0233831324426	0
155971	834	0.9973757	1
156110	684	0.962773143956	1
347376	155807	2.0873407e-12	0
27067	155908	0.0237926347782	0
865	155459	0.462691710024	0
155971	2745	0.0140793002959	0
3558	155971	0.025592964	0
155807	836	0.107399695	1
22914	155945	0.0345939936875	0
156110	925	0.0022045209811	0
256987	156110	0.000534331720622	0
920	155971	0.999999999256	0
155459	865	0.859347686438	1
347376	155971	0.0232587395134	0
155971	28299	0.999999839869	0
155971	2187	0.999710443859	0
10714	155348	0.3751511	0
155030	3735	0.764331294862	0
156110	7253	0.000797047401311	0
156110	60489	0.0424252254442	0
5478	155030	0.973018965335	0
973	155971	0.0005083062	0
155971	30816	3.59345543943e-05	0
6737	155030	0.002667141	0
5478	156110	0.0094210873194	0
156110	5817	0.498575702612	0
3178	155971	2.1173848e-06	0
1029	155030	0.852131890796	0
155971	4843	1.1366309e-06	1
925	155459	4.113207e-06	0
155971	5122	0.797606085437	0
155971	51311	0.117334284	0
54205	155807	4.074327e-14	0
6772	155971	1.9330068e-05	0
653820	155971	3.64170644751e-08	0
155971	19	0.86648005	0
148362	155030	0.98454386	0
155971	10959	0.551482463896	0
155971	10410	0.0018473222	1
25939	155807	5.76055536605e-10	0
7020	155971	0.0343256757194	0
155030	6737	0.00078696443	0
4869	155908	0.446409523313	1
5713	155807	0.00079322484	0
156110	4594	0.021656377	0
3777	155945	0.337180229499	0
155908	653108	0.000738956963418	0
155971	4790	0.12195457	1
156110	6285	0.853522642205	0
155030	4320	2.939979e-07	0
155908	6285	0.0657850536482	0
155971	54106	0.043229915	0
155908	100271694	7.682871e-07	0
100862696	155030	0.0751209520269	0
155030	1421	0.00018143469	0
3267	155908	0.00039312654	0
155908	10492	5.22628146205e-05	0
155030	8941	1.0830822e-08	0
155807	25939	3.10849702978e-07	0
2332	155908	0.467772283069	0
8065	155459	0.99602173961	0
155807	842	0.029402426	1
155348	10714	0.10484079	0
6426	155971	3.29343543437e-06	0
3385	155971	0.182157613014	0
155807	10980	0.0007160778	0
155030	10959	0.865653623654	0
155945	1128	0.004200845	0
155459	200316	0.855443300703	0
5901	155030	3.9254496e-06	0
155971	3700	0.868195154685	0
6998	155030	0.00056250504	0
3106	155030	0.947945475695	0
8941	155348	2.6971253e-07	0
3840	155807	1.78156873434e-05	0
155030	7251	0.349034280919	0
684	155945	0.54263074251	0
30816	155945	0.000126929393101	0
3700	155971	0.496708087742	0
155908	4869	0.00457459977463	0
3135	156110	4.97037836967e-05	0
3603	155971	9.3342525e-05	0
100616444	155945	0.00101268396545	0
7432	155971	2.6635295e-08	0
6693	155971	0.00203086800452	0
155908	3267	0.019217063	1
155971	4513	0.98689365	0
156110	11337	0.04790835	0
156110	1435	8.18938030867e-06	0
155971	1109	6.129387e-07	0
156110	2736	0.0991059499053	0
155971	80279	0.0486622464928	0
920	155459	0.00277629148493	0
155030	1489	0.0074206875	0
9733	155871	0.0889564574792	0
155971	347376	0.0232587395134	0
6348	155971	0.542051119539	0
940	156110	0.550043618214	0
155030	5478	0.658215332516	0
920	156110	0.914236040137	0
5062	156110	0.29750693127	0
155348	10075	0.254888190264	0
155971	5933	0.55981004	0
10980	155807	0.0007160778	0
2745	155971	0.00980502340121	1
23547	156110	0.0114000196831	0
5122	155971	0.0351527827762	0
155971	6998	0.0008426009	0
155030	7329	7.2480354e-05	0
156110	55690	0.45286927	0
155030	975	0.0551398569991	0
155971	5599	0.999988749376	1
51311	155971	0.0007187976	0
155030	286	0.0276517705513	0
6402	155971	0.628914419397	0
156110	3932	0.998574026099	1
10015	155030	0.994175385956	0
387	155030	4.6671616e-06	0
155807	55540	0.0291600215907	0
155971	3384	0.9235879	0
155807	81559	0.611549056305	0
5933	155971	3.2098037e-12	0
155807	347376	5.3930504e-13	0
904	155871	0.27465546399	0
155971	30835	0.984354906931	0
3622	155908	6.056969e-13	0
156110	7852	0.788367583028	1
920	155945	0.961713997036	0
10075	155348	0.00511932064288	0
155807	6596	2.24312223475e-05	0
155807	10959	0.104539685	0
1392	155971	4.272468e-06	0
23241	156110	2.4435718e-12	0
7422	155871	3.23340036967e-08	0
1629	155030	3.53357464689e-06	0
155348	51014	3.496962e-05	0
156110	7020	0.0193565105933	0
3704	155908	6.79284672955e-08	0
155030	79719	0.0010192202	0
1272	155971	3.2002987e-05	0
925	155030	0.0178036889553	0
29110	156110	0.000142012956373	0
155030	920	0.904342470027	0
155908	3458	0.15687624	0
972	155945	0.103389442673	0
155807	3735	0.372459798743	0
156110	917	0.00075090805	0
115362	155971	0.132278965229	0
4481	156110	7.896357e-13	0
155030	6402	5.91911e-09	0
3458	155971	0.00294228919882	0
155908	2332	0.0209530371296	0
1653	155908	0.642657236016	0
5599	156110	6.9296745e-17	0
7251	155030	0.00442413298586	0
155971	79966	0.066050075	0
155971	3458	0.995989577631	1
155908	100616444	1.1370589e-05	0
6285	155945	0.056766216	0
155030	310	0.047122885	0
155030	3106	0.977850529671	1
100129339	155030	0.009649356	0
7474	155971	0.0531053542893	0
155908	103	6.8549645e-07	0
238	156110	7.8822e-06	0
2736	156110	0.00481601042057	0
155971	3107	0.99904126	1
10226	155971	0.128344437639	0
155030	81030	0.000696687452617	0
155871	904	0.259797793137	1
84268	155908	0.0194827209154	0
2028	155030	0.16400492	0
55540	155807	0.0291600215907	0
286	155030	0.0434784582113	0
3848	155908	0.01495675	0
3932	155971	0.034290213	0
54472	155971	6.604283e-11	0
1056	155971	0.003191491	0
1435	156110	0.000121925530556	0
156110	2534	0.999110725208	0
7329	155030	3.65294e-05	0
983	155908	0.19728665	0
4780	155971	4.63792390859e-06	0
51014	155348	3.496962e-05	0
7374	155459	0.09404369	0
155030	5901	0.15016219	0
155030	7020	0.246884885097	0
155971	925	0.999437864076	0
10657	155908	0.474223290748	0
5599	155971	0.329865457589	0
155971	3178	3.4926209e-06	0
156110	23547	0.00103238596963	0
155030	6285	0.185779354785	0
156110	3606	0.77840895842	0
155971	684	2.564094e-10	0
80279	155971	2.59792187762e-13	0
155971	50863	0.40459058	0
155030	3456	0.1894327	0
6921	155459	0.177843373319	1
9648	156110	0.00025710766	0
155971	7124	0.998479089885	1
28299	155971	0.0834349078477	0
1236	155971	0.6434521	0
4691	155908	0.0298388406023	0
155971	7852	1.0	1
48	155908	0.00549313908063	0
155971	963	1.2350124e-06	0
92421	155030	2.7462713e-08	0
5817	155945	0.312069796745	0
155971	28981	0.9566169	0
155971	1392	9.055561e-05	0
155030	24137	0.0095191064176	0
155971	6890	0.0175038677329	0
155459	861	0.188608707688	0
6890	155971	8.44785054066e-05	0
10959	155971	0.120941387933	0
155030	302	0.102555127835	0
155871	100187828	0.009493827	0
4153	155971	0.9969561	0
3055	156110	0.9878287327	0
1984	155908	0.65767073374	0
3558	156110	0.00444938648234	0
30816	155908	1.37966215553e-05	0
156110	23241	0.36524314	0
10673	155971	0.03096703	0
155908	48	0.00620618750004	0
155971	6693	0.947644524588	0
155971	6426	0.00415026621489	0
155030	54732	0.00530293818369	0
155030	54539	0.000122994517327	0
155945	972	0.218600269456	0
100616444	155971	0.021384415004	0
155807	3836	1.61161895204e-05	0
155971	7020	0.737038459583	0
155971	5045	0.58742194897	1
155971	54472	0.42583564	1
8945	155945	0.0476038913605	0
407007	155971	2.600153e-07	0
155971	6774	0.0016921818	1
4320	155030	1.5768013e-08	0
5524	155030	3.6859633e-21	0
155971	3329	5.3232037e-11	0
155971	100689229	0.004350748	0
51311	155030	4.64340796369e-07	0
841	155807	5.288054e-06	0
85363	155030	1.1501122e-05	0
2534	156110	6.74815315183e-07	0
155971	1232	0.75975496	0
155908	30816	0.000149027683086	0
155971	10673	0.03096703	0
3916	155807	5.166539e-10	0
100313781	156110	0.0071943505	0
5045	155971	0.599298437471	0
156110	3105	0.44137123761	0
155971	818	0.994218358427	0
7020	156110	0.0144545655116	1
25939	155459	1.643277e-08	0
29082	155030	0.0913932492279	0
5903	155908	2.9423674e-05	0
1234	155030	0.008386419	0
155945	6285	0.056766216	0
974	155971	0.46069074	0
155030	6426	3.4407334e-05	0
155971	100616444	0.018400166649	0
155971	653820	0.00270877257197	0
3565	155971	0.00432417709489	0
1755	155971	0.76526076	0
6667	155030	0.238721850733	0
155459	10959	0.015479801	0
155971	2720	0.2341738	0
155971	920	1.0	1
155459	684	4.284286e-08	0
155971	6348	0.542051119539	1
155971	1056	0.012346662	0
155945	3777	0.387297252206	0
155908	84268	7.14773605859e-08	0
3735	155807	0.00248612997843	0
10959	155807	0.1894327	0
155945	4738	0.310050672813	0
9564	155807	0.193480636035	0
156110	3135	0.156086733993	0
60489	155030	0.267803961132	0
3586	155971	0.0202020662086	0
10656	155908	9.151736e-06	1
155971	7432	0.010583644	0
3458	155030	0.011364733458	0
155030	834	0.000427781826054	0
155971	821	0.999900253282	0
155971	1803	0.959503400514	0
81030	155030	6.8307990897e-07	0
155971	6402	0.108520123206	0
155030	653820	0.000663109202526	0
155908	728378	0.728171236555	0
55170	155908	9.046319e-08	0
351	155971	0.16982469	0
4738	155945	0.923245367846	0
155945	30816	0.000856790259439	0
155971	1669	0.163158210752	0
155030	3732	0.0057369554	0
156110	29110	0.999329404088	0
155908	27067	0.00656748987415	0
1234	155971	1.0	0
156110	3055	0.989784914206	1
54539	155030	0.000120858504833	0
155459	164668	0.244744882063	0
7124	156110	0.894206976204	0
155908	1984	0.247900424154	0
155459	652070	8.123422e-05	0
156110	5058	6.0658225e-05	1
155807	3840	0.00956007050255	0
8941	155030	0.0002805427	0
155871	9733	0.034194773308	0
1232	155971	0.48664254	0
100616444	156110	2.4761932e-05	0
155908	10656	0.00034399258	0
155459	8453	0.244920137168	0
10959	156110	0.00331175395589	0
155459	25939	4.284286e-08	0
156110	57026	0.04203789	0
3569	155971	0.0014980977978	0
653820	155030	0.000689329487592	0
155030	728378	0.277941465735	0
926	156110	4.3856087e-08	0
7040	155971	0.158587499376	0
60489	156110	0.0424252254442	0
29110	155459	0.00027957934	0
10959	155459	1.3712566e-06	0
155030	5524	3.65288e-07	1
156110	22914	0.991006894173	0
155971	100	0.98287994	1
156110	10399	0.457812860179	0
155971	3603	5.0448455e-07	0
684	155030	0.0002682032	0
30816	155030	0.331935724639	0
3091	155807	0.993216221452	0
155030	29082	0.845624483146	0
155348	653820	8.4307436e-07	0
155030	925	0.999989989634	0
156110	940	0.99965693087	1
155971	3558	0.74085957	1
3107	155971	1.16638e-05	0
156110	9648	4.322153e-05	0
155030	676	0.005134854	0
155807	10714	0.1230728	0
3606	156110	0.00904189689191	0
155807	3838	0.0855582892949	0
155908	2028	2.1712735e-06	0
156110	10959	0.000115444585709	0
155459	100616444	1.04967429937e-06	0
57026	156110	0.04203789	0
100616444	155459	1.96046628931e-08	0
28910	155971	4.5168e-07	0
155971	6772	0.00012902262	1
2187	155971	0.00967291857495	0
155030	4758	0.017900303	0
6347	156110	2.982597e-07	0
6351	155971	2.4747887e-05	0
155971	4738	0.041913584	0
51014	155030	4.637027e-05	0
164668	155459	0.411721522565	0
4360	155971	0.788513368635	0
4790	155807	0.012058136895	0
156110	3107	0.0256884236624	0
155030	200316	2.40860476008e-09	0
155945	920	0.999993061441	0
836	155807	0.048947588	0
155030	2028	4.779988e-05	0
684	156110	0.875226083211	0
8941	155807	4.951217e-13	0
155971	3565	0.00711800436717	1
155030	998	8.305753e-07	0
155807	54205	3.5883475e-06	0
11337	156110	0.0015803162	0
10959	155348	0.00125459913297	0
652070	155971	1.3768515e-05	0
155908	3700	1.5623066e-06	0
155807	841	0.16850388	1
10642	155030	0.128806355536	0
155871	7422	0.994569185554	1
3106	156110	0.0647918284485	0
155971	4982	0.439127551534	0
100271694	155908	4.4021912e-13	0
3612	155807	0.986905690212	0
81559	155807	0.0111232948482	0
5901	155908	0.18702868	1
11168	155908	0.142035593165	0
3384	155971	2.3933981e-09	0
155945	3661	0.383538315273	0
26996	155971	0.005946932	0
963	155971	1.44169035e-05	0
55690	156110	2.2471286e-07	0
28981	155971	2.0209267e-05	0
10521	155030	0.0008753489	1
652070	155459	4.1896274e-06	0
155030	1029	0.108080176662	0
155908	55170	3.3626056e-05	0
156110	926	7.4038595e-05	0
4790	155971	0.0009079328	0
155971	2028	0.22541175745	0
155807	5713	0.7081942	0
156110	19	1.0046607e-06	0
100616444	155908	6.0141114e-09	0
155871	5813	0.0821314791982	0
156110	5062	0.147545245183	1
4513	155971	5.940692e-08	0
