E1	E2	Probability	Label
britney_spears	assistant	0.08025300232809066	0
roy_scheider	captain	0.36936936936936937	0
hwang_jang-yop	president	0.43456790123456795	0
yoadimnadji	lawyer	0.8944054296229379	1
bond	journalist	0.0	0
manuel_barcena	superintendent	0.6616272662581069	1
andre_carson	rep.	0.7299901091387363	1
carolyn_maloney	rep.	0.661627266258107	1
charles_kaiser	editor	0.140625	0
r_nicholas_burns	chief_negotiator	0.250778816199377	1
her	rear_adm.	0.140625	0
his	secretary_general	0.250778816199377	0
alberto_gonzales	attorney_general	0.8699769475998833	1
chris_dodd	negotiator	0.661627266258107	0
nancy_kissel	investment_banker	0.250778816199377	0
deblanc	col.	0.6616272662581069	1
mohammed_sayed_tantawi	cleric	0.9759058126885551	1
alan_gross	contractor	0.661627266258107	1
alberto_gonzalez	attorney_general	0.661627266258107	1
fignon	model	0.250778816199377	0
her	author	0.0	0
he	reporter	0.975684020539038	1
ferrara	writer	0.10344827586206896	0
washburn	designer	0.250778816199377	0
raul_castro_ruz	leader	0.661627266258107	1
hubbard	representative	0.9259259259259259	1
marcel_ospel	lawyer	0.250778816199377	0
maloney	general	0.250778816199377	0
ali_larijani	spokesman	0.05555555555555555	0
he	king	0.04205072472117777	0
cunningham	dancer	0.661627266258107	1
his	hotel	0.661627266258107	0
mcnair	author	0.10344824802780361	0
edwards	actor	0.250778816199377	0
dunne	actor	0.3817987329115043	0
she	king	0.250778816199377	0
greenwich	arranger	0.9259259259259259	1
her	attorney	0.0	0
he	analyst	0.250778816199377	1
erika_rose	singer/songwriter	0.661627266258107	1
eloise_spooner	director	0.250778816199377	0
she	service	0.10344827586206896	0
she	star	0.4171205147636752	1
her	administrator	0.43456790123456795	1
he	biologist	0.250778816199377	1
mandelbrot	statistician	0.36936936936936937	0
julius_baer	chief_financial_officer	0.250778816199377	0
he	editor	0.661627266258107	1
dudu_topaz	host	0.43456790123456795	0
his	tax_lawyer	0.36936936936936937	0
ali_larijani	representative	0.250778816199377	1
steven_b_derounian	rep	0.661627266258107	1
paul_gray	guitarist	0.7631479726184215	1
lindsey_hord	alligator	0.140625	0
bentley	spokesman	0.661627266258107	1
gholam_ali_haddad_adel	deputy_minister	0.7196969696969696	0
david_kaiser	editor	0.661627266258107	1
justin_theroux	actor	0.8858148651973632	1
william_kunstler	lawyer	0.36936936936936937	1
he	dj	0.36936936936936937	1
ellen_degeneres	actress	0.250778816199377	0
lee_jye	president	0.140625	0
kelly_cutrone	power-publicist	0.661627266258107	1
chris_simcox	organizer	0.7196969696969696	1
chavez	representative	0.250778816199377	0
stuart_rose	executive	0.8754658960764875	1
gross	spy	0.661627266258107	1
zapata	construction_worker	0.7196969696969696	1
watson	captain	0.682877637868559	1
dunne	queen	0.17073170731707318	0
he	supervisor	0.9497915395481216	1
``	capt	0.36936936936936937	1
tahawwur_hussain_rana	businessman	0.6616272662581069	1
she	prosecutor	0.17219915913935235	0
hewitt	president	0.43456790123456795	0
robert_morgenthau	manhattan_district_attorney	0.6616272662581069	1
maria_kaczynski	president	0.250778816199377	0
deaver	first	0.140625	0
laura_silsby	translator	0.10344827586206896	0
she	minister	0.250778816199377	0
abdul_aziz_al-hakim	leader	0.8031943619131187	1
mamoor_khan	commander	0.661627266258107	1
babyshambles	supermodel	0.10344827586206896	0
he	prosecutor	0.250778816199377	0
deblanc	missionary	0.43456790123456795	0
he	choreographer	0.661627266258107	0
olivia_palermo	creative_director	0.36936936936936937	0
she	general_director	0.7291666666666666	1
her	model	0.140625	0
his	coach	0.6258004010869003	1
eliza_samudio	star	0.250778816199377	0
julian_bond	activist	0.8015645253995072	1
douglas_flint	accountant	0.250778816199377	1
chris_dodd	chairman	0.661627266258107	1
ramazan_bashardost	member_of_parliament	0.7196969696969696	1
she	musician	0.250778816199377	0
hannah_dunne	director	0.250778816199377	1
sean_parker	entrepreneur	0.36936936936936937	1
shah_mahmood	secretary_of_ex-afghan_king	0.36936936936936937	0
mcgregor	examiner	0.250778816199377	0
ramazan_bashardost	campaigner	0.661627266258107	1
he	cardinal	0.250778816199377	0
r_nicholas_burns	state_department_official	0.661627266258107	1
him	dj	0.140625	0
lewis_hamilton	driver	0.7273565305515255	1
his	composer	0.140625	0
youssoufou_bamba	envoy	0.36936936936936937	1
simon_cowell	judge	0.9947909047013833	1
bill_mcallister	communications_director	0.661627266258107	1
michael_lomax	president	0.6616272662581069	1
joseph_cerniglia	contestant	0.7196969696969696	1
his	prime_minister	0.140625	0
abu_zubaydah	director	0.9259259259259259	1
him	minister	0.05555555555555555	0
she	playwright	0.140625	0
mcallister	governor	0.3978586099001544	1
cerniglia	examiner	0.6336916089517193	0
she	actress	0.751370240950834	1
dee_dee_myers	secretary	0.9985212217397128	1
jamie_lynn_spears	star	0.661627266258107	1
augustus_f._hawkins	representative	0.9167712618109966	1
goody	doctor	0.41529586598958934	0
girija_prasad_koirala	spokesman	0.23311451621962054	0
he	mayor	0.8937808031635496	1
r._nicholas_burns	negotiator	0.661627266258107	1
marc_bolland	retailer	0.28841533864390356	0
dee_dee_myers	host	0.661627266258107	0
ali_akbar_salehi	minister	0.661627266258107	1
steve_mcpherson	president_of_entertainment	0.661627266258107	1
john_dewey	philosopher	0.774394099672941	1
paavo_nurmi	olympic_heroes	0.250778816199377	1
cunningham	roller	0.250778816199377	0
his	secretary_of_state	0.10344827586206896	0
gholam_ali_haddad_adel	deputy	0.250778816199377	0
merce_cunningham	choreographer	0.995671751478096	1
abdul_rahim_noor	attorney-general	0.250778816199377	0
david_gregory	queen	0.43456790123456795	0
goldwater	president	0.05555555555555555	0
carolyn_maloney	vice_president	0.05555555555555555	0
pauliina_miettinen	coach	0.8818163401755743	1
wayman_tisdale	artist	0.661627266258107	0
dan_abrams	the_chief_legal_correspondent	0.661627266258107	1
juliette_binoche	puppeteer	0.250778816199377	1
cathie_black	president	0.661627266258107	1
george_sheldon	secretary	0.9153346334036172	1
jerome_robbins	director-choreographer	0.661627266258107	1
larijani	negotiator	0.661627266258107	0
ali_larijani	president	0.36936936936936937	0
mark_buse	senator	0.250778816199377	0
danny_glover	musician	0.36936936936936937	0
mohamed_elbaradei	chief	0.9094294768450286	1
dee_dee_myers	chief_operating_officer	0.9259259259259259	0
her	motivational_speaker	0.17073170731707318	1
his	flutist	0.250778816199377	0
trista_sutter	wrapper	0.10344827586206896	0
jade_goody	actress	0.3333333333333333	1
richard_nolte	ambassador	0.9259259259259259	0
shah_mahmood_quraishi	president	0.661627266258107	1
waldheim	president	0.31722391737350436	1
gholam-ali_hadad_adel	deputy	0.140625	0
piedra	attorney	0.36936936936936937	0
she	attorney_general	0.140625	1
donald_wildmon	minister	0.7196969696969696	1
montcourt	spokesman	0.36936936936936937	0
george_roy_hill	film_director	0.661627266258107	1
ali_akbar_salehi	director	0.661627266258107	1
ali_larijani	secretary	0.661627266258107	1
claudine_mamane	translator	0.17073170731707318	0
he	director	0.999179468925805	1
girija_prasad_koirala	prime_minister	0.9820045968765413	1
rana	businessman	0.7291666666666666	1
him	coach	0.250778816199377	1
alan_gross	president	0.250778816199377	0
kissel	investment_banker	0.250778816199377	0
frank_baldino_jr.	ceo	0.250778816199377	1
his	athlete	0.43456790123456795	1
haddad_adel	representative	0.250778816199377	0
his	reporter	0.661627266258107	0
cathleen_p._black	chancellor	0.9805280366745638	1
lee	president	0.0	1
juliette_binoche	minister	0.08709970655786203	0
dixon	president	0.17073170731707318	1
bibi	imam	0.05555555555555555	0
mcgregor	leader	0.7251291786625766	0
henry_olonga	fast_bowler	0.661627266258107	1
hussein_kamel	lt._gen.	0.661627266258107	1
chen_tao	officers	0.250778816199377	1
alessi	shaker	0.3682565350002477	0
he	printer	0.140625	0
jerome_robbins	choreographer	0.140625	0
anwar_chowdhry	president	0.8996199990047377	1
li_jie	athlete	0.140625	0
stuart_rose	prime_minister	0.17073170731707318	0
andre_carson	leader	0.10344827586206896	0
shah_abdul_aziz	geologist	0.10344827586206896	0
topaz	chairman	0.36936936936936937	0
he	lawyer	0.35633147245401076	0
sean_parker	creator	0.661627266258107	1
hector_elizondo	drug_dealer	0.10344827586206896	0
hewitt	executive_producer	0.43456790123456795	0
larijani	president	0.6188437406997334	1
pompeo	representative	0.140625	0
charles_ble_goude	leader	0.542647597126219	1
charles_ble_goude	general	0.6949748427447744	1
he	music_director	0.7291666666666666	1
dennis_dunn	activist	0.17073170731707318	0
maria_kaczynska	president	0.05874962073081258	0
he	superstar	0.661627266258107	0
his	barber	0.23101882205624102	1
he	musician	0.9259259259259259	1
trista_sutter	physician	0.10344827586206896	0
edwards	actress	0.250778816199377	0
bill_mcallister	spokesman	0.99531363114948	1
heloise	student	0.43456790123456795	0
michael_johns	producer	0.250778816199377	0
mahdi	messiah	0.661627266258107	0
parren_mitchell	rep.	0.661627266258107	1
he	clerk	0.250778816199377	0
she	author	0.8825792183032577	1
binoche	star	0.661627266258107	1
ginzburg	director	0.1123132808400562	0
lindsay_m._hayes	executive_director	0.36936936936936937	0
steven_b._derounian	rep.	0.661627266258107	1
chad_white	porn_star	0.661627266258107	0
mia_farrow	us_actress	0.7291666666666666	1
chavez	lieutenant_colonel	1.0	1
dixon	mayor	0.661627266258107	0
ali_fedotowsky	bachelorette	0.7291666666666666	1
charles_gwathmey	architect	0.8888464888464338	1
alessi	mobile	0.250778816199377	0
her	governor	0.05555555555555555	1
degeneres	singer	0.250778816199377	0
