E1	E2	Probability	Label
britney_spears	assistant	1.4635514e-05	0
roy_scheider	captain	0.11852258	0
hwang_jang-yop	president	0.6474218	0
yoadimnadji	lawyer	0.9985249629559441	1
bond	journalist	1.7949245e-07	0
manuel_barcena	superintendent	0.9932517126678384	1
andre_carson	rep.	0.9932526582151852	1
carolyn_maloney	rep.	0.9999962590326759	1
charles_kaiser	editor	0.00045276128	0
r_nicholas_burns	chief_negotiator	0.058572132	1
her	rear_adm.	0.0008458174	0
his	secretary_general	0.07015486	0
alberto_gonzales	attorney_general	0.99895566946874	1
chris_dodd	negotiator	0.73176694	0
nancy_kissel	investment_banker	0.0062395623	0
deblanc	col.	0.9932517126678384	1
mohammed_sayed_tantawi	cleric	0.9999998552065669	1
alan_gross	contractor	0.8452451	1
alberto_gonzalez	attorney_general	0.91785204	1
fignon	model	0.016744446	0
her	author	1.4902282e-12	0
he	reporter	0.9995956327646687	1
ferrara	writer	0.00022623951	0
washburn	designer	0.05143849	0
raul_castro_ruz	leader	0.91785204	1
hubbard	representative	0.9991922	1
marcel_ospel	lawyer	0.010938355	0
maloney	general	0.00798035	0
ali_larijani	spokesman	4.7891854e-06	0
he	king	3.320721627730894e-05	0
cunningham	dancer	0.8585775	1
his	hotel	0.892183	0
mcnair	author	0.00012542567485340772	0
edwards	actor	0.048321947	0
dunne	actor	0.28452152	0
she	king	0.047493145	0
greenwich	arranger	0.99888164	1
her	attorney	1.0416072e-09	0
he	analyst	0.0066136727	1
erika_rose	singer/songwriter	0.91785204	1
eloise_spooner	director	0.033455595	0
she	service	0.000169584	0
she	star	0.106385505624918	1
her	administrator	0.53135705	1
he	biologist	0.014214973	1
mandelbrot	statistician	0.22185098	0
julius_baer	chief_financial_officer	0.0043207887	0
he	editor	0.98006135	1
dudu_topaz	host	0.4269318	0
his	tax_lawyer	0.15225141	0
ali_larijani	representative	0.009822238	1
steven_b_derounian	rep	0.91785204	1
paul_gray	guitarist	0.881176799809988	1
lindsey_hord	alligator	0.0003674699	0
bentley	spokesman	0.73876685	1
gholam_ali_haddad_adel	deputy_minister	0.98932207	0
david_kaiser	editor	0.9742448	1
justin_theroux	actor	0.993257714581577	1
william_kunstler	lawyer	0.23485996	1
he	dj	0.14732566	1
ellen_degeneres	actress	0.05805027	0
lee_jye	president	0.00039919902	0
