PMID	E1	E2	ClASS_LABEL	PROBABILITY	COS_SIM	GROUPS
71758	danny_glover	activist	1.0	0.5409581	0.99999976|0.07478501|0.99999976|0.08588064|0.06780934	0|955|2315|2940|3364
37790	laura_silsby	organizer	1.0	0.91785204	1.0|0.058941938	1|2283
21938	he	commander	0.0	0.0679852	1.0000002|0.024495719	2|59
63606	philip_chen	executive	1.0	0.91785204	1.0|1.0|1.0|1.0|0.051501594|0.03797204|0.03797204|1.0|1.0|1.0|1.0	3|571|654|991|1077|1174|1269|2083|2428|3040|3377
65437	he	governor	0.0	0.197198	1.0000002|0.1487101|0.047189463|0.11261052|0.0243387	4|64|401|1226|1265
47417	jeremy	author	0.0	0.04538709	0.9999999	5
18913	his	director	0.0	0.004091556	0.9999997|0.12862733|0.26570052|0.051749278|0.048282985|0.05230336|0.23635907	6|323|434|1272|2088|2514|2529
58554	she	hairdresser	0.0	1.6190664e-06	1.0	7
69310	richard_lindzen	professor	0.0	0.86676633	0.99999994|0.078605756|0.078605756|0.078605756|0.078605756	8|251|1111|1818|2032
103287	berthold_huber	chairman	1.0	0.91785204	0.99999994	9
47435	mia_farrow	president	0.0	0.615962	1.0	10
79182	teddy_kollek	mayor	1.0	0.78144115	0.9999999|0.043550923|0.043550923|0.2967464|0.043550923|0.23052213|0.043550923	11|148|510|737|2570|2841|3284
24556	baldino	chairman	1.0	0.9965396	0.9999998|0.9999998	12|3085
16873	chowdhry	spokesman	0.0	0.015934289	0.99999976|0.99999976	13|1995
71772	hector_elizondo	actor	1.0	0.91785204	1.0|1.0|1.0	14|185|1134
94966	johnny_knoxville	star	1.0	0.91785204	1.0|1.0|1.0|0.06316948|1.0|1.0|1.0|1.0	15|319|365|536|719|1289|2104|3531
41444	sean_ross	cook	0.0	0.73876685	0.9999999	16
23968	he	lawyer	0.0	0.02522998	1.0|0.07468026|0.048906296|0.054773685	17|229|3065|3615
86630	augustus_f._hawkins	rep.	1.0	0.91785204	0.99999994	18
26264	his	engineer	0.0	0.027217168	0.99999994	19
16333	adam_gadahn	spokesman	1.0	0.73876685	1.0|0.058941938|0.49903658|1.0|0.058941938|0.058941938|1.0|0.058941938|0.1997805	20|1052|2149|2175|2197|2515|2622|2720|3369
70583	ali_fedotowsky	bachelor	0.0	0.14240867	0.99999994|0.044203654|0.18280756|0.13794482	21|360|3457|3487
6299	her	star	0.0	0.35192317	0.99999994|0.14816882|0.1392644|0.033202514|0.12742573|0.12814899|0.11248202	22|254|1007|1296|2343|2605|3289
8205	mays	director	1.0	0.03692046	0.9999999	23
105222	she	prosecutor	0.0	9.296145e-05	1.0|0.08952533	24|198
36667	gross	spying	1.0	0.0019609567	0.99999994	25
19430	claude_chabrol	butcher	0.0	5.783899e-10	1.0	26
63079	ayatollah_ali_khamenei	leader	1.0	0.8564765	0.9999996|0.05938869|0.031295575|0.031295575|0.05938869|0.031295575|0.031295575|0.05938869|0.11419702|0.031295575|0.031295575|0.031295575|0.031295575|0.05938869	27|303|309|621|845|862|1199|1458|2006|2263|2951|3140|3198|3413
98338	mia_farrow	hollywood_actress	1.0	0.91785204	0.99999994	28
