PMID	E1	E2	ClASS_LABEL	PROBABILITY	COS_SIM	GROUPS
71758	danny_glover	activist	1.0	0.5409581	0.99999994|0.18921094|0.99999994|0.12227873|0.15059935	0|955|2315|2940|3364
37790	laura_silsby	organizer	1.0	0.91785204	1.0|0.07663582	1|2283
21938	he	commander	0.0	0.0679852	1.0|0.06902753	2|59
63606	philip_chen	executive	1.0	0.91785204	1.0|1.0|1.0|1.0|0.036832813|0.004539113|0.004539113|1.0|1.0|1.0|1.0	3|571|654|991|1077|1174|1269|2083|2428|3040|3377
65437	he	governor	0.0	0.197198	1.0|0.45782533|0.11779983|0.39989766|0.06906995	4|64|401|1226|1265
47417	jeremy	author	0.0	0.04538709	0.99999994	5
18913	his	director	0.0	0.004091556	1.0|0.29177645|0.509186|0.3561648|0.13286126|0.18368824|0.6005962	6|323|434|1272|2088|2514|2529
58554	she	hairdresser	0.0	1.6190664e-06	0.99999994	7
69310	richard_lindzen	professor	0.0	0.86676633	1.0000001|0.090295956|0.090295956|0.090295956|0.090295956	8|251|1111|1818|2032
103287	berthold_huber	chairman	1.0	0.91785204	0.99999994	9
47435	mia_farrow	president	0.0	0.615962	1.0	10
79182	teddy_kollek	mayor	1.0	0.78144115	0.9999998|0.08588974|0.08588974|0.49030426|0.08588974|0.6148753|0.08588974	11|148|510|737|2570|2841|3284
24556	baldino	chairman	1.0	0.9965396	0.99999994|0.99999994	12|3085
16873	chowdhry	spokesman	0.0	0.015934289	0.9999999|0.9999999	13|1995
71772	hector_elizondo	actor	1.0	0.91785204	1.0|1.0|0.9999999	14|185|1134
94966	johnny_knoxville	star	1.0	0.91785204	1.0|1.0|1.0|0.16288605|1.0|1.0|1.0|1.0	15|319|365|536|719|1289|2104|3531
41444	sean_ross	cook	0.0	0.73876685	1.0	16
23968	he	lawyer	0.0	0.02522998	1.0|0.3241528|0.16361623|0.29100552	17|229|3065|3615
86630	augustus_f._hawkins	rep.	1.0	0.91785204	0.99999994	18
26264	his	engineer	0.0	0.027217168	0.9999999	19
16333	adam_gadahn	spokesman	1.0	0.73876685	1.0|0.07663582|0.8447396|1.0|0.07663582|0.07663582|1.0|0.07663582|0.52694887	20|1052|2149|2175|2197|2515|2622|2720|3369
70583	ali_fedotowsky	bachelor	0.0	0.14240867	1.0|0.13442823|0.46449205|0.35106146	21|360|3457|3487
6299	her	star	0.0	0.35192317	0.99999994|0.16094887|0.15438996|0.07356308|0.23566245|0.27512804|0.3221485	22|254|1007|1296|2343|2605|3289
8205	mays	director	1.0	0.03692046	1.0000001	23
105222	she	prosecutor	0.0	9.296145e-05	1.0000001|0.32217997	24|198
36667	gross	spying	1.0	0.0019609567	1.0	25
19430	claude_chabrol	butcher	0.0	5.783899e-10	0.9999999	26
63079	ayatollah_ali_khamenei	leader	1.0	0.8564765	1.0000002|0.09717224|0.119253986|0.119253986|0.09717224|0.119253986|0.119253986|0.09717224|0.22566214|0.119253986|0.119253986|0.119253986|0.119253986|0.09717224	27|303|309|621|845|862|1199|1458|2006|2263|2951|3140|3198|3413
98338	mia_farrow	hollywood_actress	1.0	0.91785204	0.99999994	28
16752	ramazan_bashardost	lawmaker	1.0	0.91785204	1.0|0.050311055|1.0|1.0	29|646|1035|2752
7995	douglas_flint	executive	0.0	0.63210356	0.9999999|0.4193593|0.4193593|0.82753205	30|1258|1293|1713
44570	his	secretary_of_state	0.0	3.4589037e-05	1.0|0.26132652	31|1894
53970	her	civil_engineer	0.0	0.5280842	1.0	32
84074	his	bodyguard	0.0	0.0045440537	0.99999994	33
5455	merce_cunningham	conductor	0.0	0.0045180507	0.9999999	34
55851	she	worker	1.0	0.18967393	1.0	35
97620	paul_watson	president	1.0	0.86676633	1.0000001|0.34182775|0.14353059	36|2716|3310
88226	robert_mcnair	governor	1.0	0.86676633	1.0000001|1.0000001|0.12001111	37|46|970
33706	laura_silsby	leader	1.0	0.91785204	1.0|0.07663582|0.17344798|1.0	38|1606|1682|1742
87969	his	soldier	1.0	0.090600796	0.99999994	39
45894	bellecourt	president	0.0	0.030806957	1.0000004|0.27470437	40|591
58265	deblanc	lt.	1.0	0.91785204	1.0|1.0	41|1280
