ENTITY1	ENTITY2	PROBABILITY	LABEL
155459	60489	1.0	1
3107	156110	1.0	1
4734	155030	1.0	1
155908	1653	1.0	1
155908	7514	1.0	1
155459	8065	1.0	1
155945	684	1.0	1
1508	155030	1.0	0
10959	155030	1.0	0
3661	155945	1.0	1
19	155971	1.0	0
7852	156110	1.0	1
60489	155459	1.0	1
100616444	155030	1.0	0
155030	10015	1.0	1
54106	155971	1.0	1
156110	7124	1.0	1
1387	155971	1.0	0
155971	801	1.0	1
6596	155807	1.0	1
156110	238	1.0	1
156110	3106	1.0	1
155971	6387	1.0	1
155807	3916	1.0	0
821	155971	1.0	1
155030	684	1.0	0
155807	5886	1.0	1
155971	10226	1.0	1
156110	684	1.0	1
865	155459	1.0	1
920	155971	1.0	1
155459	865	1.0	1
155971	2187	1.0	0
155030	3735	1.0	1
5478	155030	1.0	1
155971	5122	1.0	0
155971	19	1.0	0
25939	155807	1.0	0
156110	6285	1.0	0
155971	54106	1.0	1
155807	25939	1.0	0
8065	155459	1.0	1
3385	155971	1.0	1
155030	10959	1.0	0
155459	200316	1.0	1
155971	3700	1.0	0
3106	155030	1.0	1
155030	7251	1.0	1
684	155945	1.0	1
3700	155971	1.0	0
156110	11337	1.0	0
156110	1435	1.0	0
6348	155971	1.0	1
940	156110	1.0	0
155030	5478	1.0	1
920	156110	1.0	1
5062	156110	1.0	1
5122	155971	1.0	0
155971	5599	1.0	0
156110	3932	1.0	1
10015	155030	1.0	1
904	155871	1.0	1
155971	30835	1.0	1
920	155945	1.0	1
155807	6596	1.0	1
156110	7020	1.0	0
925	155030	1.0	0
29110	156110	1.0	0
155908	2332	1.0	0
1653	155908	1.0	1
7251	155030	1.0	1
155030	3106	1.0	1
7474	155971	1.0	0
10226	155971	1.0	1
155871	904	1.0	1
1435	156110	1.0	0
155971	925	1.0	1
10657	155908	1.0	1
5599	155971	1.0	0
9648	156110	1.0	1
155971	7852	1.0	1
155030	24137	1.0	1
156110	5062	1.0	1
3055	156110	1.0	1
1984	155908	1.0	1
155971	5045	1.0	0
8945	155945	1.0	1
3916	155807	1.0	0
5045	155971	1.0	0
156110	3105	1.0	1
155971	818	1.0	0
7020	156110	1.0	0
3565	155971	1.0	1
1755	155971	1.0	1
155971	920	1.0	1
155971	6348	1.0	1
9564	155807	1.0	0
60489	155030	1.0	1
155971	821	1.0	1
155971	1803	1.0	1
1234	155971	1.0	1
156110	3055	1.0	1
2332	155908	1.0	0
7124	156110	1.0	1
155908	1984	1.0	1
155971	100	1.0	0
684	155030	1.0	0
3091	155807	1.0	0
155030	925	1.0	0
156110	940	1.0	0
156110	9648	1.0	1
2187	155971	1.0	0
164668	155459	1.0	1
156110	3107	1.0	1
155945	920	1.0	1
684	156110	1.0	1
155971	3565	1.0	1
11337	156110	1.0	0
155030	60489	1.0	1
3106	156110	1.0	1
3612	155807	1.0	0
11168	155908	1.0	1
155945	3661	1.0	1
155971	4360	1.0	1
156110	100313781	1.0	0
920	155030	1.0	1
3105	156110	1.0	1
818	155971	1.0	0
9730	155807	1.0	1
155030	1508	1.0	0
200316	155459	1.0	1
155459	164668	1.0	1
155971	7474	1.0	0
156110	29110	1.0	0
155030	4734	1.0	1
200316	155030	1.0	1
155971	1755	1.0	1
6285	156110	1.0	0
5886	155807	1.0	1
155807	9564	1.0	0
155807	3091	1.0	0
7852	155971	1.0	1
155945	8945	1.0	1
156110	821	1.0	1
821	156110	1.0	1
30835	155971	1.0	1
156110	920	1.0	1
155971	8743	1.0	1
801	155971	1.0	1
100	155971	1.0	0
155971	3385	1.0	1
1803	155971	1.0	1
3735	155030	1.0	1
155971	1234	1.0	1
925	155971	1.0	1
155908	10657	1.0	1
7514	155908	1.0	1
3932	156110	1.0	1
155807	3612	1.0	0
24137	155030	1.0	1
155908	11168	1.0	1
6387	155971	1.0	1
8743	155971	1.0	1
155030	920	0.999999999999	1
27067	155908	0.999999999998	1
155908	27067	0.999999999992	1
155807	3735	0.999999999991	0
6667	155030	0.999999999989	0
155871	9733	0.999999999978	1
155030	6667	0.999999999973	0
9733	155871	0.99999999995	1
3735	155807	0.999999999932	0
155908	6285	0.999999999838	0
6285	155908	0.999999999654	0
302	155030	0.999999999131	1
155030	302	0.99999999909	1
155908	728378	0.999999998451	0
728378	155908	0.999999997919	0
155807	9730	0.999999997135	1
155030	100616444	0.999999996754	0
156110	2736	0.99999999543	0
155459	861	0.999999994269	1
861	155459	0.999999992483	1
2736	156110	0.999999992461	0
155807	3725	0.999999984579	0
3725	155807	0.999999970963	0
4790	155807	0.99999996367	1
155459	920	0.999999952985	1
155807	4790	0.999999925473	1
29082	155030	0.999999918616	1
2745	155971	0.999999908764	0
920	155459	0.999999900209	1
238	156110	0.9999999	1
100313781	156110	0.9999999	0
5058	156110	0.9999999	1
155971	1387	0.9999999	0
4360	155971	0.999999855507	1
155945	4738	0.999999825616	1
4738	155945	0.99999981641	1
155945	5817	0.999999806478	0
10075	155348	0.999999762903	1
156110	5058	0.99999976	1
155971	2745	0.999999737235	0
155348	10075	0.999999723313	1
156110	7852	0.999999721183	1
19	156110	0.99999964	1
202559	155908	0.9999995	0
155030	29082	0.999999421098	1
155971	1524	0.9999994	0
155971	28299	0.999999345767	0
156110	19	0.9999993	1
1524	155971	0.9999993	0
155971	7020	0.999999289619	0
7020	155971	0.999999289347	0
155908	202559	0.99999917	0
5813	155871	0.999998998579	1
156110	926	0.9999988	0
5817	155945	0.999998776977	0
2	155971	0.9999987	0
28299	155971	0.999998507469	0
1673	155871	0.999998332335	0
29110	155459	0.99999833	1
155459	29110	0.99999833	1
3267	155908	0.9999982	1
3178	155971	0.9999981	1
155971	4843	0.9999981	0
155971	684	0.99999774	0
155871	1673	0.999997445141	0
155971	3178	0.99999714	1
156110	23241	0.9999968	1
155971	2	0.9999964	0
23241	156110	0.9999962	1
5901	155908	0.9999962	1
155908	5901	0.9999962	1
155030	10642	0.999995528748	1
4843	155971	0.99999547	0
155908	3267	0.999995	1
155871	5813	0.999994968242	1
155971	100689229	0.99999464	0
100689229	155971	0.99999464	0
156110	55690	0.9999943	1
5713	155807	0.9999937	0
7433	155971	0.99999297	0
55690	156110	0.9999919	1
155030	5879	0.999991294152	0
155971	28981	0.99999046	0
684	155971	0.9999895	0
10656	155908	0.99998915	0
926	156110	0.9999881	0
25939	155459	0.9999858	0
684	155459	0.9999858	0
10642	155030	0.999984249515	1
155459	6921	0.999982323276	1
963	155971	0.99998033	0
155908	1654	0.999979607367	1
155030	85363	0.99997926	1
28981	155971	0.99997723	0
6921	155459	0.999976939781	1
155945	972	0.99997590888	1
156110	100616444	0.9999753	0
972	155945	0.999974827619	1
155908	3848	0.99997413	0
4869	155908	0.9999718464	1
155807	5713	0.99996996	0
3107	155971	0.99996793	1
155030	286	0.999967692058	1
5879	155030	0.999967095853	0
1232	155971	0.9999614	1
156110	5817	0.999951764184	1
155908	4869	0.999949120059	1
100616444	156110	0.99994457	0
85363	155030	0.9999405	1
155459	25939	0.9999391	0
155459	684	0.9999391	0
155030	3458	0.999938697357	1
155971	3107	0.9999244	1
5817	156110	0.99992344488	1
155030	30816	0.99992037523	0
3458	155030	0.999919434874	1
155908	10656	0.9999143	0
1654	155908	0.999910187449	1
155971	6351	0.99990225	1
155971	963	0.9999	0
28910	155971	0.999899	0
155971	1232	0.9998971	1
155971	28910	0.99986696	0
3732	155030	0.9998598	0
6351	155971	0.99985385	1
155348	10714	0.9998437	0
155971	7433	0.9998363	0
925	156110	0.999825789238	0
5903	155908	0.9998099	0
286	155030	0.999791043337	1
155030	200316	0.999790565391	1
50863	155971	0.9997774	0
8835	155459	0.99977726	0
3458	155971	0.999770561247	1
155971	1056	0.9996934	0
6426	155030	0.99966013	1
156110	925	0.999618059191	0
3840	155807	0.99952035322	1
155030	6998	0.99948394	0
6998	155030	0.999445	0
155971	7040	0.999431611284	1
155971	3458	0.999399840377	1
4153	155971	0.9993513	1
155908	5903	0.99933904	0
10714	155348	0.9993248	0
155971	50863	0.9993161	0
155030	3732	0.99929404	0
3848	155908	0.99924064	0
155807	55540	0.999236227167	0
55540	155807	0.999236227167	0
155459	8835	0.9991998	0
81559	155807	0.999123228477	0
156110	22914	0.999116060008	0
7040	155971	0.999099266407	1
3574	155030	0.99904925	0
155807	3840	0.999039225562	1
155908	48	0.999035242486	0
842	155807	0.9990243	0
155030	6426	0.9990181	1
155030	148362	0.9989568	0
3838	155807	0.998921127711	1
155971	6693	0.998913192304	1
1056	155971	0.9988959	0
155807	3838	0.998892938995	1
155971	4153	0.9988595	1
5901	155030	0.9988331	1
7514	155030	0.9988331	0
156110	1234	0.9988243	0
4261	155030	0.9987362	0
156110	6714	0.99872714	1
347376	155030	0.998725730978	0
6693	155971	0.998672722195	1
155807	81559	0.99865744504	0
155807	836	0.9986524	0
155030	3574	0.9986406	0
100616444	155945	0.998638603616	0
3777	155945	0.998631930046	1
3384	155971	0.99848074	0
841	155807	0.99844104	0
155971	6347	0.99800401851	1
6347	155971	0.997993422951	1
155971	1272	0.99794203	0
1272	155971	0.99794203	0
155807	841	0.99789435	0
155971	4982	0.997889388287	0
155971	3384	0.9978363	0
1234	156110	0.99779946	0
4982	155971	0.997750007999	0
22914	156110	0.997677306327	0
94025	155971	0.9976278	0
155945	3777	0.997567078223	1
6772	155971	0.9972602	0
6714	156110	0.9972187	1
3958	155871	0.997185127908	0
148362	155030	0.9971023	0
155030	7020	0.99708192233	0
30816	155030	0.997000870619	0
48	155908	0.996951306286	0
975	155030	0.996861557444	0
3576	155971	0.9965894	0
155945	100616444	0.996547199869	0
836	155807	0.99652326	0
155807	842	0.9964168	0
155971	94025	0.9962519	0
155030	5901	0.9957273	1
155030	7514	0.9957273	0
92421	155030	0.9956695	1
155971	6772	0.99557	0
7020	155030	0.995555243748	0
2534	156110	0.995508847031	1
155971	115362	0.995354406861	0
115362	155971	0.995275245072	0
155871	7422	0.995173205691	0
834	155971	0.9951115	1
22914	155945	0.995107286754	0
1236	155971	0.9950848	0
155971	1236	0.9950848	0
3932	155971	0.99504685	1
155971	3932	0.99504685	1
7422	155871	0.994847343489	0
3606	156110	0.994729530324	0
155945	22914	0.994718994587	0
3558	155971	0.99466974	1
155908	4691	0.994393030718	0
4691	155908	0.994174143655	0
30816	155945	0.994020595456	0
155945	30816	0.993874987008	0
156110	2534	0.993843938343	1
156110	256987	0.993828610006	0
23547	156110	0.993504084934	0
156110	23547	0.993282704164	0
10959	155348	0.993156672998	0
51311	155971	0.9931217	1
155971	834	0.9930415	1
156110	10399	0.992928861089	1
155971	3558	0.9928163	1
155030	92421	0.9923579	1
3135	156110	0.992286617519	1
155030	975	0.991873630218	0
156110	3606	0.991090539578	0
155030	347376	0.99026935582	0
155971	2028	0.989551814319	0
128866	155030	0.989515477547	1
10399	156110	0.989410345449	1
2028	155971	0.988962392759	0
